run_date,run_id,canonical_project_id,canonical_project_name,project_identity_confidence,asset_signal_id,canonical_article_id,title,original_url,published,summary,article_integrity_status,article_integrity_reason,primary_display_section,secondary_display_sections,repeat_exposure_status,published_date_normalized,collected_date_normalized,article_age_days,freshness_bucket,freshness_status,freshness_reason,freshness_score,access_status,canonical_asset_or_project_name,raw_project_or_property_name,address_or_location_clue,intersection_or_corridor,neighborhood_or_submarket,city,state_or_region,residential_sector,asset_type,gp_or_developer,owner_or_sponsor,lender_or_capital_partner,entitlement_status,permit_status,construction_status,delivery_or_timing_reference,unit_count,dollar_amount,site_size_or_area,deal_or_project_type,asset_strategy_signal,site_control_signal,execution_stage,primary_development_category,primary_category_reason,asset_opportunity_score,asset_risk_score,woomi_asset_relevance,recommended_asset_follow_up,evidence_article_title,source,url,confidence_level
2026-06-02,20260602-040308-43dadaf3,PRJ-20260602-0079,Office-to-Residential Conversion - Los Angeles / California - L.A. Mayor Karen Bass On Fast-Tracking Housing and Reviving Downtown,100,AST-20260602-036,art_1647b0b78bbec98c,Mayor Bass: Adaptive Reuse Key to Revitalizing Downtown LA,https://www.connectcre.com/stories/mayor-bass-adaptive-reuse-key-to-revitalizing-downtown-la/,"Mon, 01 Jun 2026 20:50:28 +0000","California CRE News In Your Inbox. Sign up for Connect emails to stay informed with CRE stories that are 150 words or less. California + Los Angeles + Apartments | June 1, 2026 By: Paul Bubny Mayor Bass: Adaptive Reuse Key to Revitalizing Downtown LA Along with crime and homelessness, the challenge of affordability—both in rents and in development—was a key issue for Los Angeles when Mayor Karen Bass was running for election three-and-a-half ago. “Everybody told me when I was running that you ca",valid,title/source/url metadata are internally consistent,Development Activity,,acceptable_repeat,2026-06-01,2026-06-02,1,fresh_0_3d,current,published date parsed; article age 1 day(s),78,accessible,Office-to-Residential Conversion - Los Angeles / California - Mayor Bass: Adaptive Reuse Key to Revitalizing Downtown LA,Office-to-Residential Conversion - Los Angeles / California - Mayor Bass: Adaptive Reuse Key to Revitalizing Downtown LA,Los Angeles,Downtown infill; Adaptive reuse corridor; Office conversion corridor,Los Angeles,Los Angeles,California,Office-to-Residential Conversion,Office-to-Residential,CBRE,CBRE,CBRE,Unknown,Unknown,Unknown,No explicit timing reference,,,,Office-to-Residential Conversion,Office-to-Residential Conversion,Unknown site control,Unknown,construction_delivery_watch,matched development / asset strategy execution,90,36,Relevant to underwriting benchmark,Monitor office conversion feasibility and policy support,Mayor Bass: Adaptive Reuse Key to Revitalizing Downtown LA,Connect CRE,https://www.connectcre.com/stories/mayor-bass-adaptive-reuse-key-to-revitalizing-downtown-la/,Medium
2026-06-02,20260602-040308-43dadaf3,PRJ-20260602-0047,General Project Signal - California - JLL Arranges $252M Financing for Huntington Beach Seniors Project,100,AST-20260602-030,art_3fa929e9665efef9,Carlsbad Lifestyle Center Fetches $91M in Sale to 11North,https://www.connectcre.com/stories/carlsbad-lifestyle-center-fetches-91m-in-sale-to-11north/,"Fri, 29 May 2026 20:49:09 +0000","California CRE News In Your Inbox. Sign up for Connect emails to stay informed with CRE stories that are 150 words or less. California + San Diego + Retail | May 29, 2026 By: Paul Bubny Carlsbad Lifestyle Center Fetches $91M in Sale to 11North JLL Capital Markets arranged the $91.3-million sale of The Beacon, a premier, 122,167-square-foot neighborhood lifestyle retail destination in Carlsbad. Senior managing directors Geoff Tranchina and Gleb Lvovich and managing director Daniel Tyner worked on",valid,title/source/url metadata are internally consistent,GP / Capital Activity,,acceptable_repeat,2026-05-29,2026-06-02,4,recent_4_14d,usable_recent,published date parsed; article age 4 day(s),66,accessible,Disposition / Exit - California - Carlsbad Lifestyle Center Fetches $91M in Sale to 11North,Disposition / Exit - California - Carlsbad Lifestyle Center Fetches $91M in Sale to 11North,California,General submarket monitoring,California,Los Angeles,California,General Residential,Unknown Residential,JLL,JLL,JLL,Unknown,Unknown,Unknown,No explicit timing reference,,$91M; $91M; $91.3,,Disposition / Exit,General Asset Signal,Existing asset sale,Unknown,excluded,transaction / capital guard: disposition,89,28,High relevance to Woomi site strategy,"Review site details, sponsor, entitlement path, and local precedent",Carlsbad Lifestyle Center Fetches $91M in Sale to 11North,Connect CRE California,https://www.connectcre.com/stories/carlsbad-lifestyle-center-fetches-91m-in-sale-to-11north/,Medium
2026-06-02,20260602-040308-43dadaf3,PRJ-20260602-0050,Recapitalization - California - PEF Advisors with Freestone Capital Form Joint Venture to Recapitalize Affordable Housing...,100,AST-20260602-038,art_f0e5befbb21a23aa,"PEF Advisors, Freestone Capital Form JV to Recapitalize Affordable Properties",https://www.connectcre.com/stories/pef-advisors-freestone-capital-form-jv-to-recapitalize-affordable-properties/,"Wed, 27 May 2026 16:00:54 +0000","California CRE News In Your Inbox. Sign up for Connect emails to stay informed with CRE stories that are 150 words or less. California + Orange County + Apartments | May 27, 2026 By: Paul Bubny PEF Advisors, Freestone Capital Form JV to Recapitalize Affordable Properties Preservation Equity Fund Advisors, an affiliate of the WNC family of companies, has formed a joint venture with Freestone Capital, a Seattle-based wealth advisory and asset management firm. The JV focuses on the long-term owners",valid,title/source/url metadata are internally consistent,GP / Capital Activity,,repeat_penalized,2026-05-27,2026-06-02,6,recent_4_14d,usable_recent,published date parsed; article age 6 day(s),58,accessible,"Recapitalization - California - PEF Advisors, Freestone Capital Form JV to Recapitalize Affordable Properties","Recapitalization - California - PEF Advisors, Freestone Capital Form JV to Recapitalize Affordable Properties",California,General submarket monitoring,California,Los Angeles,California,Affordable Housing,Affordable Housing,PEF Advisors,PEF Advisors,Unknown,Unknown,Unknown,Unknown,No explicit timing reference,,,,Recapitalization,Refinancing / Recapitalization,Unknown site control,Unknown,excluded,excluded financing-only article: recapitalization,86,54,High relevance to Woomi site strategy,"Review site details, sponsor, entitlement path, and local precedent","PEF Advisors, Freestone Capital Form JV to Recapitalize Affordable Properties",Connect CRE Orange County,https://www.connectcre.com/stories/pef-advisors-freestone-capital-form-jv-to-recapitalize-affordable-properties/,Medium
2026-06-02,20260602-040308-43dadaf3,PRJ-20260602-0009,Entitlement / Permitting - Los Angeles / California - Infill housing slated for 349 N. Oakhurst Ave. in Beverly Hills,80,AST-20260602-058,art_a7fdd8493624e02a,Infill housing slated for 349 N. Oakhurst Ave. in Beverly Hills,https://la.urbanize.city/post/infill-housing-slated-349-n-oakhurst-ave-beverly-hills,"Fri, 29 May 2026 13:10:00 +0000","Infill housing slated for 349 N. Oakhurst Ave. in Beverly Hills | Urbanize LA Skip to main content Advertisement Advertisement A fourplex near the Los Angeles - Beverly Hills border is set to give way to a larger multifamily residential complex, according to a report to the Beverly Hills Planning Commission. The project from Oakhurst Investment Group, LLC, which would rise from a property at 349 N. Oakhurst Avenue , calls for the construction of a seven-story building featuring 14 one- and two-b",valid,title/source/url metadata are internally consistent,Development Activity,,acceptable_repeat,2026-05-29,2026-06-02,4,recent_4_14d,usable_recent,published date parsed; article age 4 day(s),66,accessible,Entitlement / Permitting - Los Angeles / California - Infill housing slated for 349 N. Oakhurst Ave. in Beverly Hills,Entitlement / Permitting - Los Angeles / California - Infill housing slated for 349 N. Oakhurst Ave. in Beverly Hills,349 N. Oakhurst Ave,General submarket monitoring,Los Angeles,Los Angeles,California,Apartment,Apartment,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No explicit timing reference,,,,Entitlement / Permitting,Entitlement Play,Project under entitlement,Unknown,approval_watch,matched permit,86,34,Relevant to entitlement monitoring,"Track entitlement, permit, density bonus, and construction-readiness milestones",Infill housing slated for 349 N. Oakhurst Ave. in Beverly Hills,Urbanize LA,https://la.urbanize.city/post/infill-housing-slated-349-n-oakhurst-ave-beverly-hills,Medium
2026-06-02,20260602-040308-43dadaf3,PRJ-20260602-0089,Entitlement / Permitting - Los Angeles / California - Infill housing slated for 349 N. Oakhurst Ave. in Beverly Hills,80,AST-20260602-032,art_f02955fd2c141628,Venice Dell affordable housing project notches legal win,https://la.urbanize.city/post/venice-dell-affordable-housing-project-notches-legal-win,"Mon, 01 Jun 2026 13:10:00 +0000","Venice Dell affordable housing project notches legal win | Urbanize LA Skip to main content Advertisement Advertisement Multiple Los Angeles City officials have declared ""dead"" a controversial plan for an affordable housing complex along the Venice Canals. But in the view of the State of California, and now a Los Angeles Superior Court Judge, the project would be to be very much alive. Venice Community Housing announced last week a legal victory for the Venice Dell project, pointing to a Los Ang",valid,title/source/url metadata are internally consistent,Development Activity,,acceptable_repeat,2026-06-01,2026-06-02,1,fresh_0_3d,current,published date parsed; article age 1 day(s),78,accessible,Entitlement / Permitting - Los Angeles / California - Venice Dell affordable housing project notches legal win,Entitlement / Permitting - Los Angeles / California - Venice Dell affordable housing project notches legal win,Los Angeles,General submarket monitoring,Los Angeles,Los Angeles,California,Affordable Housing,Affordable Housing,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No explicit timing reference,120 apartments,$42.4; $133 million,,Entitlement / Permitting,Affordable / Density Bonus Strategy,Project under entitlement,Unknown,approval_watch,matched permit,85,34,Relevant to entitlement monitoring,"Track entitlement, permit, density bonus, and construction-readiness milestones",Venice Dell affordable housing project notches legal win,Urbanize LA,https://la.urbanize.city/post/venice-dell-affordable-housing-project-notches-legal-win,Medium
2026-06-02,20260602-040308-43dadaf3,PRJ-20260602-0018,General Project Signal - New York City / New York - Avison Young Arranges $404M Permanent Loan for Iconic 479-Unit Multifamily Building The Ar...,100,AST-20260602-009,art_5bff164e85001b54,Avison Young Arranges $404M Permanent Loan for Iconic 479-Unit Multifamily Building The Archive at 666 Greenwich Street,https://yieldpro.com/2026/06/666-greenwich-street/,"Mon, 01 Jun 2026 15:20:28 +0000","Deal boom News Facebook Twitter Linkedin Global real estate advisor Avison Young arranged a $404 million mortgage loan on behalf of an affiliate of Rockrose Development for The Archive , a 479-unit one-of-a-kind luxury rental apartment building located at 666 Greenwich Street in the heart of Manhattan’s West Village neighborhood. The financing was provided by Freddie Mac through PNC Bank as seller-servicer. Avison Young’s Tri-State Debt and Equity Finance team led by Principals Scott Singer and ",valid,title/source/url metadata are internally consistent,GP / Capital Activity,,acceptable_repeat,2026-06-01,2026-06-02,1,fresh_0_3d,current,published date parsed; article age 1 day(s),78,accessible,Avison Young Arranges $404M Permanent Loan for Iconic 479-Unit Multifamily Building The Archive at 666 Greenwich Street,Avison Young Arranges $404M Permanent Loan for Iconic 479-Unit Multifamily Building The Archive at 666 Greenwich Street,666 Greenwich Street,General submarket monitoring,Manhattan,Los Angeles,New York City / New York,Apartment,Apartment,PNC Bank,PNC Bank,Unknown,Unknown,Unknown,Unknown,No explicit timing reference,,,,General Asset Signal,General Asset Signal,Unknown site control,Unknown,excluded,transaction / capital guard: seller,85,26,Relevant to underwriting benchmark,Monitor asset-level signal for repeated confirmation,Avison Young Arranges $404M Permanent Loan for Iconic 479-Unit Multifamily Building The Archive at 666 Greenwich Street,Yield PRO,https://yieldpro.com/2026/06/666-greenwich-street/,High
2026-06-02,20260602-040308-43dadaf3,PRJ-20260602-0010,Infill housing slated for 349 N. Oakhurst Ave. in Beverly Hills,80,AST-20260602-002,art_a7fdd8493624e02a,Infill housing slated for 349 N. Oakhurst Ave. in Beverly Hills,https://la.urbanize.city/post/infill-housing-slated-349-n-oakhurst-ave-beverly-hills,"Fri, 29 May 2026 13:10:00 +0000","Infill housing slated for 349 N. Oakhurst Ave. in Beverly Hills | Urbanize LA Skip to main content Advertisement Advertisement A fourplex near the Los Angeles - Beverly Hills border is set to give way to a larger multifamily residential complex, according to a report to the Beverly Hills Planning Commission. The project from Oakhurst Investment Group, LLC, which would rise from a property at 349 N. Oakhurst Avenue , calls for the construction of a seven-story building featuring 14 one- and two-b",valid,title/source/url metadata are internally consistent,Development Activity,,acceptable_repeat,2026-05-29,2026-06-02,4,recent_4_14d,usable_recent,published date parsed; article age 4 day(s),66,accessible,Infill housing slated for 349 N. Oakhurst Ave. in Beverly Hills,Infill housing slated for 349 N. Oakhurst Ave. in Beverly Hills,349 N. Oakhurst Ave,General submarket monitoring,Los Angeles,Los Angeles,Los Angeles / California,Apartment,Apartment,,,Unknown,Under planning review,Unknown,Unknown,No explicit timing reference,,,,Entitlement Play,Entitlement Play,Unknown site control,Entitlement / Planning,approval_watch,matched planning commission,85,26,Relevant to entitlement monitoring,"Track entitlement, permit, density bonus, and construction-readiness milestones",Infill housing slated for 349 N. Oakhurst Ave. in Beverly Hills,Urbanize LA,https://la.urbanize.city/post/infill-housing-slated-349-n-oakhurst-ave-beverly-hills,Medium
2026-06-02,20260602-040308-43dadaf3,PRJ-20260602-0022,"Entitlement / Permitting - San Francisco / California - Demolition Permits Filed For 860-880 McAllister Street, San Francisco",100,AST-20260602-052,art_b552bc82623933f8,"Demolition Permits Filed For 860-880 McAllister Street, San Francisco",https://sfyimby.com/2026/06/demolition-permits-filed-for-860-880-mcallister-street-san-francisco.html,"Mon, 01 Jun 2026 12:30:21 +0000","880 McAllister Street, rendering by DLR Group By: Andrew Nelson 5:30 am on June 1, 2026 Demolition permits have been filed for three existing structures within the Freedom West housing cooperative in San Francisco’s Fillmore District . The application would bolster the construction of the first new complex of the Freedom West 2.0 masterplan with over a hundred units of affordable senior housing at 880 McAllister Street . MacFarlane Partners and Avanath Capital Management are the project sponsors",suspicious_duplicate,source-feed signal bleed suspected,Development Activity,,repeat_penalized,2026-06-01,2026-06-02,1,fresh_0_3d,current,published date parsed; article age 1 day(s),58,accessible,"Entitlement / Permitting - San Francisco / California - Demolition Permits Filed For 860-880 McAllister Street, San Francisco","Entitlement / Permitting - San Francisco / California - Demolition Permits Filed For 860-880 McAllister Street, San Francisco",860-880 McAllister Street,General submarket monitoring,San Francisco,Los Angeles,Unknown,Senior Housing,Senior Housing,MacFarlane Partners,MacFarlane Partners,Unknown,Unknown,Unknown,Unknown,No explicit timing reference,,,,Entitlement / Permitting,Entitlement Play,Project under entitlement,Unknown,approval_watch,matched permit,85,22,Relevant to entitlement monitoring,"Track entitlement, permit, density bonus, and construction-readiness milestones","Demolition Permits Filed For 860-880 McAllister Street, San Francisco",SF YIMBY,https://sfyimby.com/2026/06/demolition-permits-filed-for-860-880-mcallister-street-san-francisco.html,High
2026-06-02,20260602-040308-43dadaf3,PRJ-20260602-0007,Updated plan for apartments at 1238 Lincoln Blvd. in Santa Monica,80,AST-20260602-004,art_7ffcfcf412093268,Updated plan for apartments at 1238 Lincoln Blvd. in Santa Monica,https://la.urbanize.city/post/updated-plan-apartments-1238-lincoln-blvd-santa-monica,"Thu, 28 May 2026 13:10:00 +0000","Updated plan for apartments at 1238 Lincoln Blvd. in Santa Monica | Urbanize LA Skip to main content Advertisement Advertisement Lincoln Property Company is revamping its plans to building housing on the longtime site of the Boys & Girls Clubs of Santa Monica . A filing made in April for the property at 1238 Lincoln Boulevard reveals a new look for the project, with Patrick Tighe Architecture taking of design work for the new building. Plans now call for the construction of an eight-story buildi",valid,title/source/url metadata are internally consistent,Development Activity,,acceptable_repeat,2026-05-28,2026-06-02,5,recent_4_14d,usable_recent,published date parsed; article age 5 day(s),77,accessible,Updated plan for apartments at 1238 Lincoln Blvd. in Santa Monica,Updated plan for apartments at 1238 Lincoln Blvd. in Santa Monica,1238 Lincoln Blvd,General submarket monitoring,Los Angeles,Los Angeles,Santa Monica / California,Apartment,Apartment,,,Unknown,Unknown,Unknown,Unknown,No explicit timing reference,,,,Acquisition / Site Control,Acquisition / Site Control,Site acquired,Site Controlled,construction_delivery_watch,matched development / asset strategy execution,85,18,Relevant to acquisition / JV sourcing,"Review acquisition, financing, ownership, and comparable transaction details",Updated plan for apartments at 1238 Lincoln Blvd. in Santa Monica,Urbanize LA,https://la.urbanize.city/post/updated-plan-apartments-1238-lincoln-blvd-santa-monica,Medium
2026-06-02,20260602-040308-43dadaf3,PRJ-20260602-0157,Construction Financing - Miami / Florida - Alta Developers Lands $91.8M Construction Loan for Miami Apartments,80,AST-20260602-041,art_86d3cff087fb1b43,Alta Developers Lands $91.8M Construction Loan for Miami Apartments,https://www.connectcre.com/stories/alta-developers-lands-91-8m-construction-loan-for-miami-apartments/,"Thu, 21 May 2026 14:05:25 +0000","Florida & Gulf Coast CRE News In Your Inbox. Sign up for Connect emails to stay informed with CRE stories that are 150 words or less. Florida & Gulf Coast + South Florida + Apartments | May 21, 2026 By: Mike Boyd Alta Developers Lands $91.8M Construction Loan for Miami Apartments Madison Realty Capital originated a $91.8 million construction loan to Alta Developers for the development of Alta Sunset, a 314-unit multifamily project located at 6075 Sunset Drive in South Miami, Florida. Upon comple",valid,title/source/url metadata are internally consistent,GP / Capital Activity,,repeat_penalized,2026-05-21,2026-06-02,12,recent_4_14d,usable_recent,published date parsed; article age 12 day(s),55,accessible,Construction Financing - Miami / Florida - Alta Developers Lands $91.8M Construction Loan for Miami Apartments,Construction Financing - Miami / Florida - Alta Developers Lands $91.8M Construction Loan for Miami Apartments,South Florida,General submarket monitoring,South Florida,Los Angeles,Unknown,Apartment,Apartment,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No explicit timing reference,,$91.8M; $91.8M; $91.8 million,,Construction Financing,Refinancing / Recapitalization,Land / parcel referenced,Site Search / Early Signal,excluded,transaction / capital guard: loan,84,47,Relevant to acquisition / JV sourcing,"Review acquisition, financing, ownership, and comparable transaction details",Alta Developers Lands $91.8M Construction Loan for Miami Apartments,Connect CRE South Florida,https://www.connectcre.com/stories/alta-developers-lands-91-8m-construction-loan-for-miami-apartments/,Low
2026-06-02,20260602-040308-43dadaf3,PRJ-20260602-0150,Entitlement / Permitting - Los Angeles / California - New plan unveiled for West Hollywood's Melrose Triangle development,80,AST-20260602-042,art_737c64338f6aec41,New plan unveiled for West Hollywood's Melrose Triangle development,https://la.urbanize.city/post/new-plan-unveiled-west-hollywoods-melrose-triangle-development,"Mon, 01 Jun 2026 13:15:00 +0000","New plan unveiled for West Hollywood's Melrose Triangle development | Urbanize LA Skip to main content Advertisement Advertisement A recent community presentation offers up a look at the latest plan for the vacant Melrose Triangle site in West Hollywood. The project from The Charles Company , located on a block-spanning site at 9060 Santa Monica Boulevard, began excavation in 2021, but has remained an empty pit in the five years that have since passed. Plans to redevelop the site - which is name",valid,title/source/url metadata are internally consistent,Development Activity,Market Intelligence,acceptable_repeat,2026-06-01,2026-06-02,1,fresh_0_3d,current,published date parsed; article age 1 day(s),78,accessible,Entitlement / Permitting - Los Angeles / California - New plan unveiled for West Hollywood's Melrose Triangle development,Entitlement / Permitting - Los Angeles / California - New plan unveiled for West Hollywood's Melrose Triangle development,Santa Monica,General submarket monitoring,Santa Monica,Los Angeles,Unknown,Apartment,Apartment,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No explicit timing reference,76 apartments,,,Entitlement / Permitting,Entitlement Play,Project under entitlement,Unknown,approval_watch,matched permit,84,34,Relevant to entitlement monitoring,"Track entitlement, permit, density bonus, and construction-readiness milestones",New plan unveiled for West Hollywood's Melrose Triangle development,Urbanize LA,https://la.urbanize.city/post/new-plan-unveiled-west-hollywoods-melrose-triangle-development,Medium
2026-06-02,20260602-040308-43dadaf3,PRJ-20260602-0150,Entitlement / Permitting - Los Angeles / California - New plan unveiled for West Hollywood's Melrose Triangle development,80,AST-20260602-043,art_6477eaff7569fbe9,"RAND reviews ULA impacts, Mayor's race focuses on housing, and more",https://la.urbanize.city/post/rand-reviews-ula-impacts-mayors-race-focuses-housing-and-more,"Sat, 30 May 2026 13:15:00 +0000","RAND reviews ULA impacts, Mayor's race focuses on housing, and more | Urbanize LA Skip to main content Advertisement Advertisement The City of Santa Monica is launching a $6-million renter aid program, the City announced this week. The program, funded by a ballot proposition approved by Santa Monica voters in 2022, is expected to launch in Summer 2026 in partnership with The People Concern. The program is expected to serve approximately 150 households each year facing housing instability or risk",suspicious_duplicate,source-feed signal bleed suspected,Market Intelligence,GP / Capital Activity,repeat_penalized,2026-05-30,2026-06-02,3,fresh_0_3d,current,published date parsed; article age 3 day(s),50,accessible,"JV / Partnership - Santa Monica / California - RAND reviews ULA impacts, Mayor's race focuses on housing, and more","JV / Partnership - Santa Monica / California - RAND reviews ULA impacts, Mayor's race focuses on housing, and more",Santa Monica,General submarket monitoring,Santa Monica,Los Angeles,Unknown,Affordable Housing,Affordable Housing,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No explicit timing reference,,$6; $6; $126,,JV / Partnership,General Asset Signal,Unknown site control,Unknown,excluded,excluded generic policy / market article,84,34,Relevant to underwriting benchmark,Monitor asset-level signal for repeated confirmation,"RAND reviews ULA impacts, Mayor's race focuses on housing, and more",Urbanize LA,https://la.urbanize.city/post/rand-reviews-ula-impacts-mayors-race-focuses-housing-and-more,Low
2026-06-02,20260602-040308-43dadaf3,PRJ-20260602-0013,"Covina Apartments Trade on In-Place Cash Flow, Rental Upside",100,AST-20260602-007,art_aac28584f7614e52,"Covina Apartments Trade on In-Place Cash Flow, Rental Upside",https://www.connectcre.com/stories/covina-apartments-trade-on-in-place-cash-flow-rental-upside/,"Fri, 29 May 2026 21:59:36 +0000","California CRE News In Your Inbox. Sign up for Connect emails to stay informed with CRE stories that are 150 words or less. California + Los Angeles + Apartments | May 29, 2026 By: Paul Bubny Covina Apartments Trade on In-Place Cash Flow, Rental Upside Marcus & Millichap has closed the sale of Vincent Village, a 40-unit apartment property located at 4810 N. Vincent Ave. in Covina. The property sold for $8.2 million, or $205,000 per unit, at a 5.9% cap rate with approximately 29% rental upside.. ",valid,title/source/url metadata are internally consistent,GP / Capital Activity,,acceptable_repeat,2026-05-29,2026-06-02,4,recent_4_14d,usable_recent,published date parsed; article age 4 day(s),66,accessible,"Covina Apartments Trade on In-Place Cash Flow, Rental Upside","Covina Apartments Trade on In-Place Cash Flow, Rental Upside",4810 N. Vincent Ave,General submarket monitoring,Unknown,Los Angeles,Los Angeles / California,Apartment,Apartment,Marcus & Millichap,Marcus & Millichap,Unknown,Unknown,Unknown,Unknown,2026,,,,General Asset Signal,General Asset Signal,Existing asset sale,Unknown,excluded,transaction / capital guard: sale,83,26,Relevant to underwriting benchmark,Monitor asset-level signal for repeated confirmation,"Covina Apartments Trade on In-Place Cash Flow, Rental Upside",Connect CRE California,https://www.connectcre.com/stories/covina-apartments-trade-on-in-place-cash-flow-rental-upside/,High
2026-06-02,20260602-040308-43dadaf3,PRJ-20260602-0050,Recapitalization - California - PEF Advisors with Freestone Capital Form Joint Venture to Recapitalize Affordable Housing...,100,AST-20260602-047,art_710a6f5b7bd5884f,PEF Advisors with Freestone Capital Form Joint Venture to Recapitalize Affordable Housing Properties,https://yieldpro.com/2026/06/california-preservation-equity-fund/,"Mon, 01 Jun 2026 15:18:55 +0000","Deal boom News Pacific region Facebook Twitter Linkedin Preservation Equity Fund Advisors , an affiliate of the WNC family of companies, has formed a joint venture with Freestone Capital , a Seattle-based wealth advisory and asset management firm. The JV focuses on the long-term ownership and preservation of affordable housing communities. The JV includes four multifamily assets acquired through WNC California Preservation Equity Fund, L.P., PEF Advisors’ inaugural fund. The properties have been",suspicious_mismatch,title/source/url metadata are internally consistent; title and original_url slug appear to reference different articles,GP / Capital Activity,,acceptable_repeat,2026-06-01,2026-06-02,1,fresh_0_3d,current,published date parsed; article age 1 day(s),78,accessible,Recapitalization - California - PEF Advisors with Freestone Capital Form Joint Venture to Recapitalize Affordable Housing...,Recapitalization - California - PEF Advisors with Freestone Capital Form Joint Venture to Recapitalize Affordable Housing...,California,General submarket monitoring,California,Los Angeles,California,Affordable Housing,Affordable Housing,PEF Advisors,PEF Advisors,Unknown,Unknown,Unknown,Unknown,No explicit timing reference,,,,Recapitalization,Refinancing / Recapitalization,Unknown site control,Unknown,excluded,excluded financing-only article: recapitalization,81,51,High relevance to Woomi site strategy,"Review site details, sponsor, entitlement path, and local precedent",PEF Advisors with Freestone Capital Form Joint Venture to Recapitalize Affordable Housing Properties,Yield PRO,https://yieldpro.com/2026/06/california-preservation-equity-fund/,Medium
2026-06-02,20260602-040308-43dadaf3,PRJ-20260602-0112,Office-to-Residential Conversion - Other / Unknown - BHI Lends $170M on Third Avenue Office-to-Resi Conversion,100,AST-20260602-048,art_286c2a4c243693bb,BHI Lends $170M on Third Avenue Office-to-Resi Conversion,https://commercialobserver.com/2026/06/bhi-metro-loft-third-avenue-manhattan-office-to-resi-conversion/,"Mon, 01 Jun 2026 17:02:39 +0000","Residential Midtown East Finance · Construction Financing BHI Lends $170M on Third Avenue Office-to-Resi Conversion By Andrew Coen June 1, 2026 1:02 pm reprints BHI's Ilana Druyan (top) and Gil Karni and 767 Third Avenue. PHOTOS: Courtesy BHI; Propertyshark A joint venture between Quantum Pacific Realty and MetroLoft has landed $169.5 million of construction financing to execute an office-to-residential conversion in Midtown East, Commercial Observer can first report. BHI provided the loan for t",valid,title/source/url metadata are internally consistent,GP / Capital Activity,,acceptable_repeat,2026-06-01,2026-06-02,1,fresh_0_3d,current,published date parsed; article age 1 day(s),78,accessible,Office-to-Residential Conversion - Other / Unknown - BHI Lends $170M on Third Avenue Office-to-Resi Conversion,Office-to-Residential Conversion - Other / Unknown - BHI Lends $170M on Third Avenue Office-to-Resi Conversion,Unknown,Office conversion corridor,Unknown,Other / Unknown,Unknown,Office-to-Residential Conversion,Office-to-Residential,BHI,BHI,Unknown,Unknown,Unknown,Unknown,No explicit timing reference,,$170M; $170M; $169.5 million,,Office-to-Residential Conversion,Office-to-Residential Conversion,Unknown site control,Unknown,construction_delivery_watch,matched development / asset strategy execution,81,35,Relevant to underwriting benchmark,Monitor office conversion feasibility and policy support,BHI Lends $170M on Third Avenue Office-to-Resi Conversion,Commercial Observer,https://commercialobserver.com/2026/06/bhi-metro-loft-third-avenue-manhattan-office-to-resi-conversion/,Medium
2026-06-02,20260602-040308-43dadaf3,PRJ-20260602-0020,Entitlement / Permitting - California - 80 homes coming to 824 S. Gladys Ave. in San Gabriel,80,AST-20260602-056,art_f03032f65ed2e232,80 homes coming to 824 S. Gladys Ave. in San Gabriel,https://la.urbanize.city/post/80-homes-coming-824-s-gladys-ave-san-gabriel,"Mon, 01 Jun 2026 13:05:00 +0000","80 homes coming to 824 S. Gladys Ave. in San Gabriel | Urbanize LA Skip to main content Advertisement Advertisement A property just west of the Rubio Wash in San Gabriel is set for redeveloping with housing, according to an environmental notice. The project site, a vacant lot at 824 S. Gladys Avenue, is being developed by Orange County-based Olson Homes . Plans call for a collection of three-story building featuring 80 residential units with parking for 165 vehicles. Project entitlements include",valid,title/source/url metadata are internally consistent,Market Intelligence,,acceptable_repeat,2026-06-01,2026-06-02,1,fresh_0_3d,current,published date parsed; article age 1 day(s),78,accessible,Entitlement / Permitting - California - 80 homes coming to 824 S. Gladys Ave. in San Gabriel,Entitlement / Permitting - California - 80 homes coming to 824 S. Gladys Ave. in San Gabriel,824 S. Gladys Ave,General submarket monitoring,Orange County,Los Angeles,California,Mixed-Use Residential,BTR / Single-Family Rental,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No explicit timing reference,80 homes,,,Entitlement / Permitting,Entitlement Play,Project under entitlement,Unknown,approval_watch,matched permit,81,32,High relevance to Woomi site strategy,"Review site details, sponsor, entitlement path, and local precedent",80 homes coming to 824 S. Gladys Ave. in San Gabriel,Urbanize LA,https://la.urbanize.city/post/80-homes-coming-824-s-gladys-ave-san-gabriel,High
