run_date,run_id,run_timestamp,entity_type,entity_name,signal_type,market_or_region,residential_sector,first_seen_date,last_seen_date,observation_count,current_run_signal_count,persistence_score,momentum_direction,signal_acceleration,recurring_signal_label,historical_importance_score,longitudinal_conviction_score,institutional_persistence_score,capital_flow_strength_score
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Deal / Project,General Project Signal - Los Angeles - New proposal emerges for affordable housing at 1316 Linwood Ave. in Westlake,General Project Signal,Los Angeles,Affordable Housing,2026-05-19,2026-05-20,2,1,57,Stable,0,Emerging,60,58,51,44
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Lender / Debt Provider,walker & dunlop,Construction Financing,Sun Belt,Apartment,2026-05-20,2026-05-20,1,1,56,Stable,1,Emerging,60,58,70,71
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Market / Region,California,Financing Risk,California,,2026-05-20,2026-05-20,1,1,54,Stable,1,Emerging,60,56,50,63
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Relationship Edge,California -> California,Entitlement / Permitting,California,,2026-05-19,2026-05-20,2,1,53,Stable,0,Emerging,60,56,69,50
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Relationship Edge,California -> San Francisco,Entitlement / Permitting,California,,2026-05-19,2026-05-20,2,1,53,Stable,0,Emerging,60,56,69,50
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Relationship Edge,Los Angeles -> California,Entitlement / Permitting,California,,2026-05-19,2026-05-20,2,1,53,Stable,0,Emerging,60,56,69,50
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Relationship Edge,Los Angeles -> California,JV / Partnership,California,,2026-05-20,2026-05-20,1,1,53,Stable,1,Emerging,60,56,69,50
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Relationship Edge,Los Angeles -> Los Angeles,Disposition / Seller,Los Angeles,,2026-05-19,2026-05-19,2,0,53,Weakening,-2,Fading,60,56,69,50
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Relationship Edge,Los Angeles -> San Francisco,Entitlement / Permitting,California,,2026-05-19,2026-05-20,2,1,53,Stable,0,Emerging,60,56,69,50
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Relationship Edge,Quarterra -> Los Angeles,Disposition / Seller,Los Angeles,,2026-05-19,2026-05-19,2,0,53,Weakening,-2,Fading,60,56,69,50
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Relationship Edge,Los Angeles -> Sun Belt,Acquisition / Buyer,Sun Belt,,2026-05-19,2026-05-20,10,6,92,Accelerating,2,Accelerating,59,79,88,66
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Relationship Edge,Sun Belt -> Sun Belt,Acquisition / Buyer,Sun Belt,,2026-05-19,2026-05-20,10,4,92,Stable,-2,Persistent,59,79,88,66
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Residential Sector,Affordable Housing,"California affordability, entitlement, and public-private partnership signal",Los Angeles,Affordable Housing,2026-05-20,2026-05-20,1,1,56,Stable,1,Emerging,59,57,50,43
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Deal / Project,Entitlement / Permitting - Los Angeles - Tommy Beadel on why Los Angeles is the easiest place to develop real estate,Entitlement / Permitting,Los Angeles,Affordable Housing,2026-05-20,2026-05-20,1,1,56,Stable,1,Emerging,59,57,50,43
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Deal / Project,Office-to-Residential Conversion - Los Angeles - Former IBM offices at 3424 Wilshire to become housing,Office-to-Residential Conversion,Los Angeles,Office-to-Residential Conversion,2026-05-20,2026-05-20,1,1,55,Stable,1,Emerging,59,57,50,43
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Deal / Project,"General Project Signal - California - JLL, HJ Sims Secure $252.1M in Financing for Planned 214-Unit Seniors Housing Project in H...",General Project Signal,California,Senior Housing,2026-05-20,2026-05-20,1,1,54,Stable,1,Emerging,59,56,50,43
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Deal / Project,"General Project Signal - Los Angeles - Taylor Yard wetland takes shape, General Hospital update, and more",General Project Signal,Los Angeles,Mixed-Use Residential,2026-05-19,2026-05-20,2,1,54,Stable,0,Emerging,59,56,50,43
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Lender / Debt Provider,JLL,Construction Financing,Seattle,Apartment,2026-05-20,2026-05-20,1,1,54,Stable,1,Emerging,59,56,70,71
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Relationship Edge,Los Angeles -> California,Development Activity,California,,2026-05-19,2026-05-19,1,0,48,Weakening,-1,Fading,59,52,66,48
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Relationship Edge,Los Angeles -> California,Acquisition / Buyer,California,,2026-05-19,2026-05-19,1,0,48,Weakening,-1,Fading,59,52,66,48
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Relationship Edge,Los Angeles -> Los Angeles,JV / Partnership,Los Angeles,,2026-05-19,2026-05-19,1,0,48,Weakening,-1,Fading,59,52,66,48
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Relationship Edge,Los Angeles -> Los Angeles,Development Activity,Los Angeles,,2026-05-19,2026-05-19,1,0,48,Weakening,-1,Fading,59,52,66,48
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Relationship Edge,Quarterra -> California,Disposition / Seller,Los Angeles,,2026-05-19,2026-05-19,1,0,48,Weakening,-1,Fading,59,52,66,48
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Relationship Edge,Sun Belt -> Sun Belt,Market Expansion,Sun Belt,,2026-05-19,2026-05-20,12,5,90,Stable,-2,Persistent,58,77,88,65
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Relationship Edge,Hines -> hines,Financing Relationship,New York,,2026-05-19,2026-05-20,3,2,68,Stable,1,Persistent,58,64,76,76
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Relationship Edge,Hines -> New York,Financing Relationship,New York,,2026-05-19,2026-05-20,3,2,67,Stable,1,Persistent,58,63,76,76
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Deal / Project,"Entitlement / Permitting - California - Demolition Permits Filed For 772 Pacific Avenue in Chinatown, San Francisco",Entitlement / Permitting,California,Affordable Housing,2026-05-19,2026-05-20,2,1,53,Stable,0,Emerging,58,55,49,42
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Deal / Project,"Entitlement / Permitting - California - Formal Application Filed For Outer Richmond Safeway Redevelopment, San Francisco",Entitlement / Permitting,California,Affordable Housing,2026-05-19,2026-05-20,2,1,53,Stable,0,Emerging,58,55,49,42
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Deal / Project,General Project Signal - California - JLL Arranges $252M Financing for Huntington Beach Seniors Project,General Project Signal,California,Senior Housing,2026-05-20,2026-05-20,1,1,53,Stable,1,Emerging,58,55,49,42
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Institutional Capital Partner,kkr,Refinancing,Other / Unknown,Apartment,2026-05-20,2026-05-20,1,1,52,Stable,1,Emerging,58,54,68,70
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Lender / Debt Provider,walker & dunlop,Refinancing,Other / Unknown,Apartment,2026-05-20,2026-05-20,1,1,52,Stable,1,Emerging,58,54,68,70
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Lender / Debt Provider,cushman,Construction Financing,Other / Unknown,Affordable Housing,2026-05-20,2026-05-20,1,1,50,Stable,1,Emerging,58,53,68,69
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Relationship Edge,New York -> New York,Financing Relationship,New York,,2026-05-19,2026-05-19,5,0,66,Weakening,-5,Fading,57,62,76,75
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Deal / Project,Acquisition - California - WMC Commercial Buys Upland Village Green Multifamily Property in California for $48.5M,Acquisition,California,Apartment,2026-05-19,2026-05-19,1,0,48,Weakening,-1,Fading,57,52,46,40
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Deal / Project,Development Start - California - California Transforms Oakland’s Fruitvale Community with Cleanup of Polluted Land for Affo...,Development Start,California,Affordable Housing,2026-05-19,2026-05-19,1,0,48,Weakening,-1,Fading,57,52,46,40
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Deal / Project,Disposition / Exit - California - Upland Apartments’ Original Developer Divests for $48M,Disposition / Exit,California,Apartment,2026-05-19,2026-05-19,1,0,48,Weakening,-1,Fading,57,52,46,40
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Deal / Project,Disposition / Exit - Los Angeles - Hollywood Multifamily Sale Reaches Three-Year High in Pricing,Disposition / Exit,Los Angeles,Apartment,2026-05-19,2026-05-19,1,0,48,Weakening,-1,Fading,57,52,46,40
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Deal / Project,"Disposition / Exit - Los Angeles - Quarterra Seeks Buyers For Almost 4,000 Apartments",Disposition / Exit,Los Angeles,Apartment,2026-05-19,2026-05-19,1,0,48,Weakening,-1,Fading,57,52,46,40
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Deal / Project,Disposition / Exit - Los Angeles - Walker & Dunlop Offer High-Profile Ground-Up Mixed-Use Development Opportunity Adjacent to...,Disposition / Exit,Los Angeles,Mixed-Use Residential,2026-05-19,2026-05-19,1,0,48,Weakening,-1,Fading,57,52,46,40
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Deal / Project,Entitlement / Permitting - Los Angeles - Site prep underway for affordable housing at 4301 S. Vermont Ave.,Entitlement / Permitting,Los Angeles,Affordable Housing,2026-05-19,2026-05-19,1,0,48,Weakening,-1,Fading,57,52,46,40
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Institutional Capital Partner,Hines,Refinancing / Recapitalization,New York,Multifamily,2026-05-19,2026-05-19,1,0,48,Weakening,-1,Fading,57,52,66,68
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Lender / Debt Provider,JLL,Refinancing,New York,Multifamily,2026-05-19,2026-05-19,1,0,48,Weakening,-1,Fading,57,52,66,68
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Deal / Project,"JV / Partnership - Los Angeles - Lendlease, Aware Super Open Habitat Mixed-Use Campus in Los Angeles",JV / Partnership,Los Angeles,Mixed-Use Residential,2026-05-19,2026-05-19,1,0,48,Weakening,-1,Fading,57,52,46,40
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Residential Sector,Office-to-Residential Conversion,"Adaptive reuse, entitlement, and construction feasibility signal",California,Office-to-Residential Conversion,2026-05-19,2026-05-19,1,0,48,Weakening,-1,Fading,57,52,46,40
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Deal / Project,Office-to-Residential Conversion - California - San Jose’s Bank of Italy Building Set for Residential Conversion,Office-to-Residential Conversion,California,Mixed-Use Residential,2026-05-19,2026-05-19,1,0,48,Weakening,-1,Fading,57,52,46,40
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Deal / Project,Office-to-Residential Conversion - California - Silicon Valley Initiative Partnership Receives $74.1M in Financing for Office-to-Residenti...,Office-to-Residential Conversion,California,Office-to-Residential Conversion,2026-05-19,2026-05-19,1,0,48,Weakening,-1,Fading,57,52,46,40
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,GP / Developer,Quarterra,acquisition; disposition / exit; operational technology / AI adoption,Los Angeles,Apartment,2026-05-19,2026-05-19,1,0,48,Weakening,-1,Fading,57,52,46,40
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,GP / Developer,Quarterra,Disposition / Exit,Los Angeles,Apartment,2026-05-19,2026-05-19,1,0,48,Weakening,-1,Fading,57,52,46,40
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Institutional Capital Partner,hines,Refinancing,New York,Multifamily,2026-05-19,2026-05-19,1,0,48,Weakening,-1,Fading,57,52,66,68
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Relationship Edge,Sun Belt -> walker & dunlop,Financing Relationship,Sun Belt,,2026-05-20,2026-05-20,3,3,63,Accelerating,3,Accelerating,56,60,74,74
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Relationship Edge,Sun Belt -> CBRE,Financing Relationship,Sun Belt,,2026-05-19,2026-05-20,3,1,62,Stable,-1,Persistent,56,60,74,74
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Relationship Edge,Sun Belt -> JLL,Financing Relationship,Sun Belt,,2026-05-19,2026-05-20,3,1,62,Stable,-1,Persistent,56,60,74,74
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Relationship Edge,Wood Partners -> northmarq,Financing Relationship,Sun Belt,,2026-05-19,2026-05-20,2,1,62,Stable,0,Emerging,56,60,74,74
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Relationship Edge,Sun Belt -> Sun Belt,Disposition / Seller,Sun Belt,,2026-05-19,2026-05-20,8,4,81,Stable,0,Persistent,55,71,83,61
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Market / Region,Los Angeles,Developer Strategy,Los Angeles,,2026-05-19,2026-05-20,2,1,61,Stable,0,Emerging,55,59,53,45
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Relationship Edge,Los Angeles -> Berkadia,Financing Relationship,Sun Belt,,2026-05-19,2026-05-20,2,1,58,Stable,0,Emerging,55,57,72,72
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Relationship Edge,Sun Belt -> Fannie Mae,Financing Relationship,Sun Belt,,2026-05-19,2026-05-20,2,1,58,Stable,0,Emerging,55,57,72,72
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,GP / Developer,Hines,Refinancing,New York,Apartment,2026-05-20,2026-05-20,2,2,63,Accelerating,2,Accelerating,54,59,54,66
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Institutional Capital Partner,Wood Partners,Capital Outflow / Exit,Sun Belt,Apartment,2026-05-19,2026-05-20,2,1,62,Stable,0,Emerging,54,59,74,54
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Institutional Capital Partner,PMG,Operational / Platform Investment,Sun Belt,Apartment,2026-05-19,2026-05-20,2,1,60,Stable,0,Emerging,54,58,72,53
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Lender / Debt Provider,northmarq,Disposition / Exit,Sun Belt,Apartment,2026-05-19,2026-05-20,2,1,60,Stable,0,Emerging,54,58,72,53
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Relationship Edge,General Project Signal - Florida - S. Florida Ritz-Carlton Developer Inks $401M Bridge Loan -> Berkadia,Financing Relationship,Florida,,2026-05-19,2026-05-20,2,1,57,Stable,0,Emerging,54,56,71,72
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Relationship Edge,Los Angeles -> JLL,Financing Relationship,Sun Belt,,2026-05-19,2026-05-20,2,1,55,Stable,0,Emerging,54,55,70,71
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Relationship Edge,Wood Partners -> Sun Belt,Disposition / Seller,Sun Belt,,2026-05-19,2026-05-20,6,3,76,Stable,0,Persistent,53,67,80,59
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Lender / Debt Provider,Berkadia,Acquisition,Sun Belt,Apartment,2026-05-19,2026-05-20,2,1,59,Stable,0,Emerging,53,57,72,53
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Deal / Project,"Construction Financing - Sun Belt - PMG, LNDMRK Score $126M Financing for Wynwood Condos",Construction Financing,Sun Belt,Apartment,2026-05-19,2026-05-20,2,1,59,Stable,0,Emerging,53,57,52,65
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,GP / Developer,PMG,Construction Financing,Sun Belt,Apartment,2026-05-19,2026-05-20,2,1,59,Stable,0,Emerging,53,57,52,65
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Institutional Capital Partner,Carmel Partners,Capital Inflow,New York,Multifamily,2026-05-20,2026-05-20,1,1,58,Stable,1,Emerging,53,56,72,52
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Lender / Debt Provider,Fannie Mae,BTR / Build-to-Rent,Sun Belt,BTR / Single-Family Rental,2026-05-19,2026-05-20,2,1,58,Stable,0,Emerging,53,56,72,52
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Lender / Debt Provider,JLL,Disposition / Exit,Sun Belt,Apartment,2026-05-19,2026-05-20,2,1,58,Stable,0,Emerging,53,56,72,52
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Institutional Capital Partner,Quarterra,Development Capital Deployment,Seattle,Apartment,2026-05-20,2026-05-20,1,1,58,Stable,1,Emerging,53,56,72,52
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Deal / Project,Refinancing - New York - JLL Arranges $141.8M Refinancing for Wolf Point West Luxury Apartment Tower in Chicago,Refinancing,New York,Apartment,2026-05-20,2026-05-20,1,1,58,Stable,1,Emerging,53,56,52,64
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Institutional Capital Partner,UDR,Capital Inflow,New York,Multifamily,2026-05-20,2026-05-20,1,1,58,Stable,1,Emerging,53,56,72,52
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Lender / Debt Provider,Berkadia,General Project Signal,Florida,Apartment,2026-05-19,2026-05-20,2,1,57,Stable,0,Emerging,53,55,71,52
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Lender / Debt Provider,CBRE,Acquisition,Sun Belt,Apartment,2026-05-19,2026-05-20,2,1,57,Stable,0,Emerging,53,55,71,52
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Deal / Project,General Project Signal - California - Anaheim Industrial Outdoor Storage Site Secures Bridge Loan,General Project Signal,California,General Residential,2026-05-19,2026-05-20,2,1,55,Stable,0,Emerging,53,54,50,43
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Deal / Project,"JV / Partnership - California - Harbor Associates, Farallon Capital Acquire 280,000 SF Yorba Linda Commerce Center in Cali...",JV / Partnership,California,General Residential,2026-05-20,2026-05-20,1,1,55,Stable,1,Emerging,53,54,50,43
