run_date,run_id,file_name,file_type,category,generated_status,row_count_or_section_count,last_updated,short_description,recommended_reader
2026-08-25,20260825-232504-df6e4028,gp_watchlist.csv,CSV,GP / Institutional Intelligence,Generated,24,2026-08-25 23:25:10,Emerging GP ranking and watchlist.,Strategy Team
2026-08-25,20260825-232504-df6e4028,gp_intelligence.csv,CSV,GP / Institutional Intelligence,Generated,24,2026-08-25 23:25:10,Developer and GP intelligence signals.,Strategy Team
2026-08-25,20260825-232504-df6e4028,institutional_relationships.csv,CSV,GP / Institutional Intelligence,Generated,24,2026-08-25 23:25:10,Institutional relationship and capital-flow scoring.,Strategy Team
2026-08-25,20260825-232504-df6e4028,relationship_graph.csv,CSV,GP / Institutional Intelligence,Generated,119,2026-08-25 23:25:27,"Developer, lender, capital partner, and market relationship edges.",Strategy Team
2026-08-25,20260825-232504-df6e4028,regional_intelligence.csv,CSV,Strategy Briefing,Generated,13,2026-08-25 23:25:10,Market and regional intelligence summary.,US Local Team
2026-08-25,20260825-232504-df6e4028,residential_sector_intelligence.csv,CSV,Strategy Briefing,Generated,11,2026-08-25 23:25:10,Residential sector coverage beyond multifamily.,Strategy Team
2026-08-25,20260825-232504-df6e4028,historical_memory.csv,CSV,Historical Memory,Generated,7653,2026-08-25 23:25:11,Recurring entities and signals across runs.,Strategy Team
2026-08-25,20260825-232504-df6e4028,capital_flow_memory.csv,CSV,Historical Memory,Generated,1626,2026-08-25 23:25:11,Capital-flow memory and lender recurrence tracking.,Finance / Treasury
2026-08-25,20260825-232504-df6e4028,relationship_persistence.csv,CSV,Historical Memory,Generated,2121,2026-08-25 23:25:11,"Recurring GP, lender, and capital relationships.",Strategy Team
2026-08-25,20260825-232504-df6e4028,pipeline_manifest.csv,CSV,Quality Control,Generated,60,2026-08-25 23:25:28,Index of major outputs and their status.,Technical / Maintenance
2026-08-25,20260825-232504-df6e4028,pipeline_manifest.md,Markdown,Quality Control,Generated,3,2026-08-25 23:25:28,Human-readable pipeline output index.,Technical / Maintenance
2026-08-25,20260825-232504-df6e4028,pipeline_health.csv,CSV,Quality Control,Generated,141,2026-08-25 23:25:28,Machine-readable pipeline health checks.,Technical / Maintenance
2026-08-25,20260825-232504-df6e4028,pipeline_health_report.md,Markdown,Quality Control,Generated,6,2026-08-25 23:25:28,Human-readable pipeline health report.,Technical / Maintenance
2026-08-25,20260825-232504-df6e4028,error_log.csv,CSV,Quality Control,Generated,2900,2026-08-25 23:25:28,Append-only log of non-fatal warnings and errors.,Technical / Maintenance
2026-08-25,20260825-232504-df6e4028,run_summary.md,Markdown,Quality Control,Generated,5,2026-08-25 23:25:28,Short beginner-friendly summary of the latest run.,Executive
