run_date,run_id,signal_quality_id,canonical_project_id,canonical_project_name,market,submarket,gp_or_developer,residential_sector,source_quality_score,multi_source_confirmation_score,specificity_score,lifecycle_consistency_score,persistence_score,overall_signal_quality_score,signal_quality_label,institutional_confidence_label,false_positive_risk,signal_decay_risk,supporting_source_count,recurring_observation_count,lifecycle_consistency_flag,multi_source_confirmation_flag,recommended_signal_action,evidence_summary,confidence_reason
2026-05-28,20260528-230155-27f9735b,SQ-20260528-017,PRJ-20260528-0052,Entitlement / Permitting - California - Updated plan for apartments at 1238 Lincoln Blvd. in Santa Monica,California,Unknown,Lincoln Property Company,Apartment,95,100,85,60,85,86,Institutional Grade,Strong Institutional Signal,Very Low,Persistent,8,9,Needs Review,Confirmed,Immediate strategic review,"8 source file(s), 9 observation(s), latest stage Unknown Stage, identity confidence 100",multi-source confirmation; persistent observations; specific project / sponsor / location clues
2026-05-28,20260528-230155-27f9735b,SQ-20260528-007,PRJ-20260528-0146,"JV / Partnership - Texas - LV Collective, Peninsula Break Ground on 922-Bed Student Housing Project in College Statio...",Texas,Texas,Unknown,Student Housing,95,100,70,60,99,85,Institutional Grade,Strong Institutional Signal,Very Low,Persistent,6,8,Needs Review,Confirmed,Immediate strategic review,"6 source file(s), 8 observation(s), latest stage Unknown Stage, identity confidence 80",multi-source confirmation; persistent observations; specific project / sponsor / location clues
2026-05-28,20260528-230155-27f9735b,SQ-20260528-020,PRJ-20260528-0069,Refinancing - Sun Belt - Northmarq Arranges Refi for 199-Unit Corpus Christi Rental Community,Sun Belt,Houston,Unknown,Apartment,95,92,70,95,74,85,Institutional Grade,Strong Institutional Signal,Very Low,Stable,4,4,Consistent,Confirmed,Immediate strategic review,"4 source file(s), 4 observation(s), latest stage Refinancing / Recapitalization, identity confidence 80",multi-source confirmation; some recurrence; specific project / sponsor / location clues
2026-05-28,20260528-230155-27f9735b,SQ-20260528-014,PRJ-20260528-0119,Disposition / Exit - Sun Belt - Institutional Property Advisors Brokers Southeast Phoenix Multifamily Asset Sale,Sun Belt,Phoenix,Unknown,Apartment,95,100,70,60,86,83,High Confidence,Institutional Watch,Very Low,Persistent,4,15,Needs Review,Confirmed,Add to executive watchlist,"4 source file(s), 15 observation(s), latest stage Unknown Stage, identity confidence 80",multi-source confirmation; persistent observations; specific project / sponsor / location clues
2026-05-28,20260528-230155-27f9735b,SQ-20260528-018,PRJ-20260528-0127,Office-to-Residential Conversion - Southeast - JBG Smith Begins Office-to-Residential Conversion Project in Metro D.C.,Southeast,Southeast,Unknown,Office-to-Residential Conversion,95,100,60,75,83,83,High Confidence,Institutional Watch,Very Low,Persistent,7,14,Consistent,Confirmed,Add to executive watchlist,"7 source file(s), 14 observation(s), latest stage Site Acquisition / Site Control, identity confidence 80",multi-source confirmation; persistent observations; limited specificity
2026-05-28,20260528-230155-27f9735b,SQ-20260528-009,PRJ-20260528-0123,Acquisition - Seattle - TMR Investments Acquires Multifamily Property VIVE Apartments in Seattle’s Ballard Neighbo...,Seattle,Seattle,Unknown,Apartment,95,100,60,60,90,81,High Confidence,Institutional Watch,Very Low,Persistent,6,6,Needs Review,Confirmed,Add to executive watchlist,"6 source file(s), 6 observation(s), latest stage Unknown Stage, identity confidence 80",multi-source confirmation; persistent observations; limited specificity
2026-05-28,20260528-230155-27f9735b,SQ-20260528-004,PRJ-20260528-0080,Modular / Construction Innovation - Los Angeles - Modular housing manufacturing proposed for city-owned site at 10901 S. Clovis St. in South...,California,Los Angeles,Unknown,Affordable Housing,65,100,70,65,100,80,High Confidence,Institutional Watch,Very Low,Persistent,4,23,Needs Review,Confirmed,Add to executive watchlist,"4 source file(s), 23 observation(s), latest stage Refinancing / Recapitalization, identity confidence 80",multi-source confirmation; persistent observations; specific project / sponsor / location clues
2026-05-28,20260528-230155-27f9735b,SQ-20260528-015,PRJ-20260528-0064,Disposition / Exit - Sun Belt - Institutional Property Advisors Closes Sale and Arranges Financing for a 458-Unit Multifam...,Sun Belt,Dallas,Unknown,Multifamily,95,92,60,60,79,77,High Confidence,Institutional Watch,Low,Likely Noise,4,4,Needs Review,Confirmed,Add to executive watchlist,"4 source file(s), 4 observation(s), latest stage Unknown Stage, identity confidence 80",multi-source confirmation; some recurrence; limited specificity
2026-05-28,20260528-230155-27f9735b,SQ-20260528-019,PRJ-20260528-0083,JBG Smith Begins Office-to-Residential Conversion Project in Metro D.C.,Southeast,Los Angeles,Unknown,Office-to-Residential Conversion,65,92,60,95,76,77,High Confidence,Institutional Watch,Low,Stable,4,4,Consistent,Confirmed,Add to executive watchlist,"4 source file(s), 4 observation(s), latest stage Site Acquisition / Site Control, identity confidence 80",multi-source confirmation; some recurrence; limited specificity
2026-05-28,20260528-230155-27f9735b,SQ-20260528-016,PRJ-20260528-0116,Office-to-Residential Conversion - Other / Unknown - Milwaukee Office-to-Multifamily Redevelopment Conversion Project Secures $114M Rehabilitat...,Other / Unknown,Unknown,Unknown,Affordable Housing,95,100,50,95,85,74,High Confidence,Institutional Watch,Low,Persistent,7,58,Consistent,Confirmed,Add to executive watchlist,"7 source file(s), 58 observation(s), latest stage Site Acquisition / Site Control, identity confidence 80",multi-source confirmation; persistent observations; limited specificity
2026-05-28,20260528-230155-27f9735b,SQ-20260528-052,PRJ-20260528-0142,Disposition / Exit - Sun Belt - Charlotte Apartment Project Fetches $107M,Sun Belt,Unknown,Wood Partners,Apartment,70,84,85,60,54,72,High Confidence,Institutional Watch,Low,Persistent,3,6,Needs Review,Confirmed,Add to executive watchlist,"3 source file(s), 6 observation(s), latest stage Unknown Stage, identity confidence 100",multi-source confirmation; persistent observations; specific project / sponsor / location clues
2026-05-28,20260528-230155-27f9735b,SQ-20260528-021,PRJ-20260528-0084,Institutional Property Advisors Closes Sale and Arranges Financing for a 458-Unit Multifamily Property in Suburban Dallas,Sun Belt,Los Angeles,Unknown,Multifamily,65,92,60,60,74,71,High Confidence,Institutional Watch,Low,Likely Noise,4,4,Needs Review,Confirmed,Add to executive watchlist,"4 source file(s), 4 observation(s), latest stage Unknown Stage, identity confidence 80",multi-source confirmation; some recurrence; limited specificity
2026-05-28,20260528-230155-27f9735b,SQ-20260528-036,PRJ-20260528-0082,Modular / Construction Innovation - Los Angeles - Modular housing manufacturing proposed for city-owned site at 10901 S. Clovis St. in South...,Other / Unknown,Los Angeles,Unknown,Affordable Housing,65,100,60,60,67,71,High Confidence,Institutional Watch,Low,Persistent,3,45,Needs Review,Confirmed,Add to executive watchlist,"3 source file(s), 45 observation(s), latest stage Unknown Stage, identity confidence 80",multi-source confirmation; persistent observations; limited specificity
2026-05-28,20260528-230155-27f9735b,SQ-20260528-029,PRJ-20260528-0120,"JV / Partnership - California - New Rendering For 650 Divisadero Street, San Francisco",California,San Francisco,Unknown,Apartment,95,69,60,60,65,70,High Confidence,Institutional Watch,Low,Likely Noise,3,3,Needs Review,Confirmed,Add to executive watchlist,"3 source file(s), 3 observation(s), latest stage Unknown Stage, identity confidence 80",multi-source confirmation; some recurrence; limited specificity
2026-05-28,20260528-230155-27f9735b,SQ-20260528-032,PRJ-20260528-0081,Modular / Construction Innovation - Los Angeles - Modular housing manufacturing proposed for city-owned site at 10901 S. Clovis St. in South...,Los Angeles,Unknown,Unknown,Affordable Housing,95,100,60,60,70,68,Moderate Confidence,Early Institutional Signal,Low,Persistent,5,24,Needs Review,Confirmed,Monitor for confirmation,"5 source file(s), 24 observation(s), latest stage Unknown Stage, identity confidence 80",multi-source confirmation; persistent observations; limited specificity
2026-05-28,20260528-230155-27f9735b,SQ-20260528-041,PRJ-20260528-0058,Acquisition - California - Bascom Arizona Ventures Continues Acquisition Spree Acquires Off-Market Tucson Multifamily...,Other / Unknown,Los Angeles,Unknown,Affordable Housing,45,100,60,60,63,66,Moderate Confidence,Early Institutional Signal,Low,Persistent,2,18,Needs Review,Confirmed,Monitor for confirmation,"2 source file(s), 18 observation(s), latest stage Unknown Stage, identity confidence 80",partial source diversity; persistent observations; limited specificity
2026-05-28,20260528-230155-27f9735b,SQ-20260528-035,PRJ-20260528-0148,Development Start - National - Multifamily starts rose again in April,Unknown,U.S.,Unknown,Apartment,65,69,60,60,58,63,Moderate Confidence,Early Institutional Signal,Moderate,Likely Noise,3,3,Needs Review,Confirmed,Monitor for confirmation,"3 source file(s), 3 observation(s), latest stage Unknown Stage, identity confidence 80",multi-source confirmation; some recurrence; limited specificity
2026-05-28,20260528-230155-27f9735b,SQ-20260528-053,PRJ-20260528-0143,Disposition / Exit - Sun Belt - Institutional Property Advisors Closes Sale and Arranges Financing for a 458-Unit Multifam...,Sun Belt,Unknown,Unknown,Apartment,70,100,70,60,57,62,Moderate Confidence,Early Institutional Signal,Moderate,Persistent,3,27,Needs Review,Confirmed,Monitor for confirmation,"3 source file(s), 27 observation(s), latest stage Unknown Stage, identity confidence 80",multi-source confirmation; persistent observations; specific project / sponsor / location clues
2026-05-28,20260528-230155-27f9735b,SQ-20260528-042,PRJ-20260528-0044,Entitlement / Permitting - Sun Belt - Cambridge Properties Bringing New Life to Aging Charlotte Center,Other / Unknown,Los Angeles,Unknown,Apartment,45,71,60,60,62,60,Moderate Confidence,Early Institutional Signal,Moderate,Persistent,2,7,Needs Review,Confirmed,Monitor for confirmation,"2 source file(s), 7 observation(s), latest stage Unknown Stage, identity confidence 80",partial source diversity; persistent observations; limited specificity
2026-05-28,20260528-230155-27f9735b,SQ-20260528-033,PRJ-20260528-0067,Developer scores construction loan for mixed-use project at 8025 Santa Monica Blvd. in West Hollywood,California,Hollywood,Unknown,Affordable Housing,45,46,60,95,57,60,Moderate Confidence,Early Institutional Signal,Moderate,Stable,2,2,Consistent,Partial,Monitor for confirmation,"2 source file(s), 2 observation(s), latest stage Refinancing / Recapitalization, identity confidence 80",partial source diversity; some recurrence; limited specificity
2026-05-28,20260528-230155-27f9735b,SQ-20260528-023,PRJ-20260528-0009,Entitlement / Permitting - California - Updated plan for apartments at 1238 Lincoln Blvd. in Santa Monica,California,California,Lincoln Property Company,Apartment,45,46,75,60,69,59,Moderate Confidence,Early Institutional Signal,Moderate,Likely Noise,2,2,Needs Review,Partial,Monitor for confirmation,"2 source file(s), 2 observation(s), latest stage Unknown Stage, identity confidence 100",partial source diversity; some recurrence; specific project / sponsor / location clues
2026-05-28,20260528-230155-27f9735b,SQ-20260528-037,PRJ-20260528-0059,17 apartments planned at 2217 S. Fox Hills Dr. in Century City,California,Century City,Unknown,Affordable Housing,45,46,60,95,54,59,Moderate Confidence,Early Institutional Signal,Moderate,Stable,2,2,Consistent,Partial,Monitor for confirmation,"2 source file(s), 2 observation(s), latest stage Site Acquisition / Site Control, identity confidence 80",partial source diversity; some recurrence; limited specificity
2026-05-28,20260528-230155-27f9735b,SQ-20260528-038,PRJ-20260528-0062,40 apartments slated for 4080 Lafayette Place in Culver City,Southeast,Culver City,Unknown,Apartment,45,46,60,95,54,59,Moderate Confidence,Early Institutional Signal,Moderate,Stable,2,2,Consistent,Partial,Monitor for confirmation,"2 source file(s), 2 observation(s), latest stage Site Acquisition / Site Control, identity confidence 80",partial source diversity; some recurrence; limited specificity
2026-05-28,20260528-230155-27f9735b,SQ-20260528-024,PRJ-20260528-0117,Office-to-Residential Conversion - Other / Unknown - Milwaukee Office-to-Multifamily Redevelopment Conversion Project Secures $114M Rehabilitat...,Unknown,Unknown,Unknown,Affordable Housing,45,98,60,60,77,58,Moderate Confidence,Early Institutional Signal,Moderate,Persistent,1,16,Needs Review,Confirmed,Monitor for confirmation,"1 source file(s), 16 observation(s), latest stage Unknown Stage, identity confidence 80",single-source or thin source base; persistent observations; limited specificity
2026-05-28,20260528-230155-27f9735b,SQ-20260528-025,PRJ-20260528-0149,Office-to-Residential Conversion - Other / Unknown - Milwaukee Office-to-Multifamily Redevelopment Conversion Project Secures $114M Rehabilitat...,Unknown,Unknown,Unknown,BTR / Single-Family Rental,45,100,50,65,77,58,Moderate Confidence,Early Institutional Signal,Moderate,Persistent,2,34,Needs Review,Confirmed,Monitor for confirmation,"2 source file(s), 34 observation(s), latest stage Refinancing / Recapitalization, identity confidence 80",partial source diversity; persistent observations; limited specificity
2026-05-28,20260528-230155-27f9735b,SQ-20260528-050,PRJ-20260528-0086,"Slate, Avenue Realty Buy Manhattan Apartment Building for $32M",New York,Manhattan,Unknown,Apartment,45,46,60,75,49,55,Moderate Confidence,Early Institutional Signal,Moderate,Fading,2,2,Consistent,Partial,Monitor for confirmation,"2 source file(s), 2 observation(s), latest stage Site Acquisition / Site Control, identity confidence 80",partial source diversity; some recurrence; limited specificity
2026-05-28,20260528-230155-27f9735b,SQ-20260528-022,PRJ-20260528-0039,Construction Financing - Los Angeles - Developer scores construction loan for mixed-use project at 8025 Santa Monica Blvd. in Wes...,California,Los Angeles,Unknown,Affordable Housing,45,28,70,60,69,54,Weak Signal,Speculative,Moderate,Likely Noise,1,2,Needs Review,Partial,Track only,"1 source file(s), 2 observation(s), latest stage Unknown Stage, identity confidence 80",single-source or thin source base; some recurrence; specific project / sponsor / location clues
2026-05-28,20260528-230155-27f9735b,SQ-20260528-026,PRJ-20260528-0019,Entitlement / Permitting - Los Angeles - 17 apartments planned at 2217 S. Fox Hills Dr. in Century City,California,Los Angeles,Unknown,Affordable Housing,45,28,70,60,64,53,Weak Signal,Speculative,Moderate,Likely Noise,1,2,Needs Review,Partial,Track only,"1 source file(s), 2 observation(s), latest stage Unknown Stage, identity confidence 80",single-source or thin source base; some recurrence; specific project / sponsor / location clues
2026-05-28,20260528-230155-27f9735b,SQ-20260528-027,PRJ-20260528-0012,General Project Signal - Los Angeles - Affordable housing slated for 1418 S. Mansfield Ave. in Mid-City,California,Los Angeles,Unknown,Affordable Housing,45,28,70,60,64,53,Weak Signal,Speculative,Moderate,Likely Noise,1,2,Needs Review,Partial,Track only,"1 source file(s), 2 observation(s), latest stage Unknown Stage, identity confidence 80",single-source or thin source base; some recurrence; specific project / sponsor / location clues
2026-05-28,20260528-230155-27f9735b,SQ-20260528-028,PRJ-20260528-0024,Entitlement / Permitting - Southeast - 40 apartments slated for 4080 Lafayette Place in Culver City,Southeast,Southeast,Unknown,Apartment,45,28,70,60,63,53,Weak Signal,Speculative,Moderate,Likely Noise,1,2,Needs Review,Partial,Track only,"1 source file(s), 2 observation(s), latest stage Unknown Stage, identity confidence 80",single-source or thin source base; some recurrence; specific project / sponsor / location clues
2026-05-28,20260528-230155-27f9735b,SQ-20260528-031,PRJ-20260528-0015,General Project Signal - Los Angeles - Renderings revealed: Arts District towers at 2143 E. Violet Street,California,Los Angeles,Unknown,Affordable Housing,45,28,70,60,60,52,Weak Signal,Speculative,Moderate,Likely Noise,1,2,Needs Review,Partial,Track only,"1 source file(s), 2 observation(s), latest stage Unknown Stage, identity confidence 80",single-source or thin source base; some recurrence; specific project / sponsor / location clues
2026-05-28,20260528-230155-27f9735b,SQ-20260528-046,PRJ-20260528-0042,Renderings revealed: Arts District towers at 2143 E. Violet Street,California,Arts District,Unknown,Affordable Housing,45,46,60,60,50,52,Weak Signal,Speculative,Moderate,Likely Noise,2,2,Needs Review,Partial,Track only,"2 source file(s), 2 observation(s), latest stage Unknown Stage, identity confidence 80",partial source diversity; some recurrence; limited specificity
2026-05-28,20260528-230155-27f9735b,SQ-20260528-077,PRJ-20260528-0132,Eaton Vance Picks Charlotte Rental Community for $65.8M,Sun Belt,Unknown,Disposition / Exit - Sun Belt - Eaton Vance Picks Charlotte Rental Community for $65.8M,General Residential,50,33,85,60,28,52,Weak Signal,Speculative,Moderate,Likely Noise,1,3,Needs Review,Partial,Track only,"1 source file(s), 3 observation(s), latest stage Unknown Stage, identity confidence 100",single-source or thin source base; some recurrence; specific project / sponsor / location clues
2026-05-28,20260528-230155-27f9735b,SQ-20260528-078,PRJ-20260528-0128,El-Ad Pays $45.5M for Coconut Grove Property,Sun Belt,Unknown,Acquisition - Sun Belt - El-Ad Pays $45.5M for Coconut Grove Property,General Residential,50,33,85,60,28,52,Weak Signal,Speculative,Moderate,Likely Noise,1,3,Needs Review,Partial,Track only,"1 source file(s), 3 observation(s), latest stage Unknown Stage, identity confidence 100",single-source or thin source base; some recurrence; specific project / sponsor / location clues
2026-05-28,20260528-230155-27f9735b,SQ-20260528-079,PRJ-20260528-0141,Northmarq Arranges Refi for 199-Unit Corpus Christi Rental Community,Sun Belt,Unknown,Refinancing - Sun Belt - Northmarq Arranges Refi for 199-Unit Corpus Christi Rental Community,General Residential,50,33,85,60,28,52,Weak Signal,Speculative,Moderate,Likely Noise,1,3,Needs Review,Partial,Track only,"1 source file(s), 3 observation(s), latest stage Unknown Stage, identity confidence 100",single-source or thin source base; some recurrence; specific project / sponsor / location clues
2026-05-28,20260528-230155-27f9735b,SQ-20260528-064,PRJ-20260528-0131,Alta Developers Lands $91.8M Construction Loan for Miami Apartments,Sun Belt,Unknown,Construction Financing - Sun Belt - Alta Developers Lands $91.8M Construction Loan for Miami Apartments,General Residential,50,28,85,60,30,51,Weak Signal,Speculative,Moderate,Likely Noise,1,2,Needs Review,Partial,Track only,"1 source file(s), 2 observation(s), latest stage Unknown Stage, identity confidence 100",single-source or thin source base; some recurrence; specific project / sponsor / location clues
2026-05-28,20260528-230155-27f9735b,SQ-20260528-067,PRJ-20260528-0055,HUD Section 223(f) Loan Refinances Chula Vista Multifamily,California,Unknown,Refinancing - California - HUD Section 223(f) Loan Refinances Chula Vista Multifamily,General Residential,50,28,85,60,30,51,Weak Signal,Speculative,Moderate,Likely Noise,1,2,Needs Review,Partial,Track only,"1 source file(s), 2 observation(s), latest stage Unknown Stage, identity confidence 100",single-source or thin source base; some recurrence; specific project / sponsor / location clues
2026-05-28,20260528-230155-27f9735b,SQ-20260528-068,PRJ-20260528-0135,Institutional Property Advisors Closes Sale and Arranges Financing for a 458-Unit Multifamily Property in Suburban Dallas,Sun Belt,Unknown,Disposition / Exit - Sun Belt - Institutional Property Advisors Closes Sale and Arranges Financing for a 458-Unit Multifam...,General Residential,50,28,85,60,30,51,Weak Signal,Speculative,Moderate,Likely Noise,1,2,Needs Review,Partial,Track only,"1 source file(s), 2 observation(s), latest stage Unknown Stage, identity confidence 100",single-source or thin source base; some recurrence; specific project / sponsor / location clues
2026-05-28,20260528-230155-27f9735b,SQ-20260528-069,PRJ-20260528-0050,JLL Arranges $252M Financing for Huntington Beach Seniors Project,California,Unknown,General Project Signal - California - JLL Arranges $252M Financing for Huntington Beach Seniors Project,General Residential,50,28,85,60,30,51,Weak Signal,Speculative,Moderate,Likely Noise,1,2,Needs Review,Partial,Track only,"1 source file(s), 2 observation(s), latest stage Unknown Stage, identity confidence 100",single-source or thin source base; some recurrence; specific project / sponsor / location clues
2026-05-28,20260528-230155-27f9735b,SQ-20260528-070,PRJ-20260528-0049,JLL Lines Up $144M Construction Loan for Santa Ana Multifamily,California,Unknown,Construction Financing - California - JLL Lines Up $144M Construction Loan for Santa Ana Multifamily,General Residential,50,28,85,60,30,51,Weak Signal,Speculative,Moderate,Likely Noise,1,2,Needs Review,Partial,Track only,"1 source file(s), 2 observation(s), latest stage Unknown Stage, identity confidence 100",single-source or thin source base; some recurrence; specific project / sponsor / location clues
2026-05-28,20260528-230155-27f9735b,SQ-20260528-072,PRJ-20260528-0051,"New Rendering For 650 Divisadero Street, San Francisco",California,Unknown,"JV / Partnership - California - New Rendering For 650 Divisadero Street, San Francisco",General Residential,50,28,85,60,30,51,Weak Signal,Speculative,Moderate,Likely Noise,1,2,Needs Review,Partial,Track only,"1 source file(s), 2 observation(s), latest stage Unknown Stage, identity confidence 100",single-source or thin source base; some recurrence; specific project / sponsor / location clues
2026-05-28,20260528-230155-27f9735b,SQ-20260528-075,PRJ-20260528-0096,"Slate, Avenue Realty Buy Manhattan Apartment Building for $32M",New York,Unknown,"JV / Partnership - New York - Slate, Avenue Realty Buy Manhattan Apartment Building for $32M",General Residential,50,28,85,60,30,51,Weak Signal,Speculative,Moderate,Likely Noise,1,2,Needs Review,Partial,Track only,"1 source file(s), 2 observation(s), latest stage Unknown Stage, identity confidence 100",single-source or thin source base; some recurrence; specific project / sponsor / location clues
2026-05-28,20260528-230155-27f9735b,SQ-20260528-076,PRJ-20260528-0056,Walker & Dunlop Structures $101.6M HUD-Insured Loan for Refinancing of Apartment Property in Chula Vista,California,Unknown,Refinancing - California - Walker & Dunlop Structures $101.6M HUD-Insured Loan for Refinancing of Apartment Property...,General Residential,50,28,85,60,30,51,Weak Signal,Speculative,Moderate,Likely Noise,1,2,Needs Review,Partial,Track only,"1 source file(s), 2 observation(s), latest stage Unknown Stage, identity confidence 100",single-source or thin source base; some recurrence; specific project / sponsor / location clues
2026-05-28,20260528-230155-27f9735b,SQ-20260528-030,PRJ-20260528-0031,"JV / Partnership - California - New Rendering For 650 Divisadero Street, San Francisco",California,San Francisco,Unknown,Apartment,45,28,60,60,61,50,Weak Signal,Speculative,Moderate,Likely Noise,1,2,Needs Review,Partial,Track only,"1 source file(s), 2 observation(s), latest stage Unknown Stage, identity confidence 80",single-source or thin source base; some recurrence; limited specificity
2026-05-28,20260528-230155-27f9735b,SQ-20260528-034,PRJ-20260528-0007,Modular / Construction Innovation - Los Angeles - Modular housing manufacturing proposed for city-owned site at 10901 S. Clovis St. in South...,California,Los Angeles,Unknown,Affordable Housing,45,28,60,60,57,49,Weak Signal,Speculative,Moderate,Likely Noise,1,2,Needs Review,Partial,Track only,"1 source file(s), 2 observation(s), latest stage Unknown Stage, identity confidence 80",single-source or thin source base; some recurrence; limited specificity
2026-05-28,20260528-230155-27f9735b,SQ-20260528-080,PRJ-20260528-0054,$46M Bridge Loan Refinances Newly Built Moreno Valley Apartments,California,Unknown,Refinancing - California - $46M Bridge Loan Refinances Newly Built Moreno Valley Apartments,General Residential,50,23,85,60,22,49,Weak Signal,Speculative,Moderate,Likely Noise,1,1,Needs Review,Single Source,Track only,"1 source file(s), 1 observation(s), latest stage Unknown Stage, identity confidence 100",single-source or thin source base; limited recurrence; specific project / sponsor / location clues
2026-05-28,20260528-230155-27f9735b,SQ-20260528-081,PRJ-20260528-0073,17 apartments planned at 2217 S. Fox Hills Dr. in Century City,Los Angeles,Unknown,Entitlement / Permitting - Los Angeles - 17 apartments planned at 2217 S. Fox Hills Dr. in Century City,General Residential,50,23,85,60,22,49,Weak Signal,Speculative,Moderate,Likely Noise,1,1,Needs Review,Single Source,Track only,"1 source file(s), 1 observation(s), latest stage Unknown Stage, identity confidence 100",single-source or thin source base; limited recurrence; specific project / sponsor / location clues
