run_timestamp,primary_regime,secondary_regime,confidence_level,total_articles,high_priority_articles,market_signal_articles,strategy_briefing_articles,top_strategic_angle,top_market_focus,top_market_signal
2026-06-26 00:11:02,Developer Strategy Shift,Financing Stress,Medium,79,40,33,45,Developer Strategy,Other / Unknown,Rent Growth Signal
2026-06-27 00:08:44,Developer Strategy Shift,Financing Stress,High,68,34,28,37,Developer Strategy,Other / Unknown,Rent Growth Signal
2026-06-28 00:03:36,Developer Strategy Shift,Financing Stress,High,77,41,29,44,Developer Strategy,Other / Unknown,Rent Growth Signal
2026-06-29 00:11:04,Developer Strategy Shift,Financing Stress,High,78,43,32,46,Developer Strategy,Los Angeles / California,Rent Growth Signal
2026-06-30 00:05:28,Developer Strategy Shift,Selective Capital Re-entry,High,88,52,38,53,Developer Strategy,Other / Unknown,Rent Growth Signal
2026-07-01 00:07:01,Developer Strategy Shift,Selective Capital Re-entry,High,83,47,33,51,Developer Strategy,Los Angeles / California,Supply / Starts Signal
2026-07-02 00:08:20,Developer Strategy Shift,Selective Capital Re-entry,High,87,46,33,51,Developer Strategy,Los Angeles / California,Rent Growth Signal
2026-07-03 00:06:40,Developer Strategy Shift,Financing Stress,High,81,44,31,47,Developer Strategy,Los Angeles / California,Supply / Starts Signal
2026-07-04 00:05:26,Developer Strategy Shift,Financing Stress,High,81,43,28,46,Developer Strategy,Los Angeles / California,Supply / Starts Signal
2026-07-05 00:02:52,Developer Strategy Shift,Financing Stress,High,82,45,29,48,Developer Strategy,Los Angeles / California,Supply / Starts Signal
2026-07-06 00:06:44,Developer Strategy Shift,Financing Stress,High,82,44,31,48,Developer Strategy,Los Angeles / California,Supply / Starts Signal
2026-07-07 00:09:48,Developer Strategy Shift,Selective Capital Re-entry,High,91,50,39,53,Developer Strategy,Other / Unknown,Supply / Starts Signal
2026-07-07 23:59:00,Developer Strategy Shift,Selective Capital Re-entry,High,81,48,35,50,Developer Strategy,Other / Unknown,Rent Growth Signal
2026-07-09 00:10:33,Developer Strategy Shift,Selective Capital Re-entry,High,75,42,29,44,Developer Strategy,Miami / Florida,Deal Size Signal
2026-07-10 00:06:50,Developer Strategy Shift,Selective Capital Re-entry,High,84,46,27,47,Developer Strategy,Other / Unknown,Rent Growth Signal
2026-07-10 23:59:37,Developer Strategy Shift,Selective Capital Re-entry,High,77,47,26,47,Developer Strategy,Los Angeles / California,Deal Size Signal
2026-07-11 23:55:45,Developer Strategy Shift,Selective Capital Re-entry,High,77,47,27,47,Developer Strategy,Other / Unknown,Deal Size Signal
2026-07-12 23:55:18,Developer Strategy Shift,Selective Capital Re-entry,High,78,49,28,49,Developer Strategy,Other / Unknown,Deal Size Signal
2026-07-13 23:55:20,Developer Strategy Shift,Selective Capital Re-entry,High,77,50,31,51,Developer Strategy,Atlanta / Georgia,Rent Growth Signal
2026-07-14 23:54:20,Developer Strategy Shift,Selective Capital Re-entry,High,79,47,30,49,Developer Strategy,California,Supply / Starts Signal
