run_date,run_id,canonical_project_id,canonical_project_name,project_identity_confidence,opportunity_id,deal_fingerprint_id,duplicate_cluster_id,opportunity_type,market,residential_sector,gp_or_developer,lender_or_capital_provider,related_project_or_deal,source_article_title,source,url,opportunity_score,opportunity_uniqueness_score,event_materiality_score,repeat_coverage_score,institutional_confirmation_score,opportunity_priority_label,evidence_signals,why_it_matters,potential_woomi_angle,recommended_next_action,confidence_level
2026-07-07,20260707-235900-c117bd3d,PRJ-20260707-0146,Refinancing - Other / Unknown - PCCP Provides $80M Loan for the Refinance of a 343-Unit Class A Apartment Property in Beth...,100,OPP-20260707-036,DFP-7DE7318768,DCL-20260707-036,Refinancing Gap,Other / Unknown,Apartment,PCCP,Unknown,Refinancing - Other / Unknown - PCCP Provides $80M Loan for the Refinance of a 343-Unit Class A Apartment Property in Beth...,PCCP Provides $80M Loan for the Refinance of a 343-Unit Class A Apartment Property in Bethesda Maryland,Yield PRO,https://yieldpro.com/2026/07/the-rae/,81,100,74,25,94,Immediate Opportunity Watch,Refinancing; refinancing,"Refinancing Gap may create a pricing, capital, partnership, or pipeline opening in Other / Unknown.","Track potential rescue capital, debt recapitalization, or capital partner opening",Add to executive opportunity review,Medium
2026-07-07,20260707-235900-c117bd3d,PRJ-20260707-0038,Acquisition - Atlanta / Georgia - CBRE Arranges Sale of 16-Story Moore Office Building in Nashville,100,OPP-20260707-032,DFP-B0B29026B7,DCL-20260707-032,Acquisition Opportunity,Atlanta / Georgia,General Residential,CBRE,CBRE,Acquisition - Atlanta / Georgia - CBRE Arranges Sale of 16-Story Moore Office Building in Nashville,CBRE Arranges Sale of 16-Story Moore Office Building in Nashville,REBusiness Online,https://rebusinessonline.com/cbre-arranges-sale-of-16-story-moore-office-building-in-nashville/,80,100,75,25,100,Immediate Opportunity Watch,Acquisition; acquisition,"Acquisition Opportunity may create a pricing, capital, partnership, or pipeline opening in Atlanta / Georgia.","Use as a possible acquisition, pricing, or distressed basis benchmark",Add to executive opportunity review,Medium
2026-07-07,20260707-235900-c117bd3d,PRJ-20260707-0062,"Acquisition - Dallas / Texas - IPA Arranges Sale of 250-Unit Alta Firewheel Apartments in Garland, Texas",100,OPP-20260707-006,DFP-4535EC72AA,DCL-20260707-006,Acquisition Opportunity,Dallas / Texas,Apartment,Wood Partners,Unknown,"Acquisition - Dallas / Texas - IPA Arranges Sale of 250-Unit Alta Firewheel Apartments in Garland, Texas","IPA Arranges Sale of 250-Unit Alta Firewheel Apartments in Garland, Texas",REBusiness Online,https://rebusinessonline.com/ipa-arranges-sale-of-250-unit-alta-firewheel-apartments-in-garland-texas/,80,100,86,25,90,Immediate Opportunity Watch,Acquisition; acquisition,"Acquisition Opportunity may create a pricing, capital, partnership, or pipeline opening in Dallas / Texas.","Use as a possible acquisition, pricing, or distressed basis benchmark",Add to executive opportunity review,Medium
2026-07-07,20260707-235900-c117bd3d,PRJ-20260707-0081,Acquisition - Los Angeles / California - How Alliance Residential navigated the sales market to buy 2K apartments since December,100,OPP-20260707-020,DFP-743CC0F74B,DCL-20260707-020,Acquisition Opportunity,Los Angeles / California,Apartment,Alliance Residential,Unknown,Acquisition - Los Angeles / California - How Alliance Residential navigated the sales market to buy 2K apartments since December,How Alliance Residential navigated the sales market to buy 2K apartments since December,Multifamily Dive,https://www.multifamilydive.com/news/alliance-residential-multifamily-investment-strategy/824616/,79,100,79,25,91,Strategic Opportunity Watch,Acquisition; acquisition,"Acquisition Opportunity may create a pricing, capital, partnership, or pipeline opening in Los Angeles / California.","Use as a possible acquisition, pricing, or distressed basis benchmark","Research owner, basis, pricing, and transaction history",Medium
2026-07-07,20260707-235900-c117bd3d,PRJ-20260707-0074,General Project Signal - Florida - Walker & Dunlop Arranges $232M Financing for Workforce Housing Portfolio,100,OPP-20260707-004,DFP-83B387F4E2,DCL-20260707-004,Affordable / Workforce Housing Opportunity,Florida,Affordable Housing,Walker & Dunlop,walker & dunlop,General Project Signal - Florida - Walker & Dunlop Arranges $232M Financing for Workforce Housing Portfolio,Walker & Dunlop Arranges $232M Financing for Workforce Housing Portfolio,Yield PRO,https://yieldpro.com/2026/07/greystone-woods-apartments/,79,100,89,25,81,Strategic Opportunity Watch,General Project Signal,"Affordable / Workforce Housing Opportunity may create a pricing, capital, partnership, or pipeline opening in Florida.","Monitor public-private, LIHTC, or workforce housing partnership angle",Monitor for repeated signals,Low
2026-07-07,20260707-235900-c117bd3d,PRJ-20260707-0149,Acquisition - Phoenix / Arizona - Alliance Sells Phoenix Apartments for $81.4M,100,OPP-20260707-023,DFP-57DB0FC8DC,DCL-20260707-023,Acquisition Opportunity,Phoenix / Arizona,Apartment,Alliance Residential,Unknown,Acquisition - Phoenix / Arizona - Alliance Sells Phoenix Apartments for $81.4M,Alliance Sells Phoenix Apartments for $81.4M,Connect CRE Phoenix,https://www.connectcre.com/stories/alliance-sells-phoenix-apartments-for-81-4m/,78,100,78,25,91,Strategic Opportunity Watch,Acquisition; acquisition,"Acquisition Opportunity may create a pricing, capital, partnership, or pipeline opening in Phoenix / Arizona.","Use as a possible acquisition, pricing, or distressed basis benchmark","Research owner, basis, pricing, and transaction history",Medium
2026-07-07,20260707-235900-c117bd3d,PRJ-20260707-0112,Acquisition - Miami / Florida - Pembroke Pines Rental Asset Trades for $80.5M,100,OPP-20260707-026,DFP-4D0058AABC,DCL-20260707-026,Acquisition Opportunity,Miami / Florida,Apartment,Waterton,Unknown,Acquisition - Miami / Florida - Pembroke Pines Rental Asset Trades for $80.5M,Pembroke Pines Rental Asset Trades for $80.5M,Connect CRE South Florida,https://www.connectcre.com/stories/pembroke-pines-rental-asset-trades-for-80-5m/,75,100,77,25,80,Strategic Opportunity Watch,Acquisition; acquisition,"Acquisition Opportunity may create a pricing, capital, partnership, or pipeline opening in Miami / Florida.","Use as a possible acquisition, pricing, or distressed basis benchmark","Research owner, basis, pricing, and transaction history",Medium
2026-07-07,20260707-235900-c117bd3d,PRJ-20260707-0073,Disposition / Exit - Florida - Marcus & Millichap Arranges $4.6M Sale of Multifamily Asset in Daytona Beach Area,100,OPP-20260707-031,DFP-442538C4EC,DCL-20260707-031,GP Capability Partnership Opportunity,Florida,Multifamily,Marcus & Millichap,Unknown,Disposition / Exit - Florida - Marcus & Millichap Arranges $4.6M Sale of Multifamily Asset in Daytona Beach Area,Marcus & Millichap Arranges $4.6M Sale of Multifamily Asset in Daytona Beach Area,Yield PRO,https://yieldpro.com/2026/07/regents-park/,74,100,76,25,83,Strategic Opportunity Watch,Disposition / Exit,"GP Capability Partnership Opportunity may create a pricing, capital, partnership, or pipeline opening in Florida.",Map possible GP partnership or capability-building relationship,"Map GP, capital partner, and relationship history",Low
2026-07-07,20260707-235900-c117bd3d,PRJ-20260707-0117,Disposition / Exit - National - Berkadia Hires C&W’s Blake Okland as Chief Revenue Officer,100,OPP-20260707-035,DFP-34FBAA2573,DCL-20260707-035,GP Capability Partnership Opportunity,National,Multifamily,Berkadia,Berkadia,Disposition / Exit - National - Berkadia Hires C&W’s Blake Okland as Chief Revenue Officer,Berkadia Hires C&W’s Blake Okland as Chief Revenue Officer,Commercial Observer,https://commercialobserver.com/2026/07/berkadia-blake-okland-cushman-wakefield/,74,100,74,25,84,Strategic Opportunity Watch,Disposition / Exit,"GP Capability Partnership Opportunity may create a pricing, capital, partnership, or pipeline opening in National.",Map possible GP partnership or capability-building relationship,"Map GP, capital partner, and relationship history",Low
2026-07-07,20260707-235900-c117bd3d,PRJ-20260707-0058,Development Start - California - KTGY and SHAC Mark Announce Groundbreaking of 11 El Camino Real in San Carlos California,80,OPP-20260707-014,DFP-3A117CD672,DCL-20260707-014,Refinancing Gap,California,Apartment,Unknown,Unknown,Refinancing - California - Slatt Capital Arranges Life Company Loan for Novato Multifamily,Slatt Capital Arranges Life Company Loan for Novato Multifamily,Connect CRE Apartments,https://www.connectcre.com/stories/slatt-capital-arranges-life-company-loan-for-novato-multifamily/,70,100,84,25,33,Strategic Opportunity Watch,Refinancing; refinancing,"Refinancing Gap may create a pricing, capital, partnership, or pipeline opening in California.","Evaluate LA / California entitlement, zoning, or local GP partnership relevance","Track debt stack, maturity, lender, and recapitalization details",Medium
2026-07-07,20260707-235900-c117bd3d,PRJ-20260707-0058,Development Start - California - KTGY and SHAC Mark Announce Groundbreaking of 11 El Camino Real in San Carlos California,80,OPP-20260707-019,DFP-48E08EB561,DCL-20260707-019,Refinancing Gap,California,Multifamily,Unknown,Unknown,Refinancing - California - Slatt Capital Arranges $21M Refinance for 213-Unit Multifamily Community in Novato Califor...,Slatt Capital Arranges $21M Refinance for 213-Unit Multifamily Community in Novato California,Yield PRO,https://yieldpro.com/2026/07/slatt-los-robles/,69,100,81,25,33,Strategic Opportunity Watch,Refinancing; refinancing,"Refinancing Gap may create a pricing, capital, partnership, or pipeline opening in California.","Evaluate LA / California entitlement, zoning, or local GP partnership relevance","Track debt stack, maturity, lender, and recapitalization details",Medium
2026-07-07,20260707-235900-c117bd3d,PRJ-20260707-0113,Office-to-Residential Conversion - Miami / Florida - Keyah Lands $38M to Reposition Miami Beach Hotel Into a Starwood Brand,80,OPP-20260707-028,DFP-22EE1ED222,DCL-20260707-028,Construction Financing Gap,Miami / Florida,Apartment,Unknown,Unknown,Construction Financing - Miami / Florida - LCOR Inks $192.5M Construction Loan for Biscayne Bay Apartments,LCOR Inks $192.5M Construction Loan for Biscayne Bay Apartments,Connect CRE South Florida,https://www.connectcre.com/stories/lcor-inks-192-5m-construction-loan-for-biscayne-bay-apartments/,63,100,77,25,33,Strategic Opportunity Watch,Construction Financing; construction loan,"Construction Financing Gap may create a pricing, capital, partnership, or pipeline opening in Miami / Florida.","Track potential rescue capital, debt recapitalization, or capital partner opening","Track debt stack, maturity, lender, and recapitalization details",Medium
2026-07-07,20260707-235900-c117bd3d,PRJ-20260707-0058,Development Start - California - KTGY and SHAC Mark Announce Groundbreaking of 11 El Camino Real in San Carlos California,80,OPP-20260707-033,DFP-7EBBA487B2,DCL-20260707-033,LA / California Entitlement Opportunity,California,Apartment,Unknown,Unknown,Development Start - California - KTGY and SHAC Mark Announce Groundbreaking of 11 El Camino Real in San Carlos California,KTGY and SHAC Mark Announce Groundbreaking of 11 El Camino Real in San Carlos California,Yield PRO,https://yieldpro.com/2026/07/el-camino-real/,63,100,75,25,33,Strategic Opportunity Watch,Development Start,"LA / California Entitlement Opportunity may create a pricing, capital, partnership, or pipeline opening in California.","Evaluate LA / California entitlement, zoning, or local GP partnership relevance","Review entitlement, zoning, permitting, and local sponsor context",Low
2026-07-07,20260707-235900-c117bd3d,PRJ-20260707-0113,Office-to-Residential Conversion - Miami / Florida - Keyah Lands $38M to Reposition Miami Beach Hotel Into a Starwood Brand,80,OPP-20260707-013,DFP-FCF9676ECA,DCL-20260707-013,Land / Pipeline Opportunity,Miami / Florida,Apartment,Unknown,wells fargo,Development Start - Miami / Florida - Developer Begins Work on 476-Unit Delray Beach Rental Community,Developer Begins Work on 476-Unit Delray Beach Rental Community,Connect CRE South Florida,https://www.connectcre.com/stories/developer-begins-work-on-476-unit-delray-beach-rental-community/,63,100,84,25,33,Strategic Opportunity Watch,Development Start,"Land / Pipeline Opportunity may create a pricing, capital, partnership, or pipeline opening in Miami / Florida.","Monitor for underwriting, market-entry, or partnership implications",Monitor for repeated signals,Low
2026-07-07,20260707-235900-c117bd3d,PRJ-20260707-0177,Refinancing - Seattle - Gantry Secures $40M for Suburban Portland MF Assets,80,OPP-20260707-025,DFP-879CECC4A4,DCL-20260707-025,Refinancing Gap,Seattle,Apartment,Unknown,Unknown,Refinancing - Seattle - Gantry Secures $40M for Suburban Portland MF Assets,Gantry Secures $40M for Suburban Portland MF Assets,Connect CRE,https://www.connectcre.com/stories/gantry-secures-40m-for-suburban-portland-mf-assets/,63,100,78,25,33,Strategic Opportunity Watch,Refinancing; refinancing,"Refinancing Gap may create a pricing, capital, partnership, or pipeline opening in Seattle.","Track potential rescue capital, debt recapitalization, or capital partner opening","Track debt stack, maturity, lender, and recapitalization details",Medium
2026-07-07,20260707-235900-c117bd3d,PRJ-20260707-0113,Office-to-Residential Conversion - Miami / Florida - Keyah Lands $38M to Reposition Miami Beach Hotel Into a Starwood Brand,80,OPP-20260707-018,DFP-29C24D57C3,DCL-20260707-018,Office-to-Residential Conversion Opportunity,Miami / Florida,Office-to-Residential Conversion,Unknown,starwood,Office-to-Residential Conversion - Miami / Florida - Keyah Lands $38M to Reposition Miami Beach Hotel Into a Starwood Brand,Keyah Lands $38M to Reposition Miami Beach Hotel Into a Starwood Brand,Commercial Observer,https://commercialobserver.com/2026/07/keyah-miami-south-beach-starwood-treehouse/,62,100,81,25,33,Strategic Opportunity Watch,Office-to-Residential Conversion; conversion; office-to-residential,"Office-to-Residential Conversion Opportunity may create a pricing, capital, partnership, or pipeline opening in Miami / Florida.","Monitor for underwriting, market-entry, or partnership implications",Monitor for repeated signals,Medium
2026-07-07,20260707-235900-c117bd3d,PRJ-20260707-0088,Entitlement / Permitting - Los Angeles / California - City Council upholds approval of mixed-use project at 1410 Main St. in Venice,80,OPP-20260707-022,DFP-E915F015CA,DCL-20260707-022,LA / California Entitlement Opportunity,Los Angeles / California,Affordable Housing,Unknown,Unknown,Entitlement / Permitting - Los Angeles / California - City Council upholds approval of mixed-use project at 1410 Main St. in Venice,City Council upholds approval of mixed-use project at 1410 Main St. in Venice,Urbanize LA,https://la.urbanize.city/post/city-council-upholds-approval-mixed-use-project-1410-main-st-venice,61,100,79,25,33,Strategic Opportunity Watch,Entitlement / Permitting,"LA / California Entitlement Opportunity may create a pricing, capital, partnership, or pipeline opening in Los Angeles / California.","Monitor public-private, LIHTC, or workforce housing partnership angle","Review entitlement, zoning, permitting, and local sponsor context",Low
2026-07-07,20260707-235900-c117bd3d,PRJ-20260707-0125,Office-to-Residential Conversion - New York City / New York - Structural columns buckle on 21st floor of Manhattan adaptive reuse project,80,OPP-20260707-024,DFP-FF9B46AFBA,DCL-20260707-024,Affordable / Workforce Housing Opportunity,New York City / New York,Affordable Housing,Unknown,Unknown,Disposition / Exit - New York City / New York - Ariel Closes Sale of Upper West Side Section 8 Apartments,Ariel Closes Sale of Upper West Side Section 8 Apartments,Connect CRE Apartments,https://www.connectcre.com/stories/ariel-closes-sale-of-upper-west-side-section-8-apartments/,60,100,78,25,33,Strategic Opportunity Watch,Disposition / Exit,"Affordable / Workforce Housing Opportunity may create a pricing, capital, partnership, or pipeline opening in New York City / New York.","Monitor public-private, LIHTC, or workforce housing partnership angle",Monitor for repeated signals,Low
2026-07-07,20260707-235900-c117bd3d,PRJ-20260707-0049,Entitlement / Permitting - Beverly Hills / California - 23 homes slated for 227 N. Swall Drive in Beverly Hills,80,OPP-20260707-021,DFP-0BA7C3E8E6,DCL-20260707-021,LA / California Entitlement Opportunity,Beverly Hills / California,Affordable Housing,Unknown,Unknown,Entitlement / Permitting - Beverly Hills / California - 23 homes slated for 227 N. Swall Drive in Beverly Hills,23 homes slated for 227 N. Swall Drive in Beverly Hills,Urbanize LA,https://la.urbanize.city/post/23-homes-slated-227-n-swall-drive-beverly-hills,60,100,79,25,33,Strategic Opportunity Watch,Entitlement / Permitting,"LA / California Entitlement Opportunity may create a pricing, capital, partnership, or pipeline opening in Beverly Hills / California.","Monitor public-private, LIHTC, or workforce housing partnership angle","Review entitlement, zoning, permitting, and local sponsor context",Low
2026-07-07,20260707-235900-c117bd3d,PRJ-20260707-0120,Refinancing - National - Gantry Secures $40M for Pair of Oregon Multifamily Properties,80,OPP-20260707-041,DFP-311AFEFB6F,DCL-20260707-041,Refinancing Gap,National,Apartment,Unknown,Unknown,Refinancing - National - Gantry Secures $40M for Pair of Oregon Multifamily Properties,Gantry Secures $40M for Pair of Oregon Multifamily Properties,Yield PRO,https://yieldpro.com/2026/07/squires-court/,60,100,72,25,33,Strategic Opportunity Watch,Refinancing; refinancing,"Refinancing Gap may create a pricing, capital, partnership, or pipeline opening in National.","Track potential rescue capital, debt recapitalization, or capital partner opening","Track debt stack, maturity, lender, and recapitalization details",Medium
2026-07-07,20260707-235900-c117bd3d,PRJ-20260707-0125,Office-to-Residential Conversion - New York City / New York - Structural columns buckle on 21st floor of Manhattan adaptive reuse project,80,OPP-20260707-027,DFP-97CCEFA663,DCL-20260707-027,Acquisition Opportunity,New York City / New York,Apartment,Unknown,Unknown,Acquisition - New York City / New York - Nuveen Buys Pair of Upper West Side Multifamily Properties for $75M,Nuveen Buys Pair of Upper West Side Multifamily Properties for $75M,Commercial Observer,https://commercialobserver.com/2026/07/nuveen-buys-upper-west-side-multifamily-portfolio/,59,100,77,25,33,Monitor,Acquisition; acquisition,"Acquisition Opportunity may create a pricing, capital, partnership, or pipeline opening in New York City / New York.","Use as a possible acquisition, pricing, or distressed basis benchmark","Research owner, basis, pricing, and transaction history",Medium
2026-07-07,20260707-235900-c117bd3d,PRJ-20260707-0088,Entitlement / Permitting - Los Angeles / California - City Council upholds approval of mixed-use project at 1410 Main St. in Venice,80,OPP-20260707-038,DFP-C95C5E873A,DCL-20260707-038,Affordable / Workforce Housing Opportunity,Los Angeles / California,Affordable Housing,Unknown,Unknown,General Project Signal - Los Angeles / California - Mixed-use affordable housing slated for 9700 W. Venice Blvd. in Palms,Mixed-use affordable housing slated for 9700 W. Venice Blvd. in Palms,Urbanize LA,https://la.urbanize.city/post/mixed-use-affordable-housing-slated-9700-w-venice-blvd-palms,59,100,73,25,33,Monitor,General Project Signal,"Affordable / Workforce Housing Opportunity may create a pricing, capital, partnership, or pipeline opening in Los Angeles / California.","Monitor public-private, LIHTC, or workforce housing partnership angle",Monitor for repeated signals,Low
2026-07-07,20260707-235900-c117bd3d,PRJ-20260707-0131,General Project Signal - New York - Meridian Arranges 10-Year Refi Loan for Kew Gardens Apartments,80,OPP-20260707-030,DFP-407E0A2A47,DCL-20260707-030,Land / Pipeline Opportunity,New York,Apartment,Unknown,jpmorgan,General Project Signal - New York - Meridian Arranges 10-Year Refi Loan for Kew Gardens Apartments,Meridian Arranges 10-Year Refi Loan for Kew Gardens Apartments,Connect CRE,https://www.connectcre.com/stories/meridian-arranges-10-year-refi-loan-for-kew-gardens-apartments/,59,100,77,25,33,Monitor,General Project Signal,"Land / Pipeline Opportunity may create a pricing, capital, partnership, or pipeline opening in New York.","Monitor for underwriting, market-entry, or partnership implications",Monitor for repeated signals,Low
2026-07-07,20260707-235900-c117bd3d,PRJ-20260707-0170,"General Project Signal - Santa Monica / California - SB 79 takes effect, Measure ULA to remain, and more",80,OPP-20260707-039,DFP-D6DFEEF551,DCL-20260707-039,Land / Pipeline Opportunity,Santa Monica / California,Apartment,Unknown,Unknown,"General Project Signal - Santa Monica / California - SB 79 takes effect, Measure ULA to remain, and more","SB 79 takes effect, Measure ULA to remain, and more",Urbanize LA,https://la.urbanize.city/post/sb-79-takes-effect-measure-ula-remain-and-more,59,100,73,25,33,Monitor,General Project Signal,"Land / Pipeline Opportunity may create a pricing, capital, partnership, or pipeline opening in Santa Monica / California.","Monitor for underwriting, market-entry, or partnership implications",Monitor for repeated signals,Low
