run_date,run_id,canonical_project_id,canonical_project_name,project_identity_confidence,asset_signal_id,canonical_article_id,article_integrity_status,primary_display_section,secondary_display_sections,repeat_exposure_status,freshness_score,access_status,canonical_asset_or_project_name,raw_project_or_property_name,address_or_location_clue,intersection_or_corridor,neighborhood_or_submarket,city,state_or_region,residential_sector,asset_type,gp_or_developer,owner_or_sponsor,lender_or_capital_partner,entitlement_status,permit_status,construction_status,delivery_or_timing_reference,unit_count,dollar_amount,site_size_or_area,deal_or_project_type,asset_strategy_signal,site_control_signal,execution_stage,primary_development_category,primary_category_reason,asset_opportunity_score,asset_risk_score,woomi_asset_relevance,recommended_asset_follow_up,evidence_article_title,source,url,confidence_level
2026-05-29,20260529-230138-14a22af3,PRJ-20260529-0019,Entitlement / Permitting - Los Angeles - Infill housing slated for 349 N. Oakhurst Ave. in Beverly Hills,80,AST-20260529-045,art_a7fdd8493624e02a,valid,Development Activity,,new_or_fresh,100,accessible,Entitlement / Permitting - Los Angeles - Infill housing slated for 349 N. Oakhurst Ave. in Beverly Hills,Entitlement / Permitting - Los Angeles - Infill housing slated for 349 N. Oakhurst Ave. in Beverly Hills,349 N. Oakhurst Ave,General submarket monitoring,Los Angeles,Los Angeles,California,Apartment,Apartment,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No explicit timing reference,,,,Entitlement / Permitting,Entitlement Play,Project under entitlement,Unknown,approval_watch,matched permit,86,40,High relevance to Woomi site strategy,"Review site details, sponsor, entitlement path, and local precedent",Infill housing slated for 349 N. Oakhurst Ave. in Beverly Hills,Urbanize LA,https://la.urbanize.city/post/infill-housing-slated-349-n-oakhurst-ave-beverly-hills,Medium
2026-05-29,20260529-230138-14a22af3,PRJ-20260529-0080,Modular / Construction Innovation - Los Angeles - Modular housing manufacturing proposed for city-owned site at 10901 S. Clovis St. in South...,80,AST-20260529-048,art_b7482369fd1a0600,valid,Development Activity,GP / Capital Activity,repeat_penalized,48,accessible,"JV / Partnership - Los Angeles - Logos Faith, St. Rest Break Ground on 138-Unit Affordable Housing","JV / Partnership - Los Angeles - Logos Faith, St. Rest Break Ground on 138-Unit Affordable Housing",Los Angeles,General submarket monitoring,Los Angeles,Los Angeles,California,Affordable Housing,Affordable Housing,Unknown,Unknown,Unknown,Unknown,Unknown,Construction started,broke ground,,,,JV / Partnership,Affordable / Density Bonus Strategy,Unknown site control,Under Construction,construction_delivery_watch,matched broke ground,86,32,High relevance to Woomi site strategy,"Review site details, sponsor, entitlement path, and local precedent","Logos Faith, St. Rest Break Ground on 138-Unit Affordable Housing",Connect CRE Apartments,https://www.connectcre.com/stories/logos-faith-st-rest-break-ground-on-138-unit-affordable-housing/,Low
2026-05-29,20260529-230138-14a22af3,PRJ-20260529-0084,Refinancing - New York - PNC Bank Refis West Village Apartment Building With $404M Loan,80,AST-20260529-037,art_0301e5b5e4f10e49,valid,GP / Capital Activity,,new_or_fresh,100,accessible,Refinancing - New York - PNC Bank Refis West Village Apartment Building With $404M Loan,Refinancing - New York - PNC Bank Refis West Village Apartment Building With $404M Loan,Manhattan,General submarket monitoring,Manhattan,Los Angeles,New York,Apartment,Apartment,Unknown,Unknown,Freddie Mac,Unknown,Unknown,Unknown,No explicit timing reference,,$404M; $404M; $404 million,,Refinancing,Refinancing / Recapitalization,Existing asset refinance,Unknown,excluded,excluded financing-only article: refinancing,85,56,Relevant to acquisition / JV sourcing,"Review acquisition, financing, ownership, and comparable transaction details",PNC Bank Refis West Village Apartment Building With $404M Loan,Commercial Observer,https://commercialobserver.com/2026/05/pnc-bank-rockrose-west-village-apartment-building/,Low
2026-05-29,20260529-230138-14a22af3,PRJ-20260529-0087,Construction Financing - Sun Belt - Alta Developers Lands $91.8M Construction Loan for Miami Apartments,80,AST-20260529-042,art_86d3cff087fb1b43,valid,GP / Capital Activity,,repeat_penalized,55,accessible,Construction Financing - Sun Belt - Alta Developers Lands $91.8M Construction Loan for Miami Apartments,Construction Financing - Sun Belt - Alta Developers Lands $91.8M Construction Loan for Miami Apartments,Miami,General submarket monitoring,Miami,Los Angeles,Sun Belt,Apartment,Apartment,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No explicit timing reference,,$91.8M; $91.8M; $91.8 million,,Construction Financing,Refinancing / Recapitalization,Land / parcel referenced,Site Search / Early Signal,excluded,excluded financing-only article: construction loan,85,47,Relevant to acquisition / JV sourcing,"Review acquisition, financing, ownership, and comparable transaction details",Alta Developers Lands $91.8M Construction Loan for Miami Apartments,Connect CRE South Florida,https://www.connectcre.com/stories/alta-developers-lands-91-8m-construction-loan-for-miami-apartments/,Low
2026-05-29,20260529-230138-14a22af3,PRJ-20260529-0019,Entitlement / Permitting - Los Angeles - Infill housing slated for 349 N. Oakhurst Ave. in Beverly Hills,80,AST-20260529-002,art_a7fdd8493624e02a,valid,Development Activity,,new_or_fresh,100,accessible,Infill housing slated for 349 N. Oakhurst Ave. in Beverly Hills,Infill housing slated for 349 N. Oakhurst Ave. in Beverly Hills,349 N. Oakhurst Ave,General submarket monitoring,Los Angeles,Los Angeles,California,Apartment,Apartment,Unknown,Unknown,Unknown,Under planning review,Unknown,Unknown,No explicit timing reference,,,,Entitlement Play,Entitlement Play,Unknown site control,Entitlement / Planning,approval_watch,matched planning commission,85,40,High relevance to Woomi site strategy,"Review site details, sponsor, entitlement path, and local precedent",Infill housing slated for 349 N. Oakhurst Ave. in Beverly Hills,Urbanize LA,https://la.urbanize.city/post/infill-housing-slated-349-n-oakhurst-ave-beverly-hills,Medium
2026-05-29,20260529-230138-14a22af3,PRJ-20260529-0031,"JV / Partnership - California - New Rendering For 650 Divisadero Street, San Francisco",80,AST-20260529-052,art_ad040dd8d5af5489,suspicious_duplicate,Development Activity,GP / Capital Activity,repeat_penalized,54,accessible,"JV / Partnership - California - New Rendering For 650 Divisadero Street, San Francisco","JV / Partnership - California - New Rendering For 650 Divisadero Street, San Francisco",650 Divisadero Street,General submarket monitoring,San Francisco,Los Angeles,California,Apartment,Apartment,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No explicit timing reference,,,,JV / Partnership,Entitlement Play,Project under entitlement,Unknown,approval_watch,matched entitlement,85,39,High relevance to Woomi site strategy,"Review site details, sponsor, entitlement path, and local precedent","New Rendering For 650 Divisadero Street, San Francisco",SF YIMBY,https://sfyimby.com/2026/05/new-rendering-for-650-divisadero-street-san-francisco.html,Medium
2026-05-29,20260529-230138-14a22af3,PRJ-20260529-0035,"Logos Faith, St. Rest Break Ground on 138-Unit Affordable Housing",80,AST-20260529-008,art_b7482369fd1a0600,valid,Development Activity,GP / Capital Activity,repeat_penalized,48,accessible,"Logos Faith, St. Rest Break Ground on 138-Unit Affordable Housing","Logos Faith, St. Rest Break Ground on 138-Unit Affordable Housing",709 W. Manchester Ave,General submarket monitoring,Unknown,Los Angeles,California,Affordable Housing,Affordable Housing,Unknown,Unknown,Unknown,Unknown,Unknown,Construction started,2026,,,,Affordable / Density Bonus Strategy,Affordable / Density Bonus Strategy,Unknown site control,Under Construction,construction_delivery_watch,matched broke ground,85,32,High relevance to Woomi site strategy,"Review site details, sponsor, entitlement path, and local precedent","Logos Faith, St. Rest Break Ground on 138-Unit Affordable Housing",Connect CRE Apartments,https://www.connectcre.com/stories/logos-faith-st-rest-break-ground-on-138-unit-affordable-housing/,Medium
2026-05-29,20260529-230138-14a22af3,PRJ-20260529-0093,Construction Financing - National - Basis Investment Group Announces $43M Refinancing and Lease-Up of Newly Constructed Class-...,80,AST-20260529-056,art_00ad5a96ed9b12ba,valid,Development Activity,GP / Capital Activity,new_or_fresh,100,accessible,Construction Financing - National - Basis Investment Group Announces $43M Refinancing and Lease-Up of Newly Constructed Class-...,Construction Financing - National - Basis Investment Group Announces $43M Refinancing and Lease-Up of Newly Constructed Class-...,National,Waterfront redevelopment,National,Los Angeles,Unknown,Multifamily,Multifamily,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No explicit timing reference,,$43M; $43M; $43m,,Construction Financing,Refinancing / Recapitalization,Unknown site control,Delivered / Lease-Up,construction_delivery_watch,matched lease-up,84,45,Relevant to acquisition / JV sourcing,"Review acquisition, financing, ownership, and comparable transaction details",Basis Investment Group Announces $43M Refinancing and Lease-Up of Newly Constructed Class-A Multifamily on Philadelphia Waterfront,Yield PRO,https://yieldpro.com/2026/05/residences-at-pier-40/,Low
2026-05-29,20260529-230138-14a22af3,PRJ-20260529-0080,Modular / Construction Innovation - Los Angeles - Modular housing manufacturing proposed for city-owned site at 10901 S. Clovis St. in South...,80,AST-20260529-038,art_aac28584f7614e52,valid,GP / Capital Activity,,new_or_fresh,100,accessible,"Disposition / Exit - Los Angeles - Covina Apartments Trade on In-Place Cash Flow, Rental Upside","Disposition / Exit - Los Angeles - Covina Apartments Trade on In-Place Cash Flow, Rental Upside",Los Angeles,General submarket monitoring,Los Angeles,Los Angeles,California,Apartment,Apartment,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No explicit timing reference,,$8.2 million; $205; $8.2 million,,Disposition / Exit,General Asset Signal,Existing asset sale,Unknown,excluded,excluded operating-asset disposition,84,40,High relevance to Woomi site strategy,"Review site details, sponsor, entitlement path, and local precedent","Covina Apartments Trade on In-Place Cash Flow, Rental Upside",Connect CRE,https://www.connectcre.com/stories/covina-apartments-trade-on-in-place-cash-flow-rental-upside/,Low
2026-05-29,20260529-230138-14a22af3,PRJ-20260529-0061,Refinancing - Florida - Benefit Street Partners Provides $82M Refi for Sarasota County Multifamily,100,AST-20260529-033,art_62d1896871cae5d4,valid,Development Activity,GP / Capital Activity,new_or_fresh,100,accessible,Refinancing - Florida - Benefit Street Partners Provides $82M Refi for Sarasota County Multifamily,Refinancing - Florida - Benefit Street Partners Provides $82M Refi for Sarasota County Multifamily,Florida,General submarket monitoring,Florida,Florida,Florida,Multifamily,Multifamily,Crescent Communities,Crescent Communities,Berkadia,Unknown,Unknown,Completed / opened,opened,,$82M; $82M; $82.1 million,,Refinancing,Refinancing / Recapitalization,Existing asset refinance,Delivered / Lease-Up,excluded,excluded financing-only article: refinancing,83,38,Relevant to acquisition / JV sourcing,"Review acquisition, financing, ownership, and comparable transaction details",Benefit Street Partners Provides $82M Refi for Sarasota County Multifamily,Commercial Observer,https://commercialobserver.com/2026/05/benefit-street-partners-82m-refi-sarasota-county-multifamily/,Medium
2026-05-29,20260529-230138-14a22af3,PRJ-20260529-0013,General Project Signal - Los Angeles - Renderings revealed: Arts District towers at 2143 E. Violet Street,80,AST-20260529-064,art_673b2a5eca8c2807,valid,Market Intelligence,,acceptable_repeat,70,accessible,General Project Signal - Los Angeles - Renderings revealed: Arts District towers at 2143 E. Violet Street,General Project Signal - Los Angeles - Renderings revealed: Arts District towers at 2143 E. Violet Street,2143 E. Violet Street,Arts district,Los Angeles,Los Angeles,California,Affordable Housing,Mixed-Use Residential,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No explicit timing reference,77 units,,,General Project Signal,General Asset Signal,Unknown site control,Unknown,excluded,no clear development milestone,82,33,High relevance to Woomi site strategy,"Review site details, sponsor, entitlement path, and local precedent",Renderings revealed: Arts District towers at 2143 E. Violet Street,Urbanize LA,https://la.urbanize.city/post/renderings-revealed-arts-district-towers-2143-e-violet-street,High
2026-05-29,20260529-230138-14a22af3,PRJ-20260529-0098,"Construction Financing - New York - Dwight Mortgage Trust Lends $55M on Rockland County, N.Y., Multifamily Development",80,AST-20260529-050,art_0593f02bc0368fb7,valid,GP / Capital Activity,,acceptable_repeat,78,accessible,"Construction Financing - New York - Dwight Mortgage Trust Lends $55M on Rockland County, N.Y., Multifamily Development","Construction Financing - New York - Dwight Mortgage Trust Lends $55M on Rockland County, N.Y., Multifamily Development",New York,General submarket monitoring,New York,Los Angeles,New York,Mixed-Use Residential,Mixed-Use Residential,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No explicit timing reference,,$55M; $55M; $55 million,,Construction Financing,General Asset Signal,Land / parcel referenced,Site Search / Early Signal,excluded,no clear development milestone,81,44,Relevant to underwriting benchmark,Monitor asset-level signal for repeated confirmation,"Dwight Mortgage Trust Lends $55M on Rockland County, N.Y., Multifamily Development",Commercial Observer,https://commercialobserver.com/2026/05/dwight-mortgage-trust-rockland-county-apartments/,Low
2026-05-29,20260529-230138-14a22af3,PRJ-20260529-0093,Construction Financing - National - Basis Investment Group Announces $43M Refinancing and Lease-Up of Newly Constructed Class-...,80,AST-20260529-041,art_8d59f27c9863cebf,valid,GP / Capital Activity,,new_or_fresh,100,accessible,Refinancing - National - BWE Secures $38.9M to Refinance Gated Multifamily Community Woodland Park by the Lake in C...,Refinancing - National - BWE Secures $38.9M to Refinance Gated Multifamily Community Woodland Park by the Lake in C...,National,General submarket monitoring,National,Los Angeles,Unknown,Multifamily,Multifamily,Unknown,Unknown,Freddie Mac,Unknown,Unknown,Unknown,No explicit timing reference,194 units,$38.9M; $38; $38.9m,,Refinancing,Refinancing / Recapitalization,Land / parcel referenced,Site Search / Early Signal,excluded,excluded financing-only article: refinancing,78,43,Relevant to acquisition / JV sourcing,"Review acquisition, financing, ownership, and comparable transaction details",BWE Secures $38.9M to Refinance Gated Multifamily Community Woodland Park by the Lake in Chicago Illinois,Yield PRO,https://yieldpro.com/2026/05/woodland-park-by-the-lake/,Medium
2026-05-29,20260529-230138-14a22af3,PRJ-20260529-0039,Aventon to Build 270-Unit Port Richey Rental Community,80,AST-20260529-021,art_577251798106bbfb,valid,Development Activity,GP / Capital Activity,new_or_fresh,100,accessible,Aventon to Build 270-Unit Port Richey Rental Community,Aventon to Build 270-Unit Port Richey Rental Community,8620 Decubellis Road,General submarket monitoring,Unknown,Los Angeles,Florida,Apartment,Apartment,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2026,,,,Acquisition / Site Control,Acquisition / Site Control,Site acquired,Site Controlled,site_parcel_activity,matched land assemblage,77,21,Relevant to acquisition / JV sourcing,"Review acquisition, financing, ownership, and comparable transaction details",Aventon to Build 270-Unit Port Richey Rental Community,Connect CRE Apartments,https://www.connectcre.com/stories/aventon-to-build-270-unit-port-richey-rental-community/,Medium
2026-05-29,20260529-230138-14a22af3,PRJ-20260529-0055,"Recapitalization - California - PEF Advisors, Freestone Capital Form JV to Recapitalize Affordable Properties",80,AST-20260529-040,art_1cf4b76f3046105a,valid,GP / Capital Activity,,repeat_penalized,55,accessible,General Project Signal - California - JLL Arranges $252M Financing for Huntington Beach Seniors Project,General Project Signal - California - JLL Arranges $252M Financing for Huntington Beach Seniors Project,California,General submarket monitoring,California,Los Angeles,California,Senior Housing,Senior Housing,Unknown,Unknown,JLL,Unknown,Unknown,Unknown,No explicit timing reference,,$252M; $252M; $252.1 million,,General Project Signal,General Asset Signal,Unknown site control,Unknown,excluded,no clear development milestone,76,64,High relevance to Woomi site strategy,"Review site details, sponsor, entitlement path, and local precedent",JLL Arranges $252M Financing for Huntington Beach Seniors Project,Connect CRE Orange County,https://www.connectcre.com/stories/jll-arranges-252m-financing-for-huntington-beach-seniors-project/,Low
2026-05-29,20260529-230138-14a22af3,PRJ-20260529-0004,Modular / Construction Innovation - Los Angeles - Modular housing manufacturing proposed for city-owned site at 10901 S. Clovis St. in South...,80,AST-20260529-067,art_086d345158545dbe,valid,Development Activity,Market Intelligence,acceptable_repeat,78,accessible,Modular / Construction Innovation - Los Angeles - Modular housing manufacturing proposed for city-owned site at 10901 S. Clovis St. in South...,Modular / Construction Innovation - Los Angeles - Modular housing manufacturing proposed for city-owned site at 10901 S. Clovis St. in South...,10901 S. Clovis St,General submarket monitoring,Los Angeles,Los Angeles,California,Affordable Housing,Unknown Residential,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No explicit timing reference,,,,Modular / Construction Innovation,General Asset Signal,Land / parcel referenced,Site Search / Early Signal,excluded,no clear development milestone,76,26,High relevance to Woomi site strategy,"Review site details, sponsor, entitlement path, and local precedent",Modular housing manufacturing proposed for city-owned site at 10901 S. Clovis St. in South LA,Urbanize LA,https://la.urbanize.city/post/modular-housing-manufacturing-proposed-city-owned-site-10901-s-clovis-st-south-la,Medium
2026-05-29,20260529-230138-14a22af3,PRJ-20260529-0025,Entitlement / Permitting - Los Angeles - 150 apartments debut at 549 S. Harvard Blvd. in Koreatown,80,AST-20260529-003,art_da529bee74e42944,valid,Development Activity,,new_or_fresh,100,accessible,150 apartments debut at 549 S. Harvard Blvd. in Koreatown,150 apartments debut at 549 S. Harvard Blvd. in Koreatown,549 S. Harvard Blvd,Mixed-use corridor,Koreatown,Los Angeles,California,Affordable Housing,Affordable Housing,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No explicit timing reference,,,900 square feet,General Asset Signal,General Asset Signal,Unknown site control,Unknown,excluded,no clear development milestone,75,40,High relevance to Woomi site strategy,"Review site details, sponsor, entitlement path, and local precedent",150 apartments debut at 549 S. Harvard Blvd. in Koreatown,Urbanize LA,https://la.urbanize.city/post/150-apartments-debut-549-s-harvard-blvd-koreatown,High
