run_date,run_id,signal_quality_id,canonical_project_id,canonical_project_name,market,submarket,gp_or_developer,residential_sector,source_quality_score,multi_source_confirmation_score,specificity_score,lifecycle_consistency_score,persistence_score,overall_signal_quality_score,signal_quality_label,institutional_confidence_label,false_positive_risk,signal_decay_risk,supporting_source_count,recurring_observation_count,lifecycle_consistency_flag,multi_source_confirmation_flag,recommended_signal_action,evidence_summary,confidence_reason
2026-05-30,20260530-230208-ccf8785d,SQ-20260530-011,PRJ-20260530-0056,General Project Signal - Florida - S. Florida Ritz-Carlton Developer Inks $401M Bridge Loan,Florida,Florida,Unknown,Apartment,95,100,80,65,90,86,Institutional Grade,Strong Institutional Signal,Very Low,Persistent,7,18,Needs Review,Confirmed,Immediate strategic review,"7 source file(s), 18 observation(s), latest stage Site Acquisition / Site Control, identity confidence 80",multi-source confirmation; persistent observations; specific project / sponsor / location clues
2026-05-30,20260530-230208-ccf8785d,SQ-20260530-019,PRJ-20260530-0090,Office-to-Residential Conversion - New York - Speaker Spotlight: Adam Greene of RXR,New York,New York,RXR,Office-to-Residential Conversion,95,100,85,60,84,86,Institutional Grade,Strong Institutional Signal,Very Low,Persistent,7,8,Needs Review,Confirmed,Immediate strategic review,"7 source file(s), 8 observation(s), latest stage Unknown Stage, identity confidence 100",multi-source confirmation; persistent observations; specific project / sponsor / location clues
2026-05-30,20260530-230208-ccf8785d,SQ-20260530-017,PRJ-20260530-0111,General Project Signal - Sun Belt - Empire Group Starts Work on $170M Phoenix Apartment Tower,Sun Belt,Phoenix,Unknown,Apartment,95,100,70,60,86,83,High Confidence,Institutional Watch,Very Low,Persistent,4,8,Needs Review,Confirmed,Add to executive watchlist,"4 source file(s), 8 observation(s), latest stage Unknown Stage, identity confidence 80",multi-source confirmation; persistent observations; specific project / sponsor / location clues
2026-05-30,20260530-230208-ccf8785d,SQ-20260530-009,PRJ-20260530-0086,Construction Financing - National - Basis Investment Group Announces $43M Refinancing and Lease-Up of Newly Constructed Class-...,Unknown,National,Unknown,Multifamily,65,84,70,95,96,81,High Confidence,Institutional Watch,Very Low,Persistent,3,6,Consistent,Confirmed,Add to executive watchlist,"3 source file(s), 6 observation(s), latest stage Site Acquisition / Site Control, identity confidence 80",multi-source confirmation; persistent observations; specific project / sponsor / location clues
2026-05-30,20260530-230208-ccf8785d,SQ-20260530-006,PRJ-20260530-0073,Modular / Construction Innovation - Los Angeles - Modular housing manufacturing proposed for city-owned site at 10901 S. Clovis St. in South...,California,Los Angeles,Unknown,Affordable Housing,65,100,70,65,100,80,High Confidence,Institutional Watch,Very Low,Persistent,4,31,Needs Review,Confirmed,Add to executive watchlist,"4 source file(s), 31 observation(s), latest stage Refinancing / Recapitalization, identity confidence 80",multi-source confirmation; persistent observations; specific project / sponsor / location clues
2026-05-30,20260530-230208-ccf8785d,SQ-20260530-021,PRJ-20260530-0115,JV / Partnership - New York - IPA Arranges $27M Acquisition Loan for Apartment Community in D.C’s NoMa District,New York,Southeast,Unknown,Apartment,95,92,70,60,73,79,High Confidence,Institutional Watch,Low,Likely Noise,4,4,Needs Review,Confirmed,Add to executive watchlist,"4 source file(s), 4 observation(s), latest stage Unknown Stage, identity confidence 80",multi-source confirmation; some recurrence; specific project / sponsor / location clues
2026-05-30,20260530-230208-ccf8785d,SQ-20260530-012,PRJ-20260530-0084,Construction Financing - National - Basis Investment Group Announces $43M Refinancing and Lease-Up of Newly Constructed Class-...,National,Unknown,Unknown,Multifamily,95,100,60,95,90,78,High Confidence,Institutional Watch,Low,Persistent,6,9,Consistent,Confirmed,Add to executive watchlist,"6 source file(s), 9 observation(s), latest stage Site Acquisition / Site Control, identity confidence 80",multi-source confirmation; persistent observations; limited specificity
2026-05-30,20260530-230208-ccf8785d,SQ-20260530-016,PRJ-20260530-0076,Modular / Construction Innovation - Los Angeles - Modular housing manufacturing proposed for city-owned site at 10901 S. Clovis St. in South...,Other / Unknown,Los Angeles,Unknown,Multifamily,65,100,60,60,88,75,High Confidence,Institutional Watch,Low,Persistent,7,55,Needs Review,Confirmed,Add to executive watchlist,"7 source file(s), 55 observation(s), latest stage Unknown Stage, identity confidence 80",multi-source confirmation; persistent observations; limited specificity
2026-05-30,20260530-230208-ccf8785d,SQ-20260530-053,PRJ-20260530-0129,Disposition / Exit - Sun Belt - Charlotte Apartment Project Fetches $107M,Sun Belt,Unknown,Wood Partners,Apartment,70,84,85,60,54,72,High Confidence,Institutional Watch,Low,Persistent,3,6,Needs Review,Confirmed,Add to executive watchlist,"3 source file(s), 6 observation(s), latest stage Unknown Stage, identity confidence 100",multi-source confirmation; persistent observations; specific project / sponsor / location clues
2026-05-30,20260530-230208-ccf8785d,SQ-20260530-014,PRJ-20260530-0117,Entitlement / Permitting - Southeast - 40 apartments slated for 4080 Lafayette Place in Culver City,Southeast,Unknown,Unknown,Apartment,95,100,60,60,86,70,High Confidence,Institutional Watch,Low,Persistent,6,6,Needs Review,Confirmed,Add to executive watchlist,"6 source file(s), 6 observation(s), latest stage Unknown Stage, identity confidence 80",multi-source confirmation; persistent observations; limited specificity
2026-05-30,20260530-230208-ccf8785d,SQ-20260530-028,PRJ-20260530-0113,"JV / Partnership - California - New Rendering For 650 Divisadero Street, San Francisco",California,San Francisco,Unknown,Apartment,95,69,60,60,65,70,High Confidence,Institutional Watch,Low,Likely Noise,3,3,Needs Review,Confirmed,Add to executive watchlist,"3 source file(s), 3 observation(s), latest stage Unknown Stage, identity confidence 80",multi-source confirmation; some recurrence; limited specificity
2026-05-30,20260530-230208-ccf8785d,SQ-20260530-018,PRJ-20260530-0109,Acquisition - Other / Unknown - Multifamily Community River Oaks Apartments in Norfolk Virginia Sells for $10M with Acquis...,Other / Unknown,Unknown,Unknown,Apartment,95,100,40,75,84,68,Moderate Confidence,Early Institutional Signal,Low,Persistent,7,54,Consistent,Confirmed,Monitor for confirmation,"7 source file(s), 54 observation(s), latest stage Delivery / Opening, identity confidence 80",multi-source confirmation; persistent observations; limited specificity
2026-05-30,20260530-230208-ccf8785d,SQ-20260530-032,PRJ-20260530-0074,Modular / Construction Innovation - Los Angeles - Modular housing manufacturing proposed for city-owned site at 10901 S. Clovis St. in South...,Los Angeles,Unknown,Unknown,Affordable Housing,95,100,60,60,70,68,Moderate Confidence,Early Institutional Signal,Low,Persistent,5,32,Needs Review,Confirmed,Monitor for confirmation,"5 source file(s), 32 observation(s), latest stage Unknown Stage, identity confidence 80",multi-source confirmation; persistent observations; limited specificity
2026-05-30,20260530-230208-ccf8785d,SQ-20260530-046,PRJ-20260530-0051,Joint Venture of PCCP and Alliance Residential Company Acquires 184-Unit Multifamily Community in Riverside California,Other / Unknown,Los Angeles,Unknown,Apartment,45,96,60,60,63,65,Moderate Confidence,Early Institutional Signal,Low,Persistent,2,12,Needs Review,Confirmed,Monitor for confirmation,"2 source file(s), 12 observation(s), latest stage Unknown Stage, identity confidence 80",partial source diversity; persistent observations; limited specificity
2026-05-30,20260530-230208-ccf8785d,SQ-20260530-045,PRJ-20260530-0041,Audubon Unveils Palmer Club Apartments Breathing New Life into Former Fairway View Apartments with Multi-Million Dollar Renovation,Other / Unknown,Los Angeles,Unknown,Mixed-Use Residential,45,86,60,60,63,63,Moderate Confidence,Early Institutional Signal,Moderate,Persistent,2,10,Needs Review,Confirmed,Monitor for confirmation,"2 source file(s), 10 observation(s), latest stage Unknown Stage, identity confidence 80",partial source diversity; persistent observations; limited specificity
2026-05-30,20260530-230208-ccf8785d,SQ-20260530-038,PRJ-20260530-0130,General Project Signal - Sun Belt - Insignia Pursuing Embassy Row Multifamily Mixed-Use Redevelopment in Atlanta,Sun Belt,Unknown,Unknown,Apartment,70,100,60,60,67,62,Moderate Confidence,Early Institutional Signal,Moderate,Persistent,3,22,Needs Review,Confirmed,Monitor for confirmation,"3 source file(s), 22 observation(s), latest stage Unknown Stage, identity confidence 80",multi-source confirmation; persistent observations; limited specificity
2026-05-30,20260530-230208-ccf8785d,SQ-20260530-031,PRJ-20260530-0112,Joint Venture of PCCP and Alliance Residential Company Acquires 184-Unit Multifamily Community in Riverside California,California,Riverside,Unknown,Multifamily,45,46,60,95,59,60,Moderate Confidence,Early Institutional Signal,Moderate,Stable,2,2,Consistent,Partial,Monitor for confirmation,"2 source file(s), 2 observation(s), latest stage Delivery / Opening, identity confidence 80",partial source diversity; some recurrence; limited specificity
2026-05-30,20260530-230208-ccf8785d,SQ-20260530-035,PRJ-20260530-0057,Developer scores construction loan for mixed-use project at 8025 Santa Monica Blvd. in West Hollywood,California,Hollywood,Unknown,Affordable Housing,45,46,60,95,57,60,Moderate Confidence,Early Institutional Signal,Moderate,Stable,2,2,Consistent,Partial,Monitor for confirmation,"2 source file(s), 2 observation(s), latest stage Refinancing / Recapitalization, identity confidence 80",partial source diversity; some recurrence; limited specificity
2026-05-30,20260530-230208-ccf8785d,SQ-20260530-037,PRJ-20260530-0059,"PCCP, Alliance Residential Snap Up Garden-Style Riverside Complex",California,Inland Empire,Unknown,Apartment,45,46,60,95,57,60,Moderate Confidence,Early Institutional Signal,Moderate,Stable,2,2,Consistent,Partial,Monitor for confirmation,"2 source file(s), 2 observation(s), latest stage Delivery / Opening, identity confidence 80",partial source diversity; some recurrence; limited specificity
2026-05-30,20260530-230208-ccf8785d,SQ-20260530-022,PRJ-20260530-0006,Entitlement / Permitting - California - Updated plan for apartments at 1238 Lincoln Blvd. in Santa Monica,California,California,Lincoln Property Company,Apartment,45,46,75,60,69,59,Moderate Confidence,Early Institutional Signal,Moderate,Likely Noise,2,2,Needs Review,Partial,Monitor for confirmation,"2 source file(s), 2 observation(s), latest stage Unknown Stage, identity confidence 100",partial source diversity; some recurrence; specific project / sponsor / location clues
2026-05-30,20260530-230208-ccf8785d,SQ-20260530-039,PRJ-20260530-0052,40 apartments slated for 4080 Lafayette Place in Culver City,Southeast,Culver City,Unknown,Apartment,45,46,60,95,54,59,Moderate Confidence,Early Institutional Signal,Moderate,Stable,2,2,Consistent,Partial,Monitor for confirmation,"2 source file(s), 2 observation(s), latest stage Site Acquisition / Site Control, identity confidence 80",partial source diversity; some recurrence; limited specificity
2026-05-30,20260530-230208-ccf8785d,SQ-20260530-023,PRJ-20260530-0131,Acquisition - Other / Unknown - Multifamily Community River Oaks Apartments in Norfolk Virginia Sells for $10M with Acquis...,Unknown,Unknown,Unknown,Apartment,45,100,40,65,77,55,Moderate Confidence,Early Institutional Signal,Moderate,Persistent,2,32,Needs Review,Confirmed,Monitor for confirmation,"2 source file(s), 32 observation(s), latest stage Refinancing / Recapitalization, identity confidence 80",partial source diversity; persistent observations; limited specificity
2026-05-30,20260530-230208-ccf8785d,SQ-20260530-026,PRJ-20260530-0110,Acquisition - Other / Unknown - Multifamily Community River Oaks Apartments in Norfolk Virginia Sells for $10M with Acquis...,Unknown,Unknown,Unknown,Apartment,45,93,50,60,75,55,Moderate Confidence,Early Institutional Signal,Moderate,Persistent,1,15,Needs Review,Confirmed,Monitor for confirmation,"1 source file(s), 15 observation(s), latest stage Unknown Stage, identity confidence 80",single-source or thin source base; persistent observations; limited specificity
2026-05-30,20260530-230208-ccf8785d,SQ-20260530-020,PRJ-20260530-0033,Construction Financing - Los Angeles - Developer scores construction loan for mixed-use project at 8025 Santa Monica Blvd. in Wes...,California,Los Angeles,Unknown,Affordable Housing,45,28,70,60,69,54,Weak Signal,Speculative,Moderate,Likely Noise,1,2,Needs Review,Partial,Track only,"1 source file(s), 2 observation(s), latest stage Unknown Stage, identity confidence 80",single-source or thin source base; some recurrence; specific project / sponsor / location clues
2026-05-30,20260530-230208-ccf8785d,SQ-20260530-057,PRJ-20260530-0089,PNC Bank Refis West Village Apartment Building With $404M Loan,New York,Unknown,Refinancing - New York - PNC Bank Refis West Village Apartment Building With $404M Loan,General Residential,50,33,85,60,38,54,Weak Signal,Speculative,Moderate,Likely Noise,1,3,Needs Review,Partial,Track only,"1 source file(s), 3 observation(s), latest stage Unknown Stage, identity confidence 100",single-source or thin source base; some recurrence; specific project / sponsor / location clues
2026-05-30,20260530-230208-ccf8785d,SQ-20260530-024,PRJ-20260530-0023,Entitlement / Permitting - Los Angeles - 150 apartments debut at 549 S. Harvard Blvd. in Koreatown,California,Los Angeles,Unknown,Affordable Housing,45,28,70,60,64,53,Weak Signal,Speculative,Moderate,Likely Noise,1,2,Needs Review,Partial,Track only,"1 source file(s), 2 observation(s), latest stage Unknown Stage, identity confidence 80",single-source or thin source base; some recurrence; specific project / sponsor / location clues
2026-05-30,20260530-230208-ccf8785d,SQ-20260530-025,PRJ-20260530-0009,General Project Signal - Los Angeles - Affordable housing slated for 1418 S. Mansfield Ave. in Mid-City,California,Los Angeles,Unknown,Affordable Housing,45,28,70,60,64,53,Weak Signal,Speculative,Moderate,Likely Noise,1,2,Needs Review,Partial,Track only,"1 source file(s), 2 observation(s), latest stage Unknown Stage, identity confidence 80",single-source or thin source base; some recurrence; specific project / sponsor / location clues
2026-05-30,20260530-230208-ccf8785d,SQ-20260530-027,PRJ-20260530-0020,Entitlement / Permitting - Southeast - 40 apartments slated for 4080 Lafayette Place in Culver City,Southeast,Southeast,Unknown,Apartment,45,28,70,60,63,53,Weak Signal,Speculative,Moderate,Likely Noise,1,2,Needs Review,Partial,Track only,"1 source file(s), 2 observation(s), latest stage Unknown Stage, identity confidence 80",single-source or thin source base; some recurrence; specific project / sponsor / location clues
2026-05-30,20260530-230208-ccf8785d,SQ-20260530-041,PRJ-20260530-0075,JBG SMITH Commences Office-to-Residential Conversion in National Landing,National,Los Angeles,Unknown,Office-to-Residential Conversion,45,46,60,60,54,53,Weak Signal,Speculative,Moderate,Likely Noise,2,2,Needs Review,Partial,Track only,"2 source file(s), 2 observation(s), latest stage Unknown Stage, identity confidence 80",partial source diversity; some recurrence; limited specificity
2026-05-30,20260530-230208-ccf8785d,SQ-20260530-042,PRJ-20260530-0060,150 apartments debut at 549 S. Harvard Blvd. in Koreatown,California,Koreatown,Unknown,Affordable Housing,45,46,60,60,53,53,Weak Signal,Speculative,Moderate,Likely Noise,2,2,Needs Review,Partial,Track only,"2 source file(s), 2 observation(s), latest stage Unknown Stage, identity confidence 80",partial source diversity; some recurrence; limited specificity
2026-05-30,20260530-230208-ccf8785d,SQ-20260530-073,PRJ-20260530-0122,Eaton Vance Picks Charlotte Rental Community for $65.8M,Sun Belt,Unknown,Disposition / Exit - Sun Belt - Eaton Vance Picks Charlotte Rental Community for $65.8M,General Residential,50,33,85,60,28,52,Weak Signal,Speculative,Moderate,Likely Noise,1,3,Needs Review,Partial,Track only,"1 source file(s), 3 observation(s), latest stage Unknown Stage, identity confidence 100",single-source or thin source base; some recurrence; specific project / sponsor / location clues
2026-05-30,20260530-230208-ccf8785d,SQ-20260530-074,PRJ-20260530-0118,El-Ad Pays $45.5M for Coconut Grove Property,Sun Belt,Unknown,Acquisition - Sun Belt - El-Ad Pays $45.5M for Coconut Grove Property,General Residential,50,33,85,60,28,52,Weak Signal,Speculative,Moderate,Likely Noise,1,3,Needs Review,Partial,Track only,"1 source file(s), 3 observation(s), latest stage Unknown Stage, identity confidence 100",single-source or thin source base; some recurrence; specific project / sponsor / location clues
2026-05-30,20260530-230208-ccf8785d,SQ-20260530-061,PRJ-20260530-0121,Alta Developers Lands $91.8M Construction Loan for Miami Apartments,Sun Belt,Unknown,Construction Financing - Sun Belt - Alta Developers Lands $91.8M Construction Loan for Miami Apartments,General Residential,50,28,85,60,30,51,Weak Signal,Speculative,Moderate,Likely Noise,1,2,Needs Review,Partial,Track only,"1 source file(s), 2 observation(s), latest stage Unknown Stage, identity confidence 100",single-source or thin source base; some recurrence; specific project / sponsor / location clues
2026-05-30,20260530-230208-ccf8785d,SQ-20260530-063,PRJ-20260530-0045,Carlsbad Lifestyle Center Fetches $91M in Sale to 11North,California,Unknown,Disposition / Exit - California - Carlsbad Lifestyle Center Fetches $91M in Sale to 11North,General Residential,50,28,85,60,30,51,Weak Signal,Speculative,Moderate,Likely Noise,1,2,Needs Review,Partial,Track only,"1 source file(s), 2 observation(s), latest stage Unknown Stage, identity confidence 100",single-source or thin source base; some recurrence; specific project / sponsor / location clues
2026-05-30,20260530-230208-ccf8785d,SQ-20260530-066,PRJ-20260530-0126,Insignia Pursuing Embassy Row Multifamily Mixed-Use Redevelopment in Atlanta,Sun Belt,Unknown,General Project Signal - Sun Belt - Insignia Pursuing Embassy Row Multifamily Mixed-Use Redevelopment in Atlanta,General Residential,50,28,85,60,30,51,Weak Signal,Speculative,Moderate,Likely Noise,1,2,Needs Review,Partial,Track only,"1 source file(s), 2 observation(s), latest stage Unknown Stage, identity confidence 100",single-source or thin source base; some recurrence; specific project / sponsor / location clues
2026-05-30,20260530-230208-ccf8785d,SQ-20260530-067,PRJ-20260530-0046,JLL Arranges $252M Financing for Huntington Beach Seniors Project,California,Unknown,General Project Signal - California - JLL Arranges $252M Financing for Huntington Beach Seniors Project,General Residential,50,28,85,60,30,51,Weak Signal,Speculative,Moderate,Likely Noise,1,2,Needs Review,Partial,Track only,"1 source file(s), 2 observation(s), latest stage Unknown Stage, identity confidence 100",single-source or thin source base; some recurrence; specific project / sponsor / location clues
2026-05-30,20260530-230208-ccf8785d,SQ-20260530-068,PRJ-20260530-0044,JLL Lines Up $144M Construction Loan for Santa Ana Multifamily,California,Unknown,Construction Financing - California - JLL Lines Up $144M Construction Loan for Santa Ana Multifamily,General Residential,50,28,85,60,30,51,Weak Signal,Speculative,Moderate,Likely Noise,1,2,Needs Review,Partial,Track only,"1 source file(s), 2 observation(s), latest stage Unknown Stage, identity confidence 100",single-source or thin source base; some recurrence; specific project / sponsor / location clues
2026-05-30,20260530-230208-ccf8785d,SQ-20260530-071,PRJ-20260530-0047,"New Rendering For 650 Divisadero Street, San Francisco",California,Unknown,"JV / Partnership - California - New Rendering For 650 Divisadero Street, San Francisco",General Residential,50,28,85,60,30,51,Weak Signal,Speculative,Moderate,Likely Noise,1,2,Needs Review,Partial,Track only,"1 source file(s), 2 observation(s), latest stage Unknown Stage, identity confidence 100",single-source or thin source base; some recurrence; specific project / sponsor / location clues
2026-05-30,20260530-230208-ccf8785d,SQ-20260530-029,PRJ-20260530-0017,Entitlement / Permitting - Los Angeles - Infill housing slated for 349 N. Oakhurst Ave. in Beverly Hills,California,Los Angeles,Unknown,Apartment,45,28,60,60,62,50,Weak Signal,Speculative,Moderate,Likely Noise,1,2,Needs Review,Partial,Track only,"1 source file(s), 2 observation(s), latest stage Unknown Stage, identity confidence 80",single-source or thin source base; some recurrence; limited specificity
2026-05-30,20260530-230208-ccf8785d,SQ-20260530-030,PRJ-20260530-0027,"JV / Partnership - California - New Rendering For 650 Divisadero Street, San Francisco",California,San Francisco,Unknown,Apartment,45,28,60,60,61,50,Weak Signal,Speculative,Moderate,Likely Noise,1,2,Needs Review,Partial,Track only,"1 source file(s), 2 observation(s), latest stage Unknown Stage, identity confidence 80",single-source or thin source base; some recurrence; limited specificity
2026-05-30,20260530-230208-ccf8785d,SQ-20260530-034,PRJ-20260530-0037,Joint Venture of PCCP and Alliance Residential Company Acquires 184-Unit Multifamily Community in Riverside California,California,Inland Empire,Unknown,Apartment,45,28,60,60,57,49,Weak Signal,Speculative,Moderate,Likely Noise,1,2,Needs Review,Partial,Track only,"1 source file(s), 2 observation(s), latest stage Unknown Stage, identity confidence 80",single-source or thin source base; some recurrence; limited specificity
2026-05-30,20260530-230208-ccf8785d,SQ-20260530-036,PRJ-20260530-0004,Modular / Construction Innovation - Los Angeles - Modular housing manufacturing proposed for city-owned site at 10901 S. Clovis St. in South...,California,Los Angeles,Unknown,Affordable Housing,45,28,60,60,57,49,Weak Signal,Speculative,Moderate,Likely Noise,1,2,Needs Review,Partial,Track only,"1 source file(s), 2 observation(s), latest stage Unknown Stage, identity confidence 80",single-source or thin source base; some recurrence; limited specificity
2026-05-30,20260530-230208-ccf8785d,SQ-20260530-076,PRJ-20260530-0065,150 apartments debut at 549 S. Harvard Blvd. in Koreatown,Los Angeles,Unknown,Entitlement / Permitting - Los Angeles - 150 apartments debut at 549 S. Harvard Blvd. in Koreatown,General Residential,50,23,85,60,22,49,Weak Signal,Speculative,Moderate,Likely Noise,1,1,Needs Review,Single Source,Track only,"1 source file(s), 1 observation(s), latest stage Unknown Stage, identity confidence 100",single-source or thin source base; limited recurrence; specific project / sponsor / location clues
2026-05-30,20260530-230208-ccf8785d,SQ-20260530-078,PRJ-20260530-0114,40 apartments slated for 4080 Lafayette Place in Culver City,Southeast,Unknown,Entitlement / Permitting - Southeast - 40 apartments slated for 4080 Lafayette Place in Culver City,General Residential,50,23,85,60,22,49,Weak Signal,Speculative,Moderate,Likely Noise,1,1,Needs Review,Single Source,Track only,"1 source file(s), 1 observation(s), latest stage Unknown Stage, identity confidence 100",single-source or thin source base; limited recurrence; specific project / sponsor / location clues
2026-05-30,20260530-230208-ccf8785d,SQ-20260530-079,PRJ-20260530-0067,Affordable housing slated for 1418 S. Mansfield Ave. in Mid-City,Los Angeles,Unknown,General Project Signal - Los Angeles - Affordable housing slated for 1418 S. Mansfield Ave. in Mid-City,General Residential,50,23,85,60,22,49,Weak Signal,Speculative,Moderate,Likely Noise,1,1,Needs Review,Single Source,Track only,"1 source file(s), 1 observation(s), latest stage Unknown Stage, identity confidence 100",single-source or thin source base; limited recurrence; specific project / sponsor / location clues
2026-05-30,20260530-230208-ccf8785d,SQ-20260530-083,PRJ-20260530-0082,Basis Investment Group Announces $43M Refinancing and Lease-Up of Newly Constructed Class-A Multifamily on Philadelphia Waterfront,National,Unknown,Construction Financing - National - Basis Investment Group Announces $43M Refinancing and Lease-Up of Newly Constructed Class-...,General Residential,50,23,85,60,22,49,Weak Signal,Speculative,Moderate,Likely Noise,1,1,Needs Review,Single Source,Track only,"1 source file(s), 1 observation(s), latest stage Unknown Stage, identity confidence 100",single-source or thin source base; limited recurrence; specific project / sponsor / location clues
2026-05-30,20260530-230208-ccf8785d,SQ-20260530-084,PRJ-20260530-0063,"Covina Apartments Trade on In-Place Cash Flow, Rental Upside",Los Angeles,Unknown,"Disposition / Exit - Los Angeles - Covina Apartments Trade on In-Place Cash Flow, Rental Upside",General Residential,50,23,85,60,22,49,Weak Signal,Speculative,Moderate,Likely Noise,1,1,Needs Review,Single Source,Track only,"1 source file(s), 1 observation(s), latest stage Unknown Stage, identity confidence 100",single-source or thin source base; limited recurrence; specific project / sponsor / location clues
