run_date,run_id,canonical_project_id,canonical_project_name,project_identity_confidence,asset_signal_id,canonical_article_id,title,original_url,published,summary,article_integrity_status,article_integrity_reason,primary_display_section,secondary_display_sections,repeat_exposure_status,published_date_normalized,collected_date_normalized,article_age_days,freshness_bucket,freshness_status,freshness_reason,freshness_score,access_status,canonical_asset_or_project_name,raw_project_or_property_name,address_or_location_clue,intersection_or_corridor,neighborhood_or_submarket,city,state_or_region,residential_sector,asset_type,gp_or_developer,owner_or_sponsor,lender_or_capital_partner,entitlement_status,permit_status,construction_status,delivery_or_timing_reference,unit_count,dollar_amount,site_size_or_area,deal_or_project_type,asset_strategy_signal,site_control_signal,execution_stage,primary_development_category,primary_category_reason,asset_opportunity_score,asset_risk_score,woomi_asset_relevance,recommended_asset_follow_up,evidence_article_title,source,url,confidence_level
2026-06-01,20260601-020308-c84a5578,PRJ-20260601-0016,Entitlement / Permitting - Los Angeles - Infill housing slated for 349 N. Oakhurst Ave. in Beverly Hills,80,AST-20260601-003,art_a7fdd8493624e02a,Infill housing slated for 349 N. Oakhurst Ave. in Beverly Hills,https://la.urbanize.city/post/infill-housing-slated-349-n-oakhurst-ave-beverly-hills,"Fri, 29 May 2026 13:10:00 +0000","Infill housing slated for 349 N. Oakhurst Ave. in Beverly Hills | Urbanize LA Skip to main content Advertisement Advertisement A fourplex near the Los Angeles - Beverly Hills border is set to give way to a larger multifamily residential complex, according to a report to the Beverly Hills Planning Commission. The project from Oakhurst Investment Group, LLC, which would rise from a property at 349 N. Oakhurst Avenue , calls for the construction of a seven-story building featuring 14 one- and two-b",valid,title/source/url metadata are internally consistent,Development Activity,,acceptable_repeat,2026-05-29,2026-06-01,3,fresh_0_3d,current,published date parsed; article age 3 day(s),70,accessible,Infill housing slated for 349 N. Oakhurst Ave. in Beverly Hills,Infill housing slated for 349 N. Oakhurst Ave. in Beverly Hills,349 N. Oakhurst Ave,General submarket monitoring,Los Angeles,Los Angeles,California,Apartment,Apartment,Unknown,Unknown,Unknown,Under planning review,Unknown,Unknown,No explicit timing reference,,,,Entitlement Play,Entitlement Play,Unknown site control,Entitlement / Planning,approval_watch,matched planning commission,85,40,High relevance to Woomi site strategy,"Review site details, sponsor, entitlement path, and local precedent",Infill housing slated for 349 N. Oakhurst Ave. in Beverly Hills,Urbanize LA,https://la.urbanize.city/post/infill-housing-slated-349-n-oakhurst-ave-beverly-hills,Medium
2026-06-01,20260601-020308-c84a5578,PRJ-20260601-0066,Modular / Construction Innovation - Los Angeles - Modular housing manufacturing proposed for city-owned site at 10901 S. Clovis St. in South...,80,AST-20260601-035,art_6477eaff7569fbe9,"RAND reviews ULA impacts, Mayor's race focuses on housing, and more",https://la.urbanize.city/post/rand-reviews-ula-impacts-mayors-race-focuses-housing-and-more,"Sat, 30 May 2026 13:15:00 +0000","RAND reviews ULA impacts, Mayor's race focuses on housing, and more | Urbanize LA Skip to main content Advertisement Advertisement The City of Santa Monica is launching a $6-million renter aid program, the City announced this week. The program, funded by a ballot proposition approved by Santa Monica voters in 2022, is expected to launch in Summer 2026 in partnership with The People Concern. The program is expected to serve approximately 150 households each year facing housing instability or risk",suspicious_duplicate,source-feed signal bleed suspected,Development Activity,GP / Capital Activity,repeat_penalized,2026-05-30,2026-06-01,2,fresh_0_3d,current,published date parsed; article age 2 day(s),54,accessible,"JV / Partnership - Los Angeles - RAND reviews ULA impacts, Mayor's race focuses on housing, and more","JV / Partnership - Los Angeles - RAND reviews ULA impacts, Mayor's race focuses on housing, and more",Los Angeles,General submarket monitoring,Los Angeles,Los Angeles,California,Affordable Housing,Affordable Housing,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No explicit timing reference,,$6; $6; $126,,JV / Partnership,General Asset Signal,Unknown site control,Unknown,approval_watch,matched permit,85,40,High relevance to Woomi site strategy,"Review site details, sponsor, entitlement path, and local precedent","RAND reviews ULA impacts, Mayor's race focuses on housing, and more",Urbanize LA,https://la.urbanize.city/post/rand-reviews-ula-impacts-mayors-race-focuses-housing-and-more,Low
2026-06-01,20260601-020308-c84a5578,PRJ-20260601-0026,"Logos Faith, St. Rest Break Ground on 138-Unit Affordable Housing",80,AST-20260601-009,art_b7482369fd1a0600,"Logos Faith, St. Rest Break Ground on 138-Unit Affordable Housing",https://www.connectcre.com/stories/logos-faith-st-rest-break-ground-on-138-unit-affordable-housing/,"Thu, 28 May 2026 22:25:27 +0000","California CRE News In Your Inbox. Sign up for Connect emails to stay informed with CRE stories that are 150 words or less. California + Los Angeles + Apartments | May 28, 2026 By: Paul Bubny Logos Faith, St. Rest Break Ground on 138-Unit Affordable Housing Logos Faith Development, a Los Angeles–based for-profit impact developer, in partnership with St Rest Friendship Baptist Church, broke ground on Phase One of a 138-unit affordable housing community at 709 W. Manchester Ave. in Los Angeles, ma",valid,title/source/url metadata are internally consistent,Development Activity,GP / Capital Activity,acceptable_repeat,2026-05-28,2026-06-01,4,recent_4_14d,usable_recent,published date parsed; article age 4 day(s),66,accessible,"Logos Faith, St. Rest Break Ground on 138-Unit Affordable Housing","Logos Faith, St. Rest Break Ground on 138-Unit Affordable Housing",709 W. Manchester Ave,General submarket monitoring,Unknown,Los Angeles,California,Affordable Housing,Affordable Housing,Unknown,Unknown,Unknown,Unknown,Unknown,Construction started,2026,,,,Affordable / Density Bonus Strategy,Affordable / Density Bonus Strategy,Unknown site control,Under Construction,construction_delivery_watch,matched broke ground,85,32,High relevance to Woomi site strategy,"Review site details, sponsor, entitlement path, and local precedent","Logos Faith, St. Rest Break Ground on 138-Unit Affordable Housing",Connect CRE Apartments,https://www.connectcre.com/stories/logos-faith-st-rest-break-ground-on-138-unit-affordable-housing/,Medium
2026-06-01,20260601-020308-c84a5578,PRJ-20260601-0070,Refinancing - Other / Unknown - $46M Bridge Loan Refinances Newly Built Moreno Valley Apartments Villa Annette,80,AST-20260601-056,art_6b6db89b16247e2b,$46M Bridge Loan Refinances Newly Built Moreno Valley Apartments Villa Annette,https://yieldpro.com/2026/05/villa-annette/,"Sat, 30 May 2026 14:40:54 +0000","Deal boom News Pacific region Facebook Twitter Linkedin Dwight Mortgage Trust has provided a $46-million bridge refinance for Villa Annette , a newly constructed, 220-unit garden-style apartment community in Moreno Valley. The transaction was originated by Andrew Tichy on behalf of repeat client Robert Lattanzio of Latco Enterprises. Loan proceeds will be used to retire existing construction debt, cover closing costs, and repatriate equity to the borrower. Villa Annette comprises 14 two- and thr",valid,title/source/url metadata are internally consistent,GP / Capital Activity,,acceptable_repeat,2026-05-30,2026-06-01,2,fresh_0_3d,current,published date parsed; article age 2 day(s),74,accessible,Refinancing - Other / Unknown - $46M Bridge Loan Refinances Newly Built Moreno Valley Apartments Villa Annette,Refinancing - Other / Unknown - $46M Bridge Loan Refinances Newly Built Moreno Valley Apartments Villa Annette,Unknown,General submarket monitoring,Unknown,Los Angeles,Unknown,Apartment,Apartment,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No explicit timing reference,,$46M; $46; $46m,,Refinancing,Refinancing / Recapitalization,Existing asset refinance,Unknown,excluded,excluded financing-only article: refinancing,84,55,Relevant to acquisition / JV sourcing,"Review acquisition, financing, ownership, and comparable transaction details",$46M Bridge Loan Refinances Newly Built Moreno Valley Apartments Villa Annette,Yield PRO,https://yieldpro.com/2026/05/villa-annette/,Low
2026-06-01,20260601-020308-c84a5578,PRJ-20260601-0066,Modular / Construction Innovation - Los Angeles - Modular housing manufacturing proposed for city-owned site at 10901 S. Clovis St. in South...,80,AST-20260601-037,art_aac28584f7614e52,"Covina Apartments Trade on In-Place Cash Flow, Rental Upside",https://www.connectcre.com/stories/covina-apartments-trade-on-in-place-cash-flow-rental-upside/,"Fri, 29 May 2026 21:59:36 +0000","California CRE News In Your Inbox. Sign up for Connect emails to stay informed with CRE stories that are 150 words or less. California + Los Angeles + Apartments | May 29, 2026 By: Paul Bubny Covina Apartments Trade on In-Place Cash Flow, Rental Upside Marcus & Millichap has closed the sale of Vincent Village, a 40-unit apartment property located at 4810 N. Vincent Ave. in Covina. The property sold for $8.2 million, or $205,000 per unit, at a 5.9% cap rate with approximately 29% rental upside.. ",valid,title/source/url metadata are internally consistent,GP / Capital Activity,,acceptable_repeat,2026-05-29,2026-06-01,3,fresh_0_3d,current,published date parsed; article age 3 day(s),70,accessible,"Disposition / Exit - Los Angeles - Covina Apartments Trade on In-Place Cash Flow, Rental Upside","Disposition / Exit - Los Angeles - Covina Apartments Trade on In-Place Cash Flow, Rental Upside",Los Angeles,General submarket monitoring,Los Angeles,Los Angeles,California,Apartment,Apartment,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No explicit timing reference,,$8.2 million; $205; $8.2 million,,Disposition / Exit,General Asset Signal,Existing asset sale,Unknown,excluded,excluded operating-asset disposition,84,40,High relevance to Woomi site strategy,"Review site details, sponsor, entitlement path, and local precedent","Covina Apartments Trade on In-Place Cash Flow, Rental Upside",Connect CRE,https://www.connectcre.com/stories/covina-apartments-trade-on-in-place-cash-flow-rental-upside/,Low
2026-06-01,20260601-020308-c84a5578,PRJ-20260601-0047,Refinancing - Florida - Benefit Street Partners Provides $82M Refi for Sarasota County Multifamily,100,AST-20260601-031,art_62d1896871cae5d4,Benefit Street Partners Provides $82M Refi for Sarasota County Multifamily,https://commercialobserver.com/2026/05/benefit-street-partners-82m-refi-sarasota-county-multifamily/,"Fri, 29 May 2026 13:20:54 +0000","Residential · Multifamily Florida Finance · Refinance Benefit Street Partners Provides $82M Refi for Sarasota County Multifamily The 450-unit Class A complex opened in 2024 By Brian Pascus May 29, 2026 9:20 am reprints Berkadia's Patrick McGlohn (top), Brian Gould (center), and Natalie Hershey, and an aerial view of Nokomis, Fla. PHOTOS: Courtesy Berkadia; Getty Images Crescent Communities and FCP have secured $82.1 million to refinance Render Legacy Trail , a 450-unit multifamily community in F",valid,title/source/url metadata are internally consistent,Development Activity,GP / Capital Activity,acceptable_repeat,2026-05-29,2026-06-01,3,fresh_0_3d,current,published date parsed; article age 3 day(s),70,accessible,Refinancing - Florida - Benefit Street Partners Provides $82M Refi for Sarasota County Multifamily,Refinancing - Florida - Benefit Street Partners Provides $82M Refi for Sarasota County Multifamily,Florida,General submarket monitoring,Florida,Florida,Florida,Multifamily,Multifamily,Crescent Communities,Crescent Communities,Berkadia,Unknown,Unknown,Completed / opened,opened,,$82M; $82M; $82.1 million,,Refinancing,Refinancing / Recapitalization,Existing asset refinance,Delivered / Lease-Up,excluded,excluded financing-only article: refinancing,83,38,Relevant to acquisition / JV sourcing,"Review acquisition, financing, ownership, and comparable transaction details",Benefit Street Partners Provides $82M Refi for Sarasota County Multifamily,Commercial Observer,https://commercialobserver.com/2026/05/benefit-street-partners-82m-refi-sarasota-county-multifamily/,Medium
2026-06-01,20260601-020308-c84a5578,PRJ-20260601-0037,Audubon Unveils Palmer Club Apartments Breathing New Life into Former Fairway View Apartments with Multi-Million Dollar Renovation,80,AST-20260601-055,art_254005ddeadd9f56,Insignia Pursuing Embassy Row Multifamily Mixed-Use Redevelopment in Atlanta,https://yieldpro.com/2026/05/embassy-row/,"Sat, 30 May 2026 14:46:43 +0000","Deal boom Midwest-South region News Facebook Twitter Linkedin Insignia LLC hopes to continue its redevelopment of Embassy Row , a spread-out office park in Sandy Springs. The latest project would include 111 townhomes, 1,068 apartments, 15,300 square feet of retail space, and 159,463 square feet of existing office space. Construction is already underway on the campus, which would be rebranded as Embassy Row Grove. Three buildings, totaling about 400,000 square feet of office space, remain on the",valid,title/source/url metadata are internally consistent,Development Activity,,acceptable_repeat,2026-05-30,2026-06-01,2,fresh_0_3d,current,published date parsed; article age 2 day(s),74,accessible,General Project Signal - Sun Belt - Insignia Pursuing Embassy Row Multifamily Mixed-Use Redevelopment in Atlanta,General Project Signal - Sun Belt - Insignia Pursuing Embassy Row Multifamily Mixed-Use Redevelopment in Atlanta,Atlanta,Mixed-use corridor,Atlanta,Los Angeles,Sun Belt,Mixed-Use Residential,Mixed-Use Residential,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No explicit timing reference,"1,068 apartments",,,General Project Signal,General Asset Signal,Unknown site control,Unknown,excluded,no clear development milestone,83,34,Relevant to underwriting benchmark,Monitor asset-level signal for repeated confirmation,Insignia Pursuing Embassy Row Multifamily Mixed-Use Redevelopment in Atlanta,Yield PRO,https://yieldpro.com/2026/05/embassy-row/,Medium
2026-06-01,20260601-020308-c84a5578,PRJ-20260601-0085,"Construction Financing - New York - Dwight Mortgage Trust Lends $55M on Rockland County, N.Y., Multifamily Development",80,AST-20260601-047,art_0593f02bc0368fb7,"Dwight Mortgage Trust Lends $55M on Rockland County, N.Y., Multifamily Development",https://commercialobserver.com/2026/05/dwight-mortgage-trust-rockland-county-apartments/,"Thu, 28 May 2026 14:55:07 +0000","Residential · Multifamily Rockland County Finance · Construction Financing Dwight Mortgage Trust Lends $55M on Rockland County, N.Y., Multifamily Development By Andrew Coen May 28, 2026 10:55 am reprints Dwight Mortgage Trust's Katie Goldenberg (top), SBH Group's Steven Herkso, and 10 Ashel Lane in Kaser, N.Y. PHOTOS: Courtesy Dwight Mortgage Trust; Courtesy SBH Group; RENDERING: Dwight Mortgage Trust Sky Equity Group has landed $55 million of construction financing to develop a mixed-use multif",valid,title/source/url metadata are internally consistent,GP / Capital Activity,,acceptable_repeat,2026-05-28,2026-06-01,4,recent_4_14d,usable_recent,published date parsed; article age 4 day(s),66,accessible,"Construction Financing - New York - Dwight Mortgage Trust Lends $55M on Rockland County, N.Y., Multifamily Development","Construction Financing - New York - Dwight Mortgage Trust Lends $55M on Rockland County, N.Y., Multifamily Development",New York,General submarket monitoring,New York,Los Angeles,New York,Mixed-Use Residential,Mixed-Use Residential,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No explicit timing reference,,$55M; $55M; $55 million,,Construction Financing,General Asset Signal,Land / parcel referenced,Site Search / Early Signal,excluded,no clear development milestone,81,44,Relevant to underwriting benchmark,Monitor asset-level signal for repeated confirmation,"Dwight Mortgage Trust Lends $55M on Rockland County, N.Y., Multifamily Development",Commercial Observer,https://commercialobserver.com/2026/05/dwight-mortgage-trust-rockland-county-apartments/,Low
2026-06-01,20260601-020308-c84a5578,PRJ-20260601-0079,Office-to-Residential Conversion - National - JBG SMITH Begins Latest Office-to-Residential Conversion in National Landing Northern Virg...,80,AST-20260601-065,art_4451b8131a4911f3,JBG SMITH Begins Latest Office-to-Residential Conversion in National Landing Northern Virginia,https://yieldpro.com/2026/05/crystal-drive/,"Sun, 31 May 2026 17:06:30 +0000","Deal boom Midwest-South region News Facebook Twitter Linkedin JBG SMITH has started the office-to-residential conversion of 2200 Crystal Drive , a former office building in National Landing in Northern Virginia that is being transformed into 195 multifamily units. Declaration Partners has joined the project as a joint venture equity partner with an undisclosed investment amount. The firm stated it was made through Declaration Partners Real Estate Fund II, LP, a $303 million vehicle, which is mor",suspicious_mismatch,title/source/url metadata are internally consistent; title and original_url slug appear to reference different articles,Development Activity,GP / Capital Activity,repeat_penalized,2026-05-31,2026-06-01,1,fresh_0_3d,current,published date parsed; article age 1 day(s),48,accessible,Office-to-Residential Conversion - National - JBG SMITH Begins Latest Office-to-Residential Conversion in National Landing Northern Virg...,Office-to-Residential Conversion - National - JBG SMITH Begins Latest Office-to-Residential Conversion in National Landing Northern Virg...,National,Office conversion corridor,National,Los Angeles,Unknown,Office-to-Residential Conversion,Office-to-Residential,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No explicit timing reference,,$303 million; $303 million,,Office-to-Residential Conversion,Office-to-Residential Conversion,Land / parcel referenced,Site Search / Early Signal,excluded,no clear development milestone,78,33,Relevant to underwriting benchmark,Monitor office conversion feasibility and policy support,JBG SMITH Begins Latest Office-to-Residential Conversion in National Landing Northern Virginia,Yield PRO,https://yieldpro.com/2026/05/crystal-drive/,Low
2026-06-01,20260601-020308-c84a5578,PRJ-20260601-0030,Aventon to Build 270-Unit Port Richey Rental Community,80,AST-20260601-021,art_577251798106bbfb,Aventon to Build 270-Unit Port Richey Rental Community,https://www.connectcre.com/stories/aventon-to-build-270-unit-port-richey-rental-community/,"Fri, 29 May 2026 14:31:30 +0000","Florida & Gulf Coast CRE News In Your Inbox. Sign up for Connect emails to stay informed with CRE stories that are 150 words or less. Florida & Gulf Coast + Gulf Coast + Apartments | May 29, 2026 By: Mike Boyd Aventon to Build 270-Unit Port Richey Rental Community Aventon Companies purchased a 13.58-acre land assemblage in New Port Richey, Fla., to build Aventon Eva, a 270-unit multifamily development. The Little Family sold the property at 8620 Decubellis Road for $5 million. Casey Babb, Shawn ",valid,title/source/url metadata are internally consistent,Development Activity,GP / Capital Activity,acceptable_repeat,2026-05-29,2026-06-01,3,fresh_0_3d,current,published date parsed; article age 3 day(s),70,accessible,Aventon to Build 270-Unit Port Richey Rental Community,Aventon to Build 270-Unit Port Richey Rental Community,8620 Decubellis Road,General submarket monitoring,Unknown,Los Angeles,Florida,Apartment,Apartment,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2026,,,,Acquisition / Site Control,Acquisition / Site Control,Site acquired,Site Controlled,site_parcel_activity,matched land assemblage,77,21,Relevant to acquisition / JV sourcing,"Review acquisition, financing, ownership, and comparable transaction details",Aventon to Build 270-Unit Port Richey Rental Community,Connect CRE Apartments,https://www.connectcre.com/stories/aventon-to-build-270-unit-port-richey-rental-community/,Medium
2026-06-01,20260601-020308-c84a5578,PRJ-20260601-0044,"Recapitalization - California - PEF Advisors, Freestone Capital Form JV to Recapitalize Affordable Properties",80,AST-20260601-039,art_1cf4b76f3046105a,JLL Arranges $252M Financing for Huntington Beach Seniors Project,https://www.connectcre.com/stories/jll-arranges-252m-financing-for-huntington-beach-seniors-project/,"Tue, 19 May 2026 15:28:17 +0000","California CRE News In Your Inbox. Sign up for Connect emails to stay informed with CRE stories that are 150 words or less. California + Orange County + Senior Housing | May 19, 2026 By: Paul Bubny JLL Arranges $252M Financing for Huntington Beach Seniors Project JLL and HJ Sims have arranged $252.1 million in tax-exempt and taxable bond financing for the development of The Marisol, a planned 214-unit seniors housing community in Huntington Beach. HJ Sims acted as lead book-running manager on th",valid,title/source/url metadata are internally consistent,GP / Capital Activity,,repeat_penalized,2026-05-19,2026-06-01,13,recent_4_14d,usable_recent,published date parsed; article age 13 day(s),55,accessible,General Project Signal - California - JLL Arranges $252M Financing for Huntington Beach Seniors Project,General Project Signal - California - JLL Arranges $252M Financing for Huntington Beach Seniors Project,California,General submarket monitoring,California,Los Angeles,California,Senior Housing,Senior Housing,Unknown,Unknown,JLL,Unknown,Unknown,Unknown,No explicit timing reference,,$252M; $252M; $252.1 million,,General Project Signal,General Asset Signal,Unknown site control,Unknown,excluded,no clear development milestone,76,64,High relevance to Woomi site strategy,"Review site details, sponsor, entitlement path, and local precedent",JLL Arranges $252M Financing for Huntington Beach Seniors Project,Connect CRE Orange County,https://www.connectcre.com/stories/jll-arranges-252m-financing-for-huntington-beach-seniors-project/,Low
2026-06-01,20260601-020308-c84a5578,PRJ-20260601-0004,Modular / Construction Innovation - Los Angeles - Modular housing manufacturing proposed for city-owned site at 10901 S. Clovis St. in South...,80,AST-20260601-062,art_086d345158545dbe,Modular housing manufacturing proposed for city-owned site at 10901 S. Clovis St. in South LA,https://la.urbanize.city/post/modular-housing-manufacturing-proposed-city-owned-site-10901-s-clovis-st-south-la,"Thu, 28 May 2026 13:05:00 +0000","Modular housing manufacturing proposed for city-owned site at 10901 S. Clovis St. in South LA | Urbanize LA Skip to main content Advertisement Advertisement The Los Angeles City Council has voted to enter into an exclusive negotiating agreement with developer SoLa Impact for a project which could bring a new modular housing manufacturing facility to South Los Angeles. The agreement, which will run for an initial one-month period with an optional one-year extension, pertains to a property at 1090",valid,title/source/url metadata are internally consistent,Development Activity,Market Intelligence,acceptable_repeat,2026-05-28,2026-06-01,4,recent_4_14d,usable_recent,published date parsed; article age 4 day(s),66,accessible,Modular / Construction Innovation - Los Angeles - Modular housing manufacturing proposed for city-owned site at 10901 S. Clovis St. in South...,Modular / Construction Innovation - Los Angeles - Modular housing manufacturing proposed for city-owned site at 10901 S. Clovis St. in South...,10901 S. Clovis St,General submarket monitoring,Los Angeles,Los Angeles,California,Affordable Housing,Unknown Residential,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No explicit timing reference,,,,Modular / Construction Innovation,General Asset Signal,Land / parcel referenced,Site Search / Early Signal,excluded,no clear development milestone,76,26,High relevance to Woomi site strategy,"Review site details, sponsor, entitlement path, and local precedent",Modular housing manufacturing proposed for city-owned site at 10901 S. Clovis St. in South LA,Urbanize LA,https://la.urbanize.city/post/modular-housing-manufacturing-proposed-city-owned-site-10901-s-clovis-st-south-la,Medium
2026-06-01,20260601-020308-c84a5578,PRJ-20260601-0020,Entitlement / Permitting - Los Angeles - 150 apartments debut at 549 S. Harvard Blvd. in Koreatown,80,AST-20260601-004,art_da529bee74e42944,150 apartments debut at 549 S. Harvard Blvd. in Koreatown,https://la.urbanize.city/post/150-apartments-debut-549-s-harvard-blvd-koreatown,"Fri, 29 May 2026 13:05:00 +0000","150 apartments debut at 549 S. Harvard Blvd. in Koreatown | Urbanize LA Skip to main content Advertisement Advertisement In Koreatown , work is largely complete for a new mixed-use development from Jamison Services, Inc. at the intersection of 6th and Harvard. The Maru apartments, located 549 S. Harvard Boulevard , consists of a seven-story building featuring 150 studio, one-, and two-bedroom apartments atop 12,900 square feet of ground-floor commercial space. Parking for 192 vehicles is provide",valid,title/source/url metadata are internally consistent,Development Activity,,acceptable_repeat,2026-05-29,2026-06-01,3,fresh_0_3d,current,published date parsed; article age 3 day(s),70,accessible,150 apartments debut at 549 S. Harvard Blvd. in Koreatown,150 apartments debut at 549 S. Harvard Blvd. in Koreatown,549 S. Harvard Blvd,Mixed-use corridor,Koreatown,Los Angeles,California,Affordable Housing,Affordable Housing,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No explicit timing reference,,,900 square feet,General Asset Signal,General Asset Signal,Unknown site control,Unknown,excluded,no clear development milestone,75,40,High relevance to Woomi site strategy,"Review site details, sponsor, entitlement path, and local precedent",150 apartments debut at 549 S. Harvard Blvd. in Koreatown,Urbanize LA,https://la.urbanize.city/post/150-apartments-debut-549-s-harvard-blvd-koreatown,High
2026-06-01,20260601-020308-c84a5578,PRJ-20260601-0018,"Covina Apartments Trade on In-Place Cash Flow, Rental Upside",80,AST-20260601-012,art_aac28584f7614e52,"Covina Apartments Trade on In-Place Cash Flow, Rental Upside",https://www.connectcre.com/stories/covina-apartments-trade-on-in-place-cash-flow-rental-upside/,"Fri, 29 May 2026 21:59:36 +0000","California CRE News In Your Inbox. Sign up for Connect emails to stay informed with CRE stories that are 150 words or less. California + Los Angeles + Apartments | May 29, 2026 By: Paul Bubny Covina Apartments Trade on In-Place Cash Flow, Rental Upside Marcus & Millichap has closed the sale of Vincent Village, a 40-unit apartment property located at 4810 N. Vincent Ave. in Covina. The property sold for $8.2 million, or $205,000 per unit, at a 5.9% cap rate with approximately 29% rental upside.. ",valid,title/source/url metadata are internally consistent,GP / Capital Activity,,acceptable_repeat,2026-05-29,2026-06-01,3,fresh_0_3d,current,published date parsed; article age 3 day(s),70,accessible,"Covina Apartments Trade on In-Place Cash Flow, Rental Upside","Covina Apartments Trade on In-Place Cash Flow, Rental Upside",4810 N. Vincent Ave,General submarket monitoring,Unknown,Los Angeles,California,Apartment,Apartment,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2026,,,,General Asset Signal,General Asset Signal,Existing asset sale,Unknown,excluded,no clear development milestone,75,40,High relevance to Woomi site strategy,"Review site details, sponsor, entitlement path, and local precedent","Covina Apartments Trade on In-Place Cash Flow, Rental Upside",Connect CRE,https://www.connectcre.com/stories/covina-apartments-trade-on-in-place-cash-flow-rental-upside/,Medium
2026-06-01,20260601-020308-c84a5578,PRJ-20260601-0028,Construction Financing - Los Angeles - Developer scores construction loan for mixed-use project at 8025 Santa Monica Blvd. in Wes...,80,AST-20260601-006,art_94ddbfdf53356ba5,Developer scores construction loan for mixed-use project at 8025 Santa Monica Blvd. in West Hollywood,https://la.urbanize.city/post/developer-scores-construction-loan-mixed-use-project-8025-santa-monica-blvd-west-hollywood,"Wed, 27 May 2026 13:15:00 +0000","Developer scores construction loan for mixed-use project at 8025 Santa Monica Blvd. in West Hollywood | Urbanize LA Skip to main content Advertisement Advertisement A local development firm has reportedly nabbed a $48-million construction loan for a new mixed-use building in West Hollywood. The project from Los Angeles-based Massachi , slated cor a corner lot at 8025 Santa Monica Boulevard, calls for the construction of a new seven-story building featuring 115 studio, one-, and two-bedroom dwell",valid,title/source/url metadata are internally consistent,Development Activity,GP / Capital Activity,acceptable_repeat,2026-05-27,2026-06-01,5,recent_4_14d,usable_recent,published date parsed; article age 5 day(s),62,accessible,Developer scores construction loan for mixed-use project at 8025 Santa Monica Blvd. in West Hollywood,Developer scores construction loan for mixed-use project at 8025 Santa Monica Blvd. in West Hollywood,8025 Santa Monica Blvd,Mixed-use corridor,Hollywood,Los Angeles,California,Affordable Housing,Affordable Housing,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No explicit timing reference,,,,Refinancing / Recapitalization,Refinancing / Recapitalization,Unknown site control,Unknown,excluded,excluded financing-only article: construction loan,75,40,High relevance to Woomi site strategy,"Review site details, sponsor, entitlement path, and local precedent",Developer scores construction loan for mixed-use project at 8025 Santa Monica Blvd. in West Hollywood,Urbanize LA,https://la.urbanize.city/post/developer-scores-construction-loan-mixed-use-project-8025-santa-monica-blvd-west-hollywood,Medium
2026-06-01,20260601-020308-c84a5578,PRJ-20260601-0012,JBG SMITH Begins Latest Office-to-Residential Conversion in National Landing Northern Virginia,80,AST-20260601-008,art_e433b84f9d4b2d77,JBG SMITH Commences Office-to-Residential Conversion in National Landing,https://www.connectcre.com/stories/jbg-smith-commences-office-to-residential-conversion-in-national-landing/,"Fri, 29 May 2026 18:49:18 +0000","Washington DC CRE News In Your Inbox. Sign up for Connect emails to stay informed with CRE stories that are 150 words or less. Washington DC & Mid-Atlantic + DC Metro + Apartments | May 29, 2026 By: Jasmine Kilman JBG SMITH Commences Office-to-Residential Conversion in National Landing JBG SMITH announced the start of construction on its office-to-residential conversion at 2200 Crystal Drive in National Landing in Arlington, Virginia. JBG SMITH is repositioning the existing office property into ",valid,title/source/url metadata are internally consistent,Development Activity,GP / Capital Activity,acceptable_repeat,2026-05-29,2026-06-01,3,fresh_0_3d,current,published date parsed; article age 3 day(s),70,accessible,JBG SMITH Commences Office-to-Residential Conversion in National Landing,JBG SMITH Commences Office-to-Residential Conversion in National Landing,2200 Crystal Drive,Office conversion corridor,Unknown,Los Angeles,National,Office-to-Residential Conversion,Office-to-Residential Conversion,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2026,,,,Office-to-Residential Conversion,Office-to-Residential Conversion,Land / parcel referenced,Site Search / Early Signal,excluded,no clear development milestone,75,36,Relevant to underwriting benchmark,Monitor office conversion feasibility and policy support,JBG SMITH Commences Office-to-Residential Conversion in National Landing,Connect CRE Apartments,https://www.connectcre.com/stories/jbg-smith-commences-office-to-residential-conversion-in-national-landing/,Medium
