run_date,run_id,canonical_project_id,canonical_project_name,market,submarket,residential_sector,gp_or_developer,first_seen_date,last_seen_date,observation_count,source_count,lifecycle_stage_history,latest_lifecycle_stage,highest_opportunity_score,highest_risk_score,entitlement_signal_count,timing_signal_count,financing_signal_count,distress_signal_count,relationship_edge_count,progression_status,stall_risk_label,persistent_asset_score,woomi_asset_watch_priority,recommended_asset_memory_follow_up
2026-09-01,20260901-014157-7c7e8ccc,PRJ-20260901-0161,Disposition / Exit - Miami / Florida - Cortland Offloads 812 West Palm Beach Apartment Units for $208M,Unknown,South Florida,Apartment,Fairfield Residential,2026-09-01,2026-09-01,5,5,Site Acquisition / Site Control,Site Acquisition / Site Control,87,36,0,0,0,0,0,Persistent Same Stage,Low Stall Risk,86,Priority Asset Watch,"Create or refresh a project watch file with sponsor, site, entitlement, financing, and timing notes"
2026-09-01,20260901-014157-7c7e8ccc,PRJ-20260901-0073,Disposition / Exit - Dallas / Texas - Institutional Property Advisors Closes 456-Unit Multifamily Asset Sale in Suburban Dallas-...,Unknown,Dallas,Multifamily,IPA,2026-09-01,2026-09-01,5,5,Unknown Stage,Unknown Stage,79,22,0,0,0,0,0,Newly Detected,Unknown,82,Priority Asset Watch,"Create or refresh a project watch file with sponsor, site, entitlement, financing, and timing notes"
2026-09-01,20260901-014157-7c7e8ccc,PRJ-20260901-0050,General Project Signal - Atlanta / Georgia - Atlanta Developer Plans $343M Mixed-Use Project In Downtown Durham,Unknown,Atlanta,Affordable Housing,Unknown,2026-09-01,2026-09-01,12,3,Early Site Signal; Unknown Stage; Unknown Stage; Unknown Stage,Early Site Signal,80,32,0,0,0,0,0,Unknown,Low Stall Risk,81,Priority Asset Watch,"Create or refresh a project watch file with sponsor, site, entitlement, financing, and timing notes"
2026-09-01,20260901-014157-7c7e8ccc,PRJ-20260901-0138,Refinancing - Other / Unknown - Knighthead Funding Provides $32M Loan for Refinancing of Metro Chicago Apartment Community,Unknown,Unknown,Apartment,JLL,2026-09-01,2026-09-01,14,6,,Unknown Stage,89,49,0,0,14,2,4,Newly Detected,Low Stall Risk,79,Priority Asset Watch,"Create or refresh a project watch file with sponsor, site, entitlement, financing, and timing notes"
2026-09-01,20260901-014157-7c7e8ccc,PRJ-20260901-0159,"Community Roots Housing, Kids Co. Launch Buildout of Learning Center at Seattle Housing Development",Seattle,Seattle,Apartment,Unknown,2026-09-01,2026-09-01,8,5,Unknown Stage; Unknown Stage,Unknown Stage,57,32,0,0,0,0,0,Newly Detected,Low Stall Risk,77,Priority Asset Watch,"Create or refresh a project watch file with sponsor, site, entitlement, financing, and timing notes"
2026-09-01,20260901-014157-7c7e8ccc,PRJ-20260901-0110,Disposition / Exit - Miami / Florida - Cortland Offloads 812 West Palm Beach Apartment Units for $208M,Miami / Florida,Unknown,Apartment,Fairfield Residential,2026-09-01,2026-09-01,7,5,Site Acquisition / Site Control,Site Acquisition / Site Control,50,36,0,0,0,0,3,Persistent Same Stage,Low Stall Risk,75,Priority Asset Watch,"Create or refresh a project watch file with sponsor, site, entitlement, financing, and timing notes"
2026-09-01,20260901-014157-7c7e8ccc,PRJ-20260901-0058,JV / Partnership - California - Newmark Arranges Fannie Mae Loan on San Clemente Active-Adult Complex,California,California,Apartment,Fannie Mae,2026-09-01,2026-09-01,11,9,Unknown Stage,Unknown Stage,48,32,0,0,11,0,3,Unknown,Low Stall Risk,74,Strategic Asset Watch,Monitor for repeated project updates
2026-09-01,20260901-014157-7c7e8ccc,PRJ-20260901-0125,Refinancing - New York City / New York - JLL Provides $69.5M Agency Loan for Refinancing of Manhattan Apartment Building,Unknown,New York City,Affordable Housing,JLL,2026-09-01,2026-09-01,4,4,Refinancing / Recapitalization,Refinancing / Recapitalization,89,49,0,0,4,0,0,Newly Detected,Low Stall Risk,73,Strategic Asset Watch,Monitor for repeated project updates
2026-09-01,20260901-014157-7c7e8ccc,PRJ-20260901-0062,Disposition / Exit - California - Costa Mesa Multifamily Changes Hands for Value-Add Repositioning,California,California,Apartment,Marcus & Millichap,2026-09-01,2026-09-01,10,9,Unknown Stage,Unknown Stage,47,29,0,0,0,0,2,Unknown,Low Stall Risk,73,Strategic Asset Watch,Monitor for repeated project updates
2026-09-01,20260901-014157-7c7e8ccc,PRJ-20260901-0127,"Refinancing - Other / Unknown - CBRE Arranges $11M Refinancing for Grandview Square Office Building in Edina, Minnesota",Unknown,Unknown,General Residential,CBRE,2026-09-01,2026-09-01,7,6,,Unknown Stage,70,39,0,0,7,1,2,Newly Detected,Low Stall Risk,72,Strategic Asset Watch,Monitor for repeated project updates
2026-09-01,20260901-014157-7c7e8ccc,PRJ-20260901-0126,General Project Signal - New York - Dwight Mortgage Trust Provides $70M Loan for Newark Multifamily,New York,New York,Apartment,Dwight Mortgage Trust,2026-09-01,2026-09-01,8,7,Unknown Stage,Unknown Stage,76,23,0,0,8,0,2,Newly Detected,Unknown,71,Strategic Asset Watch,Monitor for repeated project updates
2026-09-01,20260901-014157-7c7e8ccc,PRJ-20260901-0172,Disposition / Exit - Washington DC - Marcus & Millichap Arranges Sale of Multifamily Property in Washington DC,Unknown,Washington Dc,Multifamily,Marcus & Millichap,2026-09-01,2026-09-01,9,7,Unknown Stage,Unknown Stage,77,22,0,0,0,0,3,Newly Detected,Unknown,71,Strategic Asset Watch,Monitor for repeated project updates
2026-09-01,20260901-014157-7c7e8ccc,PRJ-20260901-0061,Construction Financing - California - CedarSt Lands $80M for San Diego Multifamily Project,California,Unknown,Apartment,JLL,2026-09-01,2026-09-01,9,6,Site Acquisition / Site Control,Site Acquisition / Site Control,45,14,0,9,0,1,4,Newly Detected,No Clear Stall Risk,71,Strategic Asset Watch,Monitor for repeated project updates
2026-09-01,20260901-014157-7c7e8ccc,PRJ-20260901-0121,Disposition / Exit - National - Cushman & Wakefield Brokers $7.275M Sale of Fully Leased Rochester Minnesota Apartment Com...,Unknown,National,Affordable Housing,Unknown,2026-09-01,2026-09-01,6,3,Unknown Stage; Stabilized / Operating,Unknown Stage,76,33,0,0,0,0,0,Newly Detected,Low Stall Risk,70,Strategic Asset Watch,Monitor for repeated project updates
2026-09-01,20260901-014157-7c7e8ccc,PRJ-20260901-0048,General Project Signal - Atlanta / Georgia - Atlanta Developer Plans $343M Mixed-Use Project In Downtown Durham,Atlanta / Georgia,Atlanta,Affordable Housing,Unknown,2026-09-01,2026-09-01,7,4,Unknown Stage,Unknown Stage,36,29,1,0,0,0,0,Unknown,Low Stall Risk,70,Strategic Asset Watch,Monitor for repeated project updates
2026-09-01,20260901-014157-7c7e8ccc,PRJ-20260901-0066,JV / Partnership - Sun Belt - Charlotte Multifamily Formerly Destroyed by Fire and Rebuilt in Sells for Nearly $500K Per...,Sun Belt,Charlotte,Apartment,Mill Creek Residential,2026-09-01,2026-09-01,4,4,Unknown Stage,Unknown Stage,89,26,0,0,0,0,0,Newly Detected,Low Stall Risk,70,Strategic Asset Watch,Monitor for repeated project updates
2026-09-01,20260901-014157-7c7e8ccc,PRJ-20260901-0104,Refinancing - Los Angeles / California - Priority Capital Advisory Arranges $13.6M Bridge Loan for Refinancing of Los Angeles Multi...,Los Angeles / California,Los Angeles,Student Housing,Unknown,2026-09-01,2026-09-01,13,4,Site Acquisition / Site Control; Entitlement Under Review; Entitlement Under Review,Site Acquisition / Site Control,42,13,13,0,1,0,0,Newly Detected,No Clear Stall Risk,70,Strategic Asset Watch,Monitor for repeated project updates
2026-09-01,20260901-014157-7c7e8ccc,PRJ-20260901-0137,General Project Signal - Other / Unknown - Drew Capital Secures $70M in Financing for 216-Unit Residential Multifamily High-Rise Towe...,Unknown,Unknown,Multifamily,IPA,2026-09-01,2026-09-01,5,5,,Unknown Stage,71,21,0,0,0,0,1,Newly Detected,Unknown,69,Strategic Asset Watch,Monitor for repeated project updates
2026-09-01,20260901-014157-7c7e8ccc,PRJ-20260901-0156,Entitlement / Permitting - Santa Monica / California - 12-story residential building pitched for 1517 15th St. in Santa Monica,Unknown,Santa Monica,Affordable Housing,Unknown,2026-09-01,2026-09-01,3,3,Unknown Stage,Unknown Stage,75,34,3,0,0,0,0,Unknown,Low Stall Risk,68,Strategic Asset Watch,Monitor for repeated project updates
2026-09-01,20260901-014157-7c7e8ccc,PRJ-20260901-0163,General Project Signal - Miami / Florida - Miami-Dade Public Agency Advancing $126.4M Affordable Housing Project,Unknown,South Florida,Affordable Housing,Unknown,2026-09-01,2026-09-01,9,3,Unknown Stage; Unknown Stage; Unknown Stage,Unknown Stage,70,33,0,0,0,0,0,Unknown,Low Stall Risk,68,Strategic Asset Watch,Monitor for repeated project updates
2026-09-01,20260901-014157-7c7e8ccc,PRJ-20260901-0160,Refinancing - Miami / Florida - Investor Team Scores $53.5M Refi on Doral Center Offices,Unknown,South Florida,General Residential,CBRE,2026-09-01,2026-09-01,4,4,Refinancing / Recapitalization,Refinancing / Recapitalization,73,42,0,0,4,0,0,Persistent Same Stage,Low Stall Risk,67,Strategic Asset Watch,Monitor for repeated project updates
2026-09-01,20260901-014157-7c7e8ccc,PRJ-20260901-0096,Entitlement / Permitting - Los Angeles / California - Affordable housing complex underway at 708 S. Gramercy Dr. in Koreatown,Unknown,Los Angeles / California,Affordable Housing,Unknown,2026-09-01,2026-09-01,6,2,Entitlement Under Review; Unknown Stage; Unknown Stage,Entitlement Under Review,47,32,6,0,0,0,0,Unknown,Low Stall Risk,67,Strategic Asset Watch,Track entitlement path and local approval milestones
2026-09-01,20260901-014157-7c7e8ccc,PRJ-20260901-0105,Refinancing - Los Angeles / California - Priority Capital Advisory Arranges $13.6M Bridge Loan for Refinancing of Los Angeles Multi...,Other / Unknown,Los Angeles,Office-to-Residential Conversion,Unknown,2026-09-01,2026-09-01,39,7,Unknown Stage,Unknown Stage,32,12,39,39,2,0,0,Newly Detected,Unknown,66,Strategic Asset Watch,Monitor for repeated project updates
2026-09-01,20260901-014157-7c7e8ccc,PRJ-20260901-0145,General Project Signal - Phoenix / Arizona - JPI Adding 397 Apartments to City North Development,Unknown,Phoenix,Mixed-Use Residential,JPI,2026-09-01,2026-09-01,4,4,Unknown Stage,Unknown Stage,75,22,0,0,0,0,0,Newly Detected,Unknown,65,Strategic Asset Watch,Monitor for repeated project updates
2026-09-01,20260901-014157-7c7e8ccc,PRJ-20260901-0143,Disposition / Exit - Other / Unknown - NAHB HBGI: Micro Markets Lone Bright Spot for Single-Family Building in Fourth Quarter,Unknown,Unknown,Multifamily,Unknown,2026-09-01,2026-09-01,11,1,,Unknown Stage,72,51,0,11,1,0,0,Newly Detected,Medium Stall Risk,63,Strategic Asset Watch,Monitor for repeated project updates
2026-09-01,20260901-014157-7c7e8ccc,PRJ-20260901-0114,General Project Signal - Miami / Florida - Miami-Dade Public Agency Advancing $126.4M Affordable Housing Project,Miami / Florida,Unknown,Mixed-Use Residential,Unknown,2026-09-01,2026-09-01,11,5,Unknown Stage,Unknown Stage,38,32,0,0,3,1,0,Unknown,Low Stall Risk,61,Strategic Asset Watch,Monitor for repeated project updates
2026-09-01,20260901-014157-7c7e8ccc,PRJ-20260901-0017,Greystone Provides Fannie Mae Refi on San Diego Mixed-Income,California,Unknown,Affordable Housing,Greystone,2026-09-01,2026-09-01,2,2,,Unknown Stage,87,32,0,0,2,0,0,Newly Detected,Low Stall Risk,61,Strategic Asset Watch,Monitor for repeated project updates
2026-09-01,20260901-014157-7c7e8ccc,PRJ-20260901-0116,Refinancing - Miami / Florida - Terra Nabs $245M Permanent Loan for 47-acre Project in Miami-Dade,Unknown,Miami,Mixed-Use Residential,Unknown,2026-09-01,2026-09-01,3,3,Refinancing / Recapitalization,Refinancing / Recapitalization,72,56,0,0,3,0,0,Newly Detected,Medium Stall Risk,60,Strategic Asset Watch,Monitor for repeated project updates
2026-09-01,20260901-014157-7c7e8ccc,PRJ-20260901-0080,Work Underway on 388-Unit Rental Community Near The Woodlands,Houston / Texas,Houston,Mixed-Use Residential,Unknown,2026-09-01,2026-09-01,3,3,Site Acquisition / Site Control,Site Acquisition / Site Control,48,36,0,0,0,0,0,Persistent Same Stage,Low Stall Risk,60,Strategic Asset Watch,Monitor for repeated project updates
2026-09-01,20260901-014157-7c7e8ccc,PRJ-20260901-0010,CedarSt Lands $80M for San Diego Multifamily Project,California,Unknown,Apartment,JLL,2026-09-01,2026-09-01,2,2,,Unknown Stage,87,24,0,0,0,0,0,Newly Detected,Unknown,60,Strategic Asset Watch,Monitor for repeated project updates
2026-09-01,20260901-014157-7c7e8ccc,PRJ-20260901-0170,General Project Signal - Virginia - FCP Provides $22M Preferred Equity for 305-Unit Multifamily Development in Church Falls Vi...,Unknown,Virginia,Apartment,Unknown,2026-09-01,2026-09-01,3,3,Unknown Stage,Unknown Stage,68,51,0,0,0,0,0,Newly Detected,Medium Stall Risk,58,Strategic Asset Watch,Monitor for repeated project updates
2026-09-01,20260901-014157-7c7e8ccc,PRJ-20260901-0168,Disposition / Exit - Other / Unknown - NAHB HBGI: Micro Markets Lone Bright Spot for Single-Family Building in Fourth Quarter,Unknown,Unknown,Apartment,Unknown,2026-09-01,2026-09-01,22,2,Refinancing / Recapitalization; Unknown Stage; Unknown Stage; Unknown Stage; Unknown Stage; Unknown Stage; Unknown Stage; Unknown Stage,Refinancing / Recapitalization,52,32,0,22,2,0,0,Persistent Same Stage,Low Stall Risk,58,Strategic Asset Watch,Monitor for repeated project updates
2026-09-01,20260901-014157-7c7e8ccc,PRJ-20260901-0023,CBRE Brokers Sale of Vintage Redlands Apartments,Riverside / California,Inland Empire,Apartment,CBRE,2026-09-01,2026-09-01,2,2,,Unknown Stage,86,18,0,0,0,0,0,Newly Detected,Unknown,58,Strategic Asset Watch,Monitor for repeated project updates
2026-09-01,20260901-014157-7c7e8ccc,PRJ-20260901-0019,Cortland Sells West Palm Apartments For $208M: The South Florida Deal Sheet,Atlanta / Georgia,Atlanta,Apartment,Fairfield Residential,2026-09-01,2026-09-01,2,2,,Unknown Stage,83,18,0,0,0,0,0,Newly Detected,Unknown,58,Strategic Asset Watch,Monitor for repeated project updates
2026-09-01,20260901-014157-7c7e8ccc,PRJ-20260901-0068,"Office-to-Residential Conversion - Connecticut - Condyne Capital Receives Approval for Office-to-Residential Conversion Project in Windsor,...",Connecticut,Other / Unknown,Office-to-Residential Conversion,Unknown,2026-09-01,2026-09-01,7,7,Site Acquisition / Site Control,Site Acquisition / Site Control,35,11,1,0,0,0,0,Newly Detected,No Clear Stall Risk,57,Strategic Asset Watch,Monitor for repeated project updates
2026-09-01,20260901-014157-7c7e8ccc,PRJ-20260901-0039,Entitlement / Permitting - Los Angeles / California - Affordable housing topped off at 8911 Ramsgate Ave. in Westchester,Unknown,Los Angeles / California,Affordable Housing,Unknown,2026-09-01,2026-09-01,1,1,,Unknown Stage,100,34,1,0,0,0,0,Newly Detected,Low Stall Risk,55,Strategic Asset Watch,Monitor for repeated project updates
2026-09-01,20260901-014157-7c7e8ccc,PRJ-20260901-0107,Acquisition - New York City / New York - Manhattan Condo Site Changes Hands for $34M,Unknown,Manhattan,Apartment,Unknown,2026-09-01,2026-09-01,3,3,Site Acquisition / Site Control,Site Acquisition / Site Control,71,26,0,0,0,0,0,Newly Detected,Low Stall Risk,55,Strategic Asset Watch,Monitor for repeated project updates
2026-09-01,20260901-014157-7c7e8ccc,PRJ-20260901-0036,Priority Capital Advisory Arranges $13.6M Bridge Loan for Refinancing of Los Angeles Multifamily Property,Los Angeles / California,Unknown,Student Housing,Priority Capital Advisory,2026-09-01,2026-09-01,2,2,,Unknown Stage,70,26,0,0,2,0,0,Newly Detected,Low Stall Risk,55,Strategic Asset Watch,Monitor for repeated project updates
2026-09-01,20260901-014157-7c7e8ccc,PRJ-20260901-0071,Refinancing - Dallas / Texas - Affinius Capital Provides Loan for Refinancing of 594-Unit Apartment Community in Fort Wor...,Dallas / Texas,Unknown,Apartment,Greystar,2026-09-01,2026-09-01,6,4,,Unknown Stage,0,0,0,0,6,1,3,Newly Detected,Unknown,55,Strategic Asset Watch,Monitor for repeated project updates
2026-09-01,20260901-014157-7c7e8ccc,PRJ-20260901-0094,Refinancing - Los Angeles / California - Priority Capital Advisory Arranges $13.6M Bridge Loan for Refinancing of Los Angeles Multi...,Los Angeles / California,Unknown,Student Housing,Unknown,2026-09-01,2026-09-01,19,5,,Unknown Stage,0,0,19,0,3,1,0,Newly Detected,Unknown,55,Strategic Asset Watch,Monitor for repeated project updates
2026-09-01,20260901-014157-7c7e8ccc,PRJ-20260901-0069,"Office-to-Residential Conversion - Connecticut - Condyne Capital Receives Approval for Office-to-Residential Conversion Project in Windsor,...",Unknown,Connecticut,Office-to-Residential Conversion,Unknown,2026-09-01,2026-09-01,3,3,Unknown Stage,Unknown Stage,58,41,0,0,0,0,0,Newly Detected,Low Stall Risk,54,General Asset Monitoring,Monitor for repeated project updates
2026-09-01,20260901-014157-7c7e8ccc,PRJ-20260901-0020,Cortland Offloads 812 West Palm Beach Apartment Units for $208M,Miami / Florida,Unknown,Apartment,Fairfield Residential,2026-09-01,2026-09-01,2,2,,Unknown Stage,74,12,0,0,0,0,0,Newly Detected,Unknown,54,General Asset Monitoring,Monitor for repeated project updates
2026-09-01,20260901-014157-7c7e8ccc,PRJ-20260901-0005,Development Start - Los Angeles / California - Affordable housing starts to rise at 216 S. Avenue 24 in Lincoln Heights,Unknown,Los Angeles / California,Affordable Housing,Unknown,2026-09-01,2026-09-01,1,1,,Unknown Stage,94,34,0,0,0,0,0,Newly Detected,Low Stall Risk,53,General Asset Monitoring,Monitor for repeated project updates
2026-09-01,20260901-014157-7c7e8ccc,PRJ-20260901-0074,Disposition / Exit - West Palm Beach / Florida - Fairfield acquires West Palm Beach property,Unknown,Florida,Apartment,Unknown,2026-09-01,2026-09-01,3,3,Unknown Stage,Unknown Stage,61,34,0,0,0,0,0,Newly Detected,Low Stall Risk,53,General Asset Monitoring,Monitor for repeated project updates
2026-09-01,20260901-014157-7c7e8ccc,PRJ-20260901-0032,Entitlement / Permitting - Los Angeles / California - Affordable housing complex underway at 708 S. Gramercy Dr. in Koreatown,Unknown,Los Angeles / California,Affordable Housing,Unknown,2026-09-01,2026-09-01,1,1,,Unknown Stage,94,34,1,0,0,0,0,Newly Detected,Low Stall Risk,53,General Asset Monitoring,Monitor for repeated project updates
2026-09-01,20260901-014157-7c7e8ccc,PRJ-20260901-0014,Entitlement / Permitting - Los Angeles / California - Rendering vs. Reality: Mixed-use complex at 3900 S. Figueroa St. in Expo Park,California,Georgia,Student Housing,Unknown,2026-09-01,2026-09-01,1,1,,Unknown Stage,89,34,1,0,0,0,0,Newly Detected,Low Stall Risk,52,General Asset Monitoring,Monitor for repeated project updates
2026-09-01,20260901-014157-7c7e8ccc,PRJ-20260901-0167,Refinancing - Other / Unknown - Knighthead Funding Provides $32M Loan for Refinancing of Metro Chicago Apartment Community,Unknown,Unknown,Apartment,JLL,2026-09-01,2026-09-01,4,2,Refinancing / Recapitalization; Refinancing / Recapitalization,Refinancing / Recapitalization,51,29,0,0,4,0,0,Newly Detected,Low Stall Risk,52,General Asset Monitoring,Monitor for repeated project updates
2026-09-01,20260901-014157-7c7e8ccc,PRJ-20260901-0092,Priority Capital Advisory Arranges $13.6M Bridge Loan for Refinancing of Los Angeles Multifamily Property,Los Angeles / California,Unknown,Student Housing,Priority Capital Advisory,2026-09-01,2026-09-01,2,2,Refinancing / Recapitalization,Refinancing / Recapitalization,58,28,0,0,2,0,0,Newly Detected,Low Stall Risk,52,General Asset Monitoring,Monitor for repeated project updates
2026-09-01,20260901-014157-7c7e8ccc,PRJ-20260901-0149,"Disposition / Exit - San Francisco / California - Renderings Revealed For 3300 Geary Boulevard, San Francisco",San Francisco / California,Unknown,Apartment,Unknown,2026-09-01,2026-09-01,3,3,Unknown Stage,Unknown Stage,32,14,0,0,0,0,0,Newly Detected,Unknown,52,General Asset Monitoring,Monitor for repeated project updates
2026-09-01,20260901-014157-7c7e8ccc,PRJ-20260901-0064,"Development Start - California - Waterford Property Co. Breaks Ground on Affordable Housing Project in Milpitas, California",Other / Unknown,Los Angeles,Affordable Housing,Unknown,2026-09-01,2026-09-01,15,3,,Unknown Stage,0,0,15,15,0,0,0,Newly Detected,Unknown,52,General Asset Monitoring,Monitor for repeated project updates
2026-09-01,20260901-014157-7c7e8ccc,PRJ-20260901-0043,Disposition / Exit - Atlanta / Georgia - Cortland Sells West Palm Apartments For $208M: The South Florida Deal Sheet,Atlanta / Georgia,Unknown,Apartment,Fairfield Residential,2026-09-01,2026-09-01,10,3,,Unknown Stage,0,0,0,0,0,0,6,Newly Detected,Unknown,52,General Asset Monitoring,Monitor for repeated project updates
2026-09-01,20260901-014157-7c7e8ccc,PRJ-20260901-0072,Disposition / Exit - Dallas / Texas - Institutional Property Advisors Closes 456-Unit Multifamily Asset Sale in Suburban Dallas-...,Dallas / Texas,Unknown,Multifamily,IPA,2026-09-01,2026-09-01,5,3,,Unknown Stage,0,0,0,0,0,0,3,Newly Detected,Unknown,52,General Asset Monitoring,Monitor for repeated project updates
2026-09-01,20260901-014157-7c7e8ccc,PRJ-20260901-0085,Disposition / Exit - Los Angeles / California - Torrance Apartments Trade for $350K/Unit,Los Angeles / California,Unknown,Apartment,CBRE,2026-09-01,2026-09-01,6,3,,Unknown Stage,0,0,0,0,0,0,4,Newly Detected,Unknown,52,General Asset Monitoring,Monitor for repeated project updates
2026-09-01,20260901-014157-7c7e8ccc,PRJ-20260901-0146,Disposition / Exit - Riverside / California - CBRE Brokers Sale of Vintage Redlands Apartments,Riverside / California,Unknown,Apartment,CBRE,2026-09-01,2026-09-01,6,3,,Unknown Stage,0,0,0,0,0,0,4,Newly Detected,Unknown,52,General Asset Monitoring,Monitor for repeated project updates
2026-09-01,20260901-014157-7c7e8ccc,PRJ-20260901-0083,Affordable housing complex underway at 708 S. Gramercy Dr. in Koreatown,Los Angeles / California,Koreatown,Affordable Housing,Unknown,2026-09-01,2026-09-01,2,2,Unknown Stage,Unknown Stage,47,31,0,0,0,0,0,Unknown,Low Stall Risk,49,General Asset Monitoring,Monitor for repeated project updates
2026-09-01,20260901-014157-7c7e8ccc,PRJ-20260901-0084,Affordable housing starts to rise at 216 S. Avenue 24 in Lincoln Heights,Los Angeles / California,Lincoln Heights,Affordable Housing,Unknown,2026-09-01,2026-09-01,2,2,Unknown Stage,Unknown Stage,47,31,0,0,0,0,0,Unknown,Low Stall Risk,49,General Asset Monitoring,Monitor for repeated project updates
2026-09-01,20260901-014157-7c7e8ccc,PRJ-20260901-0037,Affordable housing topped off at 8911 Ramsgate Ave. in Westchester,Los Angeles / California,Los Angeles,Affordable Housing,Unknown,2026-09-01,2026-09-01,1,1,,Unknown Stage,85,26,0,0,0,0,0,Newly Detected,Low Stall Risk,49,General Asset Monitoring,Monitor for repeated project updates
