run_date,run_id,watchlist_id,canonical_project_id,canonical_project_name,market,submarket,gp_or_developer,residential_sector,latest_lifecycle_stage,opportunity_score,risk_score,overall_signal_quality_score,institutional_confidence_label,supporting_source_count,recurring_observation_count,strategic_theme,woomi_relevance,recommended_executive_action,supporting_evidence_summary
2026-09-04,20260904-004955-4e2acade,HCW-20260904-011,PRJ-20260904-0154,Disposition / Exit - Seattle - Fourth Avenue Capital Acquires 87-Unit Apartments in Bend,Seattle,Seattle,CBRE,Apartment,Unknown Stage,88,26,89,Strong Institutional Signal,7,11,Institutional capital movement,Priority Asset Watch,Review immediately,"7 source file(s), 11 observation(s), latest stage Unknown Stage, identity confidence 100"
2026-09-04,20260904-004955-4e2acade,HCW-20260904-012,PRJ-20260904-0174,General Project Signal - Virginia - Walker & Dunlop Arranges $142M HUD Financing for Two Virginia Multifamily Construction Pro...,Unknown,Virginia,Walker & Dunlop,Apartment,Unknown Stage,87,26,89,Strong Institutional Signal,7,9,Construction start pipeline,Priority Asset Watch,Review immediately,"7 source file(s), 9 observation(s), latest stage Unknown Stage, identity confidence 100"
2026-09-04,20260904-004955-4e2acade,HCW-20260904-013,PRJ-20260904-0122,General Project Signal - New York - Merchants Capital Secures $138M+for 296-Unit Multifamily Mixed-Use Development in White Pl...,New York,New York,Merchants Capital,Mixed-Use Residential,Unknown Stage,86,20,89,Strong Institutional Signal,8,9,Institutional capital movement,Strategic Asset Watch,Review immediately,"8 source file(s), 9 observation(s), latest stage Unknown Stage, identity confidence 100"
2026-09-04,20260904-004955-4e2acade,HCW-20260904-014,PRJ-20260904-0055,JV / Partnership - California - Newmark Arranges Fannie Mae Loan on San Clemente Active-Adult Complex,California,California,Fannie Mae,Apartment,Unknown Stage,48,29,89,Strong Institutional Signal,9,11,Refinancing opportunity,Strategic Asset Watch,Review immediately,"9 source file(s), 11 observation(s), latest stage Unknown Stage, identity confidence 100"
2026-09-04,20260904-004955-4e2acade,HCW-20260904-015,PRJ-20260904-0160,Disposition / Exit - California - Apartment cap rates inched up to 5.6% in July: MSCI,California,Southern California,Camden Property Trust,Apartment,Unknown Stage,100,32,88,Strong Institutional Signal,6,6,LA urban infill opportunity,Priority Asset Watch,Review immediately,"6 source file(s), 6 observation(s), latest stage Unknown Stage, identity confidence 100"
2026-09-04,20260904-004955-4e2acade,HCW-20260904-017,PRJ-20260904-0065,General Project Signal - Dallas / Texas - IPA Capital Markets Arranges $40.3M Financing for 312-Unit Multifamily Apartment Community...,Unknown,Dallas,IPA,Apartment,Unknown Stage,95,26,88,Strong Institutional Signal,5,5,Institutional capital movement,Priority Asset Watch,Review immediately,"5 source file(s), 5 observation(s), latest stage Unknown Stage, identity confidence 100"
2026-09-04,20260904-004955-4e2acade,HCW-20260904-018,PRJ-20260904-0042,"General Project Signal - Atlanta / Georgia - Kennedy Wilson, Shimizu Corp. partner on $139M multifamily build in Georgia",Unknown,Atlanta,Kennedy Wilson,Apartment,Unknown Stage,93,23,88,Strong Institutional Signal,5,5,LA urban infill opportunity,Priority Asset Watch,Review immediately,"5 source file(s), 5 observation(s), latest stage Unknown Stage, identity confidence 100"
2026-09-04,20260904-004955-4e2acade,HCW-20260904-016,PRJ-20260904-0118,Construction Financing - New York City / New York - Merchants Capital Provides $138.5M in Financing for White Plains Multifamily Project,Unknown,New York City,Merchants Capital,Multifamily,Unknown Stage,91,43,88,Strong Institutional Signal,5,5,Construction start pipeline,Priority Asset Watch,Review immediately,"5 source file(s), 5 observation(s), latest stage Unknown Stage, identity confidence 100"
2026-09-04,20260904-004955-4e2acade,HCW-20260904-020,PRJ-20260904-0113,General Project Signal - National - JLL Secures $76.3M in Financing for Luxury Apartment Development in West St. Paul,Unknown,Unknown,JLL,Apartment,Unknown Stage,88,26,88,Strong Institutional Signal,5,6,Institutional capital movement,Priority Asset Watch,Review immediately,"5 source file(s), 6 observation(s), latest stage Unknown Stage, identity confidence 100"
2026-09-04,20260904-004955-4e2acade,HCW-20260904-019,PRJ-20260904-0100,Entitlement / Permitting - Los Angeles / California - L.A. County approves up to $20M for affordable housing in Claremont,Los Angeles / California,Los Angeles,Unknown,Affordable Housing,Vertical Construction,66,38,88,Strong Institutional Signal,4,12,Entitlement progression,Priority Asset Watch,Review immediately,"4 source file(s), 12 observation(s), latest stage Vertical Construction, identity confidence 80"
2026-09-04,20260904-004955-4e2acade,HCW-20260904-022,PRJ-20260904-0145,Acquisition - Riverside / California - What multifamily firms bought and sold this summer,Unknown,Riverside,Scion Group,Apartment,Unknown Stage,85,24,85,Strong Institutional Signal,5,5,Institutional capital movement,Priority Asset Watch,Review immediately,"5 source file(s), 5 observation(s), latest stage Unknown Stage, identity confidence 100"
2026-09-04,20260904-004955-4e2acade,HCW-20260904-021,PRJ-20260904-0061,JV / Partnership - California - MBK Rental Living Sells Luxury Apartment Community In Central Orange,California,California,Unknown,Apartment,Unknown Stage,81,38,85,Strong Institutional Signal,6,14,Institutional capital movement,Priority Asset Watch,Review immediately,"6 source file(s), 14 observation(s), latest stage Unknown Stage, identity confidence 80"
2026-09-04,20260904-004955-4e2acade,HCW-20260904-023,PRJ-20260904-0164,Refinancing - Tampa / Florida - Newmark Arranges $215.8M Refinancing for Waypoint Multifamily Portfolio in Florida,Unknown,Tampa,Benefit Street Partners,Multifamily,Refinancing / Recapitalization,79,44,85,Strong Institutional Signal,4,4,Refinancing opportunity,Strategic Asset Watch,Review immediately,"4 source file(s), 4 observation(s), latest stage Refinancing / Recapitalization, identity confidence 100"
2026-09-04,20260904-004955-4e2acade,HCW-20260904-024,PRJ-20260904-0126,Construction Financing - Other / Unknown - Affinius Capital Lends $310M for Jersey City Multifamily Tower Build,Unknown,Unknown,Affinius Capital,Apartment,Unknown Stage,85,47,84,Institutional Watch,6,6,Construction start pipeline,Priority Asset Watch,Monitor construction execution,"6 source file(s), 6 observation(s), latest stage Unknown Stage, identity confidence 100"
2026-09-04,20260904-004955-4e2acade,HCW-20260904-025,PRJ-20260904-0135,Construction Financing - Other / Unknown - Walker & Dunlop Arranges $390M Construction Financing for Jersey City Multifamily Developm...,Unknown,Unknown,Walker & Dunlop,Mixed-Use Residential,Unknown Stage,81,43,84,Institutional Watch,6,7,Construction start pipeline,Priority Asset Watch,Monitor construction execution,"6 source file(s), 7 observation(s), latest stage Unknown Stage, identity confidence 100"
2026-09-04,20260904-004955-4e2acade,HCW-20260904-027,PRJ-20260904-0140,"Acquisition - Phoenix / Arizona - Evergreen Building Mesa Apartments, Retail",Unknown,Phoenix,Brookfield,Mixed-Use Residential,Unknown Stage,88,26,83,Institutional Watch,4,4,Institutional capital movement,Strategic Asset Watch,Monitor sponsor relationship,"4 source file(s), 4 observation(s), latest stage Unknown Stage, identity confidence 100"
2026-09-04,20260904-004955-4e2acade,HCW-20260904-026,PRJ-20260904-0043,Office-to-Residential Conversion - Atlanta / Georgia - JLB Pursuing Buckhead Office-to-Apartments Conversion,Atlanta / Georgia,Atlanta,Unknown,Apartment,Site Acquisition / Site Control,42,29,83,Institutional Watch,4,11,LA urban infill opportunity,Strategic Asset Watch,Maintain on strategic radar,"4 source file(s), 11 observation(s), latest stage Site Acquisition / Site Control, identity confidence 80"
2026-09-04,20260904-004955-4e2acade,HCW-20260904-028,PRJ-20260904-0159,Construction Financing - Miami / Florida - Shoma Group Obtains $172.5M C-PACE Loan for North Bay Village Development,Unknown,South Florida,Unknown,Mixed-Use Residential,Delivery / Opening,83,52,82,Institutional Watch,3,12,Refinancing opportunity,Priority Asset Watch,Watch refinancing timing,"3 source file(s), 12 observation(s), latest stage Delivery / Opening, identity confidence 80"
2026-09-04,20260904-004955-4e2acade,HCW-20260904-032,PRJ-20260904-0141,General Project Signal - Phoenix / Arizona - JPI Adding 397 Apartments to City North Development,Unknown,Phoenix,JPI,Mixed-Use Residential,Unknown Stage,75,30,82,Institutional Watch,4,4,Institutional capital movement,Strategic Asset Watch,Monitor sponsor relationship,"4 source file(s), 4 observation(s), latest stage Unknown Stage, identity confidence 100"
2026-09-04,20260904-004955-4e2acade,HCW-20260904-031,PRJ-20260904-0063,Refinancing - Sun Belt - Dwight Investment Management Supplies $115M Refi on Charlotte Apartments,Sun Belt,Charlotte,Unknown,Mixed-Use Residential,Delivery / Opening,72,47,82,Institutional Watch,4,4,Refinancing opportunity,Strategic Asset Watch,Watch refinancing timing,"4 source file(s), 4 observation(s), latest stage Delivery / Opening, identity confidence 80"
2026-09-04,20260904-004955-4e2acade,HCW-20260904-029,PRJ-20260904-0124,"Acquisition - New York - Adirondack Capital Partners Arranges $10.1M Sale of Office Complex in Albany, New York",New York,New York,Unknown,Apartment,Unknown Stage,66,30,82,Institutional Watch,6,6,Institutional capital movement,Strategic Asset Watch,Maintain on strategic radar,"6 source file(s), 6 observation(s), latest stage Unknown Stage, identity confidence 80"
2026-09-04,20260904-004955-4e2acade,HCW-20260904-030,PRJ-20260904-0169,"General Project Signal - Texas - Trammell Crow Building Grapevine Apartments, Hotel",Texas,Texas,Unknown,Apartment,Unknown Stage,63,32,82,Institutional Watch,6,6,Institutional capital movement,Strategic Asset Watch,Maintain on strategic radar,"6 source file(s), 6 observation(s), latest stage Unknown Stage, identity confidence 80"
2026-09-04,20260904-004955-4e2acade,HCW-20260904-033,PRJ-20260904-0045,Office-to-Residential Conversion - Atlanta / Georgia - JLB Pursuing Buckhead Office-to-Apartments Conversion,Unknown,Atlanta,Unknown,Apartment,Unknown Stage,82,33,79,Institutional Watch,3,18,LA urban infill opportunity,Priority Asset Watch,Maintain on strategic radar,"3 source file(s), 18 observation(s), latest stage Unknown Stage, identity confidence 80"
2026-09-04,20260904-004955-4e2acade,HCW-20260904-034,PRJ-20260904-0117,Construction Financing - New York City / New York - Merchants Capital Provides $138.5M in Financing for White Plains Multifamily Project,New York City / New York,Unknown,Merchants Capital,Multifamily,Unknown Stage,0,0,78,Institutional Watch,4,6,Construction start pipeline,Strategic Asset Watch,Monitor construction execution,"4 source file(s), 6 observation(s), latest stage Unknown Stage, identity confidence 100"
2026-09-04,20260904-004955-4e2acade,HCW-20260904-035,PRJ-20260904-0114,"Entitlement / Permitting - National - Permits Filed For 5035 International Boulevard in Melrose, Oakland",National,Unknown,Unknown,Apartment,Site Acquisition / Site Control,48,36,77,Institutional Watch,6,6,Entitlement progression,Priority Asset Watch,Track entitlement progression,"6 source file(s), 6 observation(s), latest stage Site Acquisition / Site Control, identity confidence 80"
2026-09-04,20260904-004955-4e2acade,HCW-20260904-036,PRJ-20260904-0103,"Construction Financing - Miami / Florida - Gatsby Florida Inks $118.6M Construction Loan for Palm Beach Gardens Offices, Retail",Miami / Florida,Unknown,Berkadia,General Residential,Unknown Stage,0,0,76,Institutional Watch,4,7,Refinancing opportunity,General Asset Monitoring,Watch refinancing timing,"4 source file(s), 7 observation(s), latest stage Unknown Stage, identity confidence 100"
2026-09-04,20260904-004955-4e2acade,HCW-20260904-037,PRJ-20260904-0163,Refinancing - Tampa / Florida - Newmark Arranges $215.8M Refinancing for Waypoint Multifamily Portfolio in Florida,Tampa / Florida,Unknown,Benefit Street Partners,Multifamily,Unknown Stage,0,0,76,Institutional Watch,4,6,Refinancing opportunity,General Asset Monitoring,Watch refinancing timing,"4 source file(s), 6 observation(s), latest stage Unknown Stage, identity confidence 100"
2026-09-04,20260904-004955-4e2acade,HCW-20260904-038,PRJ-20260904-0099,Entitlement / Permitting - Los Angeles / California - L.A. County approves up to $20M for affordable housing in Claremont,California,Los Angeles,Unknown,Affordable Housing,Unknown Stage,85,34,75,Institutional Watch,3,6,Entitlement progression,Priority Asset Watch,Track entitlement progression,"3 source file(s), 6 observation(s), latest stage Unknown Stage, identity confidence 80"
2026-09-04,20260904-004955-4e2acade,HCW-20260904-039,PRJ-20260904-0049,"Acquisition - Austin / Texas - Newmark Arranges Sale of 1,027-Unit Multifamily Portfolio in North Austin",Austin / Texas,Austin,Unknown,Mixed-Use Residential,Unknown Stage,37,30,75,Institutional Watch,4,4,Institutional capital movement,Strategic Asset Watch,Maintain on strategic radar,"4 source file(s), 4 observation(s), latest stage Unknown Stage, identity confidence 80"
2026-09-04,20260904-004955-4e2acade,HCW-20260904-040,PRJ-20260904-0143,Acquisition - Riverside / California - What multifamily firms bought and sold this summer,Riverside / California,Unknown,Scion Group,Apartment,Unknown Stage,0,0,74,Institutional Watch,3,6,LA urban infill opportunity,General Asset Monitoring,Monitor sponsor relationship,"3 source file(s), 6 observation(s), latest stage Unknown Stage, identity confidence 100"
2026-09-04,20260904-004955-4e2acade,HCW-20260904-041,PRJ-20260904-0052,Disposition / Exit - California - Apartment cap rates inched up to 5.6% in July: MSCI,California,Unknown,Camden Property Trust,Apartment,Unknown Stage,0,0,74,Institutional Watch,3,6,LA urban infill opportunity,General Asset Monitoring,Monitor sponsor relationship,"3 source file(s), 6 observation(s), latest stage Unknown Stage, identity confidence 100"
2026-09-04,20260904-004955-4e2acade,HCW-20260904-042,PRJ-20260904-0039,"General Project Signal - Atlanta / Georgia - Kennedy Wilson, Shimizu Corp. partner on $139M multifamily build in Georgia",Atlanta / Georgia,Unknown,Kennedy Wilson,Apartment,Unknown Stage,0,0,74,Institutional Watch,3,6,LA urban infill opportunity,General Asset Monitoring,Monitor sponsor relationship,"3 source file(s), 6 observation(s), latest stage Unknown Stage, identity confidence 100"
2026-09-04,20260904-004955-4e2acade,HCW-20260904-043,PRJ-20260904-0051,JV / Partnership - California - 200 apartments fully framed at 3863 Carson Street in Torrance,California,Bay Area,Unknown,Senior Housing,Vertical Construction,74,13,73,Institutional Watch,3,3,Construction start pipeline,Strategic Asset Watch,Monitor construction execution,"3 source file(s), 3 observation(s), latest stage Vertical Construction, identity confidence 80"
2026-09-04,20260904-004955-4e2acade,HCW-20260904-044,PRJ-20260904-0074,Office-to-Residential Conversion - Houston / Texas - Southeastern Tops Out 330-Unit Multifamily Redevelopment Project in Houston,Unknown,Georgia,Unknown,Apartment,Unknown Stage,67,43,72,Institutional Watch,3,6,Institutional capital movement,Strategic Asset Watch,Maintain on strategic radar,"3 source file(s), 6 observation(s), latest stage Unknown Stage, identity confidence 80"
2026-09-04,20260904-004955-4e2acade,HCW-20260904-046,PRJ-20260904-0138,"Acquisition - Phoenix / Arizona - Evergreen Building Mesa Apartments, Retail",Phoenix / Arizona,Unknown,Brookfield,Mixed-Use Residential,Unknown Stage,0,0,72,Institutional Watch,3,6,Institutional capital movement,General Asset Monitoring,Monitor sponsor relationship,"3 source file(s), 6 observation(s), latest stage Unknown Stage, identity confidence 100"
2026-09-04,20260904-004955-4e2acade,HCW-20260904-045,PRJ-20260904-0064,General Project Signal - Dallas / Texas - IPA Capital Markets Arranges $40.3M Financing for 312-Unit Multifamily Apartment Community...,Dallas / Texas,Unknown,IPA,Apartment,Unknown Stage,0,0,72,Institutional Watch,3,5,Institutional capital movement,General Asset Monitoring,Monitor sponsor relationship,"3 source file(s), 5 observation(s), latest stage Unknown Stage, identity confidence 100"
2026-09-04,20260904-004955-4e2acade,HCW-20260904-047,PRJ-20260904-0101,Entitlement / Permitting - Los Angeles / California - Construction begins for mixed-use project at 11905 Wilshire Blvd. in Brentwood,Other / Unknown,Los Angeles,Unknown,Affordable Housing,Unknown Stage,0,0,71,Institutional Watch,3,30,Entitlement progression,General Asset Monitoring,Track entitlement progression,"3 source file(s), 30 observation(s), latest stage Unknown Stage, identity confidence 80"
2026-09-04,20260904-004955-4e2acade,HCW-20260904-049,PRJ-20260904-0096,200 apartments fully framed at 3863 Carson Street in Torrance,California,Los Angeles,Legacy Partners,Senior Housing,Vertical Construction,66,11,70,Institutional Watch,3,3,Construction start pipeline,Strategic Asset Watch,Monitor construction execution,"3 source file(s), 3 observation(s), latest stage Vertical Construction, identity confidence 100"
2026-09-04,20260904-004955-4e2acade,HCW-20260904-048,PRJ-20260904-0150,Entitlement / Permitting - San Francisco / California - Meeting Scheduled for New Apartments at 2051 Market Street in San Francisco,San Francisco / California,Unknown,Unknown,Apartment,Entitlement Under Review,47,38,70,Institutional Watch,4,4,Entitlement progression,Strategic Asset Watch,Track entitlement progression,"4 source file(s), 4 observation(s), latest stage Entitlement Under Review, identity confidence 80"
2026-09-04,20260904-004955-4e2acade,HCW-20260904-050,PRJ-20260904-0139,General Project Signal - Phoenix / Arizona - JPI Adding 397 Apartments to City North Development,Phoenix / Arizona,Unknown,JPI,Mixed-Use Residential,Unknown Stage,0,0,70,Institutional Watch,3,5,Institutional capital movement,General Asset Monitoring,Monitor sponsor relationship,"3 source file(s), 5 observation(s), latest stage Unknown Stage, identity confidence 100"
