run_date,run_id,la_transition_watch_id,project_or_asset_name,la_submarket,gp_or_developer,residential_sector,previous_stage,current_stage,transition_type,progression_score,stall_risk_score,execution_momentum_label,la_entry_timing_signal,potential_woomi_site_strategy,recommended_local_follow_up,evidence_article_title,url,confidence_level
2026-05-19,20260519-101015-3b20d522,LAT-20260519-018,"Entitlement / Permitting - California - Formal Application Filed For Outer Richmond Safeway Redevelopment, San Francisco",California,Unknown,Affordable Housing,Planning Filed,Planning Filed,Same Stage Persistence,47,38,Stable,Early entitlement watch,Track entitlement path and local precedent,Monitor for another run to confirm lifecycle direction,"Formal Application Filed For Outer Richmond Safeway Redevelopment, San Francisco",https://sfyimby.com/2026/05/formal-application-filed-for-outer-richmond-safeway-redevelopment-san-francisco.html,Low
2026-05-19,20260519-101015-3b20d522,LAT-20260519-019,"Formal Application Filed For Outer Richmond Safeway Redevelopment, San Francisco",Los Angeles,Unknown,Affordable Housing,Planning Filed,Planning Filed,Same Stage Persistence,47,38,Stable,Early entitlement watch,Track entitlement path and local precedent,Monitor for another run to confirm lifecycle direction,"Formal Application Filed For Outer Richmond Safeway Redevelopment, San Francisco",https://sfyimby.com/2026/05/formal-application-filed-for-outer-richmond-safeway-redevelopment-san-francisco.html,Low
2026-05-19,20260519-101015-3b20d522,LAT-20260519-020,"General Project Signal - Los Angeles - Taylor Yard wetland takes shape, General Hospital update, and more",Los Angeles,Unknown,Mixed-Use Residential,Site Acquisition / Site Control,Site Acquisition / Site Control,Same Stage Persistence,47,38,Stable,Monitor only,Monitor only,Monitor for another run to confirm lifecycle direction,"Taylor Yard wetland takes shape, General Hospital update, and more",https://la.urbanize.city/post/taylor-yard-wetland-takes-shape-general-hospital-update-and-more,Low
2026-05-19,20260519-101015-3b20d522,LAT-20260519-021,General Project Signal - Los Angeles - Soaring above the 17-acre One Beverly Hills site,Los Angeles,Unknown,General Residential,Site Acquisition / Site Control,Site Acquisition / Site Control,Same Stage Persistence,47,37,Stable,Monitor only,Monitor only,Monitor for another run to confirm lifecycle direction,Soaring above the 17-acre One Beverly Hills site,https://la.urbanize.city/post/soaring-above-17-acre-one-beverly-hills-site,Low
2026-05-19,20260519-101015-3b20d522,LAT-20260519-022,"Office-to-Residential Conversion - Sun Belt - JLL Inks 70,000 SF of New Leases at Westside Paper Adaptive Reuse Development in Atlanta",Los Angeles,Unknown,Office-to-Residential Conversion,Unknown Stage,Unknown Stage,Unknown Transition,47,36,Unknown,Monitor only,Monitor only,Monitor for another run to confirm lifecycle direction,"JLL Inks 70,000 SF of New Leases at Westside Paper Adaptive Reuse Development in Atlanta",https://rebusinessonline.com/jll-inks-70000-sf-of-new-leases-at-westside-paper-adaptive-reuse-development-in-atlanta/,Low
2026-05-19,20260519-101015-3b20d522,LAT-20260519-023,Office-to-Residential Conversion - California - Silicon Valley Initiative Partnership Receives $74.1M in Financing for Office-to-Residenti...,California,Unknown,Office-to-Residential Conversion,Unknown Stage,Unknown Stage,Unknown Transition,47,33,Unknown,Monitor only,Monitor only,Monitor for another run to confirm lifecycle direction,Silicon Valley Initiative Partnership Receives $74.1M in Financing for Office-to-Residential Conversion Project in San Jose,https://rebusinessonline.com/silicon-valley-initiative-partnership-receives-74-1m-in-financing-for-office-to-residential-conversion-project-in-san-jose/,Low
2026-05-19,20260519-101015-3b20d522,LAT-20260519-024,General Project Signal - Los Angeles - New proposal emerges for affordable housing at 1316 Linwood Ave. in Westlake,Los Angeles,Unknown,Affordable Housing,Unknown Stage,Unknown Stage,Unknown Transition,47,32,Unknown,Monitor only,Monitor only,Monitor for another run to confirm lifecycle direction,New proposal emerges for affordable housing at 1316 Linwood Ave. in Westlake,https://la.urbanize.city/post/new-proposal-emerges-affordable-housing-1316-linwood-ave-westlake,Low
2026-05-19,20260519-101015-3b20d522,LAT-20260519-025,Disposition / Exit - Los Angeles - Walker & Dunlop Offer High-Profile Ground-Up Mixed-Use Development Opportunity Adjacent to...,Los Angeles,Unknown,Mixed-Use Residential,Unknown Stage,Unknown Stage,Unknown Transition,46,32,Unknown,Monitor only,Monitor only,Monitor for another run to confirm lifecycle direction,Walker & Dunlop Offer High-Profile Ground-Up Mixed-Use Development Opportunity Adjacent to USC Los Angeles,https://yieldpro.com/2026/05/university-gardens-2/,Low
2026-05-19,20260519-101015-3b20d522,LAT-20260519-026,"Entitlement / Permitting - California - Demolition Permits Filed For 772 Pacific Avenue in Chinatown, San Francisco",California,Unknown,Affordable Housing,Unknown Stage,Unknown Stage,Unknown Transition,46,32,Unknown,Monitor only,Monitor only,Monitor for another run to confirm lifecycle direction,"Demolition Permits Filed For 772 Pacific Avenue in Chinatown, San Francisco",https://sfyimby.com/2026/05/demolition-permits-filed-for-772-pacific-avenue-in-chinatown-san-francisco.html,Low
2026-05-19,20260519-101015-3b20d522,LAT-20260519-027,New proposal emerges for affordable housing at 1316 Linwood Ave. in Westlake,Los Angeles,Unknown,Affordable Housing,Unknown Stage,Unknown Stage,Unknown Transition,46,32,Unknown,Monitor only,Monitor only,Monitor for another run to confirm lifecycle direction,New proposal emerges for affordable housing at 1316 Linwood Ave. in Westlake,https://la.urbanize.city/post/new-proposal-emerges-affordable-housing-1316-linwood-ave-westlake,Low
2026-05-19,20260519-101015-3b20d522,LAT-20260519-028,Construction Financing - Other / Unknown - Cypress Equity Investments gets $170M loan for two Santa Monica projects,Santa Monica,Unknown,Affordable Housing,Unknown Stage,Unknown Stage,Unknown Transition,45,35,Unknown,Monitor only,Monitor only,Monitor for another run to confirm lifecycle direction,Cypress Equity Investments gets $170M loan for two Santa Monica projects,https://la.urbanize.city/post/cypress-equity-investments-gets-170m-loan-two-santa-monica-projects,Low
2026-05-19,20260519-101015-3b20d522,LAT-20260519-029,Site prep underway for affordable housing at 4301 S. Vermont Ave.,Los Angeles,Unknown,Affordable Housing,Site Acquisition / Site Control,Site Acquisition / Site Control,Same Stage Persistence,40,38,Stable,Monitor only,Monitor only,Monitor for another run to confirm lifecycle direction,Site prep underway for affordable housing at 4301 S. Vermont Ave.,https://la.urbanize.city/post/site-prep-underway-affordable-housing-4301-s-vermont-ave,Low
2026-05-19,20260519-101015-3b20d522,LAT-20260519-030,"11North Acquires 285,497 SF Grocery-Anchored Retail Center in Altamonte Springs, Florida",Los Angeles,Unknown,General Residential,Site Acquisition / Site Control,Site Acquisition / Site Control,Same Stage Persistence,38,37,Stable,Monitor only,Monitor only,Monitor for another run to confirm lifecycle direction,"11North Acquires 285,497 SF Grocery-Anchored Retail Center in Altamonte Springs, Florida",https://rebusinessonline.com/11north-acquires-285497-sf-grocery-anchored-retail-center-in-altamonte-springs-florida/,Low
2026-05-19,20260519-101015-3b20d522,LAT-20260519-031,"Demolition Permits Filed For 772 Pacific Avenue in Chinatown, San Francisco",California,Unknown,Affordable Housing,Unknown Stage,Unknown Stage,Unknown Transition,38,32,Unknown,Monitor only,Monitor only,Monitor for another run to confirm lifecycle direction,"Demolition Permits Filed For 772 Pacific Avenue in Chinatown, San Francisco",https://sfyimby.com/2026/05/demolition-permits-filed-for-772-pacific-avenue-in-chinatown-san-francisco.html,Low
2026-05-19,20260519-101015-3b20d522,LAT-20260519-032,Silicon Valley Initiative Partnership Receives $74.1M in Financing for Office-to-Residential Conversion Project in San Jose,California,Unknown,Office-to-Residential Conversion,Unknown Stage,Unknown Stage,Unknown Transition,38,32,Unknown,Monitor only,Monitor only,Monitor for another run to confirm lifecycle direction,Silicon Valley Initiative Partnership Receives $74.1M in Financing for Office-to-Residential Conversion Project in San Jose,https://rebusinessonline.com/silicon-valley-initiative-partnership-receives-74-1m-in-financing-for-office-to-residential-conversion-project-in-san-jose/,Low
2026-05-19,20260519-101015-3b20d522,LAT-20260519-033,"Carson aims for hotel, entertainment, and housing in Civic Center revamp",Los Angeles,Unknown,Mixed-Use Residential,Site Acquisition / Site Control,Site Acquisition / Site Control,Same Stage Persistence,37,38,Stable,Monitor only,Monitor only,Monitor for another run to confirm lifecycle direction,"Carson aims for hotel, entertainment, and housing in Civic Center revamp",https://la.urbanize.city/post/carson-aims-hotel-entertainment-and-housing-civic-center-revamp,Low
2026-05-19,20260519-101015-3b20d522,LAT-20260519-034,"Acquisition - Sun Belt - 11North Acquires 285,497 SF Grocery-Anchored Retail Center in Altamonte Springs, Florida",Los Angeles,Unknown,General Residential,Unknown Stage,Unknown Stage,Unknown Transition,37,32,Unknown,Monitor only,Monitor only,Monitor for another run to confirm lifecycle direction,"11North Acquires 285,497 SF Grocery-Anchored Retail Center in Altamonte Springs, Florida",https://rebusinessonline.com/11north-acquires-285497-sf-grocery-anchored-retail-center-in-altamonte-springs-florida/,Low
2026-05-19,20260519-101015-3b20d522,LAT-20260519-035,"Development Start - Sun Belt - Struggling To Find Equity, Developers Pull Back On New Builds",Los Angeles,Unknown,Multifamily,Unknown Stage,Unknown Stage,Unknown Transition,37,32,Unknown,Monitor only,Monitor only,Monitor for another run to confirm lifecycle direction,"Struggling To Find Equity, Developers Pull Back On New Builds",https://www.bisnow.com/national/news/capital-markets/struggling-to-find-equity-developers-pull-back-on-new-builds-134608,Low
2026-05-19,20260519-101015-3b20d522,LAT-20260519-036,High Street Residential and Camden Property Trust Advance Durham North Carolina Apartment Community Toward Construction,Los Angeles,Unknown,Apartment,Unknown Stage,Unknown Stage,Unknown Transition,37,32,Unknown,Monitor only,Monitor only,Monitor for another run to confirm lifecycle direction,High Street Residential and Camden Property Trust Advance Durham North Carolina Apartment Community Toward Construction,https://yieldpro.com/2026/05/hopson-road/,Low
2026-05-19,20260519-101015-3b20d522,LAT-20260519-037,"Struggling To Find Equity, Developers Pull Back On New Builds",Los Angeles,Unknown,Multifamily,Unknown Stage,Unknown Stage,Unknown Transition,37,32,Unknown,Monitor only,Monitor only,Monitor for another run to confirm lifecycle direction,"Struggling To Find Equity, Developers Pull Back On New Builds",https://www.bisnow.com/national/news/capital-markets/struggling-to-find-equity-developers-pull-back-on-new-builds-134608,Low
