run_date,run_id,timing_signal_id,timing_signal_type,market,residential_sector,gp_or_developer,lender_or_capital_provider,related_project_or_deal,timing_reference,estimated_timing_bucket,timing_urgency_score,timing_confidence,evidence_signals,source_article_title,source,url,potential_woomi_action,recommended_monitoring_frequency
2026-05-19,20260519-101015-3b20d522,TIM-20260519-006,Construction Start,California,Affordable Housing,Unknown,Unknown,Development Start - California - California Transforms Oakland’s Fruitvale Community with Cleanup of Polluted Land for Affo...,No explicit timing reference,Unknown Timing,69,Medium,Construction Start,California Transforms Oakland’s Fruitvale Community with Cleanup of Polluted Land for Affordable Housing,Yield PRO,https://yieldpro.com/2026/05/2700-international-boulevard/,"Monitor delivery, lease-up, concession, and supply pipeline timing",Biweekly
2026-05-19,20260519-101015-3b20d522,TIM-20260519-008,Acquisition Window,California,Apartment,Unknown,Unknown,Acquisition - California - WMC Commercial Buys Upland Village Green Multifamily Property in California for $48.5M,No explicit timing reference,Unknown Timing,67,Medium,Acquisition Window,WMC Commercial Buys Upland Village Green Multifamily Property in California for $48.5M,REBusiness Online,https://rebusinessonline.com/wmc-commercial-buys-upland-village-green-multifamily-property-in-california-for-48-5m/,Monitor pricing evidence and possible acquisition outreach timing,Biweekly
2026-05-19,20260519-101015-3b20d522,TIM-20260519-009,Entitlement / Permitting,Other / Unknown,Apartment,Camden Property Trust,Unknown,Entitlement / Permitting - Other / Unknown - High Street Residential and Camden Property Trust Advance Durham North Carolina Apartment...,No explicit timing reference,Unknown Timing,65,Medium,Entitlement / Permitting; permitting,High Street Residential and Camden Property Trust Advance Durham North Carolina Apartment Community Toward Construction,Yield PRO,https://yieldpro.com/2026/05/hopson-road/,"Track entitlement, zoning, permitting, and public-agency milestones",Biweekly
2026-05-19,20260519-101015-3b20d522,TIM-20260519-007,BTR / SFR Expansion Timing,Other / Unknown,BTR / Single-Family Rental,Unknown,cushman,"BTR / Build-to-Rent - Other / Unknown - Cushman & Wakefield Brokers $26.4M Sale of Build-to-Rent Community in Matteson, Illinois",No explicit timing reference,Unknown Timing,63,Medium,BTR / SFR Expansion Timing,"Cushman & Wakefield Brokers $26.4M Sale of Build-to-Rent Community in Matteson, Illinois",REBusiness Online,https://rebusinessonline.com/cushman-wakefield-brokers-26-4m-sale-of-build-to-rent-community-in-matteson-illinois/,Monitor sector-specific platform timing and potential partnership relevance,Monthly
2026-05-19,20260519-101015-3b20d522,TIM-20260519-011,Construction Completion / Delivery,Sun Belt,Multifamily,Unknown,CBRE,Acquisition - Sun Belt - Milburn & Company Acquires Luxury 339-Unit Multifamily Community Ascend at Longbow Highpoi...,No explicit timing reference,Unknown Timing,61,Medium,Construction Completion / Delivery; completed,Milburn & Company Acquires Luxury 339-Unit Multifamily Community Ascend at Longbow Highpoint in Mesa,Yield PRO,https://yieldpro.com/2026/05/ascend-at-longbow/,"Monitor delivery, lease-up, concession, and supply pipeline timing",Monthly
2026-05-19,20260519-101015-3b20d522,TIM-20260519-018,Construction Start,Other / Unknown,Apartment,Unknown,Unknown,Development Start - Other / Unknown - Missing Middle Weakness,No explicit timing reference,Unknown Timing,58,Medium,Construction Start,Missing Middle Weakness,NAHB Eye on Housing - Multifamily,https://eyeonhousing.org/2026/01/missing-middle-weakness/,"Monitor delivery, lease-up, concession, and supply pipeline timing",Monthly
2026-05-19,20260519-101015-3b20d522,TIM-20260519-014,Construction Start,Sun Belt,Multifamily,Unknown,Unknown,"Development Start - Sun Belt - Struggling To Find Equity, Developers Pull Back On New Builds",No explicit timing reference,Unknown Timing,57,Medium,Construction Start,"Struggling To Find Equity, Developers Pull Back On New Builds",Bisnow,https://www.bisnow.com/national/news/capital-markets/struggling-to-find-equity-developers-pull-back-on-new-builds-134608,"Monitor delivery, lease-up, concession, and supply pipeline timing",Monthly
2026-05-19,20260519-101015-3b20d522,TIM-20260519-029,Distress Sale Timing,New York,Multifamily,Hines,JLL,Refinancing - New York - JLL Capital Markets Announced They Arranged a $141.8M Refinancing for Premier Luxury River...,No explicit timing reference,Unknown Timing,56,Medium,Distress Sale Timing,JLL Capital Markets Announced They Arranged a $141.8M Refinancing for Premier Luxury Riverfront Multifamily Tower Wolf Point West in Chicago,,https://yieldpro.com/2026/05/wolf-point-west/,"Prepare sponsor, lender, and rescue-capital watchlist",Monthly
2026-05-19,20260519-101015-3b20d522,TIM-20260519-030,Distress Sale Timing,New York,Apartment,Unknown,Unknown,Refinancing - New York - Barings Refis Williamsburg Wharf With $374M Loan,No explicit timing reference,Unknown Timing,54,Low,Distress Sale Timing,Barings Refis Williamsburg Wharf With $374M Loan,,https://commercialobserver.com/2026/05/barings-naftali-access-industries-williamsburg-brooklyn-wharf/,"Prepare sponsor, lender, and rescue-capital watchlist",Monthly
2026-05-19,20260519-101015-3b20d522,TIM-20260519-026,Construction Completion / Delivery,Other / Unknown,Apartment,Unknown,Unknown,General Project Signal - Other / Unknown - Multifamily Absorption Rate Remains Below 50%,No explicit timing reference,Unknown Timing,53,Low,Construction Completion / Delivery; completed,Multifamily Absorption Rate Remains Below 50%,NAHB Eye on Housing - Multifamily,https://eyeonhousing.org/2026/03/multifamily-absorption-rate-remains-below-50/,"Monitor delivery, lease-up, concession, and supply pipeline timing",Monthly
2026-05-19,20260519-101015-3b20d522,TIM-20260519-031,Distress Sale Timing,New York,Affordable Housing,Unknown,Unknown,Refinancing - New York - Dermot Co. Receives $355M Loan for Refinancing of Upper Manhattan Apartment Tower,No explicit timing reference,Unknown Timing,53,Low,Distress Sale Timing,Dermot Co. Receives $355M Loan for Refinancing of Upper Manhattan Apartment Tower,,https://rebusinessonline.com/dermot-co-receives-355m-loan-for-refinancing-of-upper-manhattan-apartment-tower/,"Prepare sponsor, lender, and rescue-capital watchlist",Monthly
2026-05-19,20260519-101015-3b20d522,TIM-20260519-016,Entitlement / Permitting,California,Affordable Housing,Unknown,Unknown,"Entitlement / Permitting - California - Demolition Permits Filed For 772 Pacific Avenue in Chinatown, San Francisco",No explicit timing reference,Unknown Timing,53,Low,Entitlement / Permitting; permitting,"Demolition Permits Filed For 772 Pacific Avenue in Chinatown, San Francisco",SF YIMBY,https://sfyimby.com/2026/05/demolition-permits-filed-for-772-pacific-avenue-in-chinatown-san-francisco.html,"Track entitlement, zoning, permitting, and public-agency milestones",Monthly
2026-05-19,20260519-101015-3b20d522,TIM-20260519-017,Entitlement / Permitting,California,Affordable Housing,Unknown,Unknown,"Entitlement / Permitting - California - Formal Application Filed For Outer Richmond Safeway Redevelopment, San Francisco",No explicit timing reference,Unknown Timing,53,Low,Entitlement / Permitting; permitting,"Formal Application Filed For Outer Richmond Safeway Redevelopment, San Francisco",SF YIMBY,https://sfyimby.com/2026/05/formal-application-filed-for-outer-richmond-safeway-redevelopment-san-francisco.html,"Track entitlement, zoning, permitting, and public-agency milestones",Monthly
2026-05-19,20260519-101015-3b20d522,TIM-20260519-015,Office-to-Residential Conversion Timing,Sun Belt,Office-to-Residential Conversion,Unknown,JLL,"Office-to-Residential Conversion - Sun Belt - JLL Inks 70,000 SF of New Leases at Westside Paper Adaptive Reuse Development in Atlanta",No explicit timing reference,Unknown Timing,53,Low,Office-to-Residential Conversion Timing,"JLL Inks 70,000 SF of New Leases at Westside Paper Adaptive Reuse Development in Atlanta",REBusiness Online,https://rebusinessonline.com/jll-inks-70000-sf-of-new-leases-at-westside-paper-adaptive-reuse-development-in-atlanta/,Monitor sector-specific platform timing and potential partnership relevance,Monthly
2026-05-19,20260519-101015-3b20d522,TIM-20260519-032,Distress Sale Timing,New York,Affordable Housing,Unknown,Unknown,"Construction Financing - New York - Merchants Capital, New York City Provide $42M for Brooklyn Affordable Housing",No explicit timing reference,Unknown Timing,52,Low,Distress Sale Timing,"Merchants Capital, New York City Provide $42M for Brooklyn Affordable Housing",,https://commercialobserver.com/2026/05/merchants-capital-new-york-city-42m-brooklyn-affordable-housing/,"Prepare sponsor, lender, and rescue-capital watchlist",Monthly
2026-05-19,20260519-101015-3b20d522,TIM-20260519-013,Construction Start,Los Angeles,General Residential,Unknown,Unknown,Development Start - Los Angeles - The Broad's $100M expansion tops out in DTLA,No explicit timing reference,Unknown Timing,51,Low,Construction Start; broke ground,The Broad's $100M expansion tops out in DTLA,Urbanize LA,https://la.urbanize.city/post/broads-100m-expansion-tops-out-dtla,"Monitor delivery, lease-up, concession, and supply pipeline timing",Monthly
2026-05-19,20260519-101015-3b20d522,TIM-20260519-033,Distress Sale Timing,Other / Unknown,Affordable Housing,Unknown,Unknown,Construction Financing - Other / Unknown - Cypress Equity Investments gets $170M loan for two Santa Monica projects,No explicit timing reference,Unknown Timing,51,Low,Distress Sale Timing,Cypress Equity Investments gets $170M loan for two Santa Monica projects,,https://la.urbanize.city/post/cypress-equity-investments-gets-170m-loan-two-santa-monica-projects,"Prepare sponsor, lender, and rescue-capital watchlist",Monthly
2026-05-19,20260519-101015-3b20d522,TIM-20260519-020,Entitlement / Permitting,Other / Unknown,Multifamily,Unknown,Unknown,Entitlement / Permitting - Other / Unknown - Builders Stay Cautious as Single-Family Permits Weaken,No explicit timing reference,Unknown Timing,50,Low,Entitlement / Permitting; permitting,Builders Stay Cautious as Single-Family Permits Weaken,NAHB Eye on Housing - Multifamily,https://eyeonhousing.org/2025/10/builders-stay-cautious-as-single-family-permits-weaken/,"Track entitlement, zoning, permitting, and public-agency milestones",Monthly
2026-05-19,20260519-101015-3b20d522,TIM-20260519-028,Acquisition Window,Sun Belt,Multifamily,Unknown,CBRE,Acquisition - Sun Belt - Milburn & Company Acquires Luxury 339-Unit Multifamily Community Ascend at Longbow Highpoi...,No explicit timing reference,Unknown Timing,49,Low,Acquisition Window,Milburn & Company Acquires Luxury 339-Unit Multifamily Community Ascend at Longbow Highpoint in Mesa,Yield PRO,https://yieldpro.com/2026/05/ascend-at-longbow/,Monitor pricing evidence and possible acquisition outreach timing,Monitor Only
2026-05-19,20260519-101015-3b20d522,TIM-20260519-025,Entitlement / Permitting,Other / Unknown,Apartment,Unknown,Unknown,"Entitlement / Permitting - Other / Unknown - Preliminary Permits Filed For 3350 West Bayshore Road, Palo Alto",No explicit timing reference,Unknown Timing,49,Low,Entitlement / Permitting; permitting,"Preliminary Permits Filed For 3350 West Bayshore Road, Palo Alto",SF YIMBY,https://sfyimby.com/2026/05/preliminary-permits-filed-for-3350-west-bayshore-road-palo-alto.html,"Track entitlement, zoning, permitting, and public-agency milestones",Monitor Only
2026-05-19,20260519-101015-3b20d522,TIM-20260519-012,Acquisition Window,Sun Belt,General Residential,Unknown,JLL,"Acquisition - Sun Belt - 11North Acquires 285,497 SF Grocery-Anchored Retail Center in Altamonte Springs, Florida",No explicit timing reference,Unknown Timing,48,Low,Acquisition Window,"11North Acquires 285,497 SF Grocery-Anchored Retail Center in Altamonte Springs, Florida",REBusiness Online,https://rebusinessonline.com/11north-acquires-285497-sf-grocery-anchored-retail-center-in-altamonte-springs-florida/,Monitor pricing evidence and possible acquisition outreach timing,Monitor Only
2026-05-19,20260519-101015-3b20d522,TIM-20260519-022,Construction Start,Other / Unknown,Mixed-Use Residential,Unknown,Unknown,Development Start - Other / Unknown - Major Development Groundbreaking on Landmark Multifamily Mixed-Use Community The Piazza at...,No explicit timing reference,Unknown Timing,47,Low,Construction Start,Major Development Groundbreaking on Landmark Multifamily Mixed-Use Community The Piazza at Ardmore in Philadelphia,Yield PRO,https://yieldpro.com/2026/05/the-piazza-at-ardmore/,"Monitor delivery, lease-up, concession, and supply pipeline timing",Monitor Only
2026-05-19,20260519-101015-3b20d522,TIM-20260519-027,BTR / SFR Expansion Timing,Other / Unknown,BTR / Single-Family Rental,Unknown,Unknown,BTR / Build-to-Rent - Other / Unknown - Build-to-rent sale mandate cut from House’s ROAD to Housing bill,No explicit timing reference,Unknown Timing,40,Low,BTR / SFR Expansion Timing,Build-to-rent sale mandate cut from House’s ROAD to Housing bill,Multifamily Dive,https://www.multifamilydive.com/news/build-to-rent-house-road-to-housing-bill/820391/,Monitor sector-specific platform timing and potential partnership relevance,Monitor Only
