run_date,run_id,run_timestamp,canonical_source_entity,canonical_target_entity,relationship_type,market,deal_type,first_seen_date,last_seen_date,repeat_interaction_count,relationship_persistence_score,partnership_stability_label,strategic_relationship_label,capital_alignment_label,relationship_momentum,current_run_signal_count
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Berkadia,Sun Belt,Market Expansion,Sun Belt,General Project Signal,2026-05-14,2026-05-14,48,100,Durable,Strategic Relationship Watch,No Clear Capital Alignment,Fading,0
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Berkadia,Berkadia,Financing Relationship,Sun Belt,General Project Signal,2026-05-14,2026-05-14,24,100,Durable,Strategic Relationship Watch,Aligned Capital Relationship,Fading,0
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Blackstone,New York,Market Expansion,New York,General Project Signal,2026-05-14,2026-05-19,50,100,Durable,Strategic Relationship Watch,No Clear Capital Alignment,Stable,1
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Blackstone,Blackstone,Capital Flow,New York,General Project Signal,2026-05-14,2026-05-19,50,100,Durable,Strategic Relationship Watch,Aligned Capital Relationship,Stable,1
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Blackstone,Blackstone,Pricing / Valuation Signal,New York,General Project Signal,2026-05-14,2026-05-19,50,100,Durable,Strategic Relationship Watch,No Clear Capital Alignment,Stable,1
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,CBRE,CBRE,Financing Relationship,Other / Unknown,Construction Financing,2026-05-14,2026-05-14,24,100,Durable,Strategic Relationship Watch,Aligned Capital Relationship,Fading,0
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,California,San Francisco,Entitlement / Permitting,California,Entitlement / Permitting,2026-05-18,2026-05-19,25,100,Durable,Strategic Relationship Watch,No Clear Capital Alignment,Stable,1
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,California,California,Entitlement / Permitting,California,Entitlement / Permitting,2026-05-18,2026-05-19,25,100,Durable,Strategic Relationship Watch,No Clear Capital Alignment,Stable,1
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,California,cushman,Financing Relationship,California,Office-to-Residential Conversion,2026-05-19,2026-05-19,7,100,Durable,Strategic Relationship Watch,Aligned Capital Relationship,Stable,1
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,California,California,Market Expansion,California,Office-to-Residential Conversion,2026-05-19,2026-05-19,7,100,Durable,Strategic Relationship Watch,No Clear Capital Alignment,Stable,1
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Camden Property Trust,camden,Entitlement / Permitting,Other / Unknown,Entitlement / Permitting,2026-05-19,2026-05-19,7,100,Durable,Strategic Relationship Watch,No Clear Capital Alignment,Stable,1
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Camden Property Trust,Los Angeles,Entitlement / Permitting,Other / Unknown,Entitlement / Permitting,2026-05-19,2026-05-19,7,100,Durable,Strategic Relationship Watch,No Clear Capital Alignment,Stable,1
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Construction Financing - Other / Unknown - Cypress Equity Investments gets $170M loan for two Santa Monica projects,Construction Financing - Other / Unknown - Cypress Equity Investments gets $170M loan for two Santa Monica projects,Financing Relationship,Other / Unknown,Construction Financing,2026-05-18,2026-05-19,26,100,Durable,Strategic Relationship Watch,Aligned Capital Relationship,Stable,1
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Crescent Communities,Sun Belt,JV / Partnership,Sun Belt,JV / Partnership,2026-05-14,2026-05-14,48,100,Durable,Repeat JV Partnership,Aligned Capital Relationship,Fading,0
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Crescent Communities,Los Angeles,JV / Partnership,Sun Belt,JV / Partnership,2026-05-14,2026-05-14,24,100,Durable,Repeat JV Partnership,Aligned Capital Relationship,Fading,0
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Development Start - Other / Unknown - Fourth Quarter 2025 Multifamily Construction Data,Development Start - Other / Unknown - Fourth Quarter 2025 Multifamily Construction Data,Development Activity,Other / Unknown,Development Start,2026-05-14,2026-05-19,50,100,Durable,Strategic Relationship Watch,No Clear Capital Alignment,Stable,1
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Development Start - Other / Unknown - Missing Middle Weakness,Development Start - Other / Unknown - Missing Middle Weakness,Development Activity,Other / Unknown,Development Start,2026-05-14,2026-05-19,50,100,Durable,Strategic Relationship Watch,No Clear Capital Alignment,Stable,1
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Development Start - Other / Unknown - Overall Housing Starts Inch Lower in 2025,Development Start - Other / Unknown - Overall Housing Starts Inch Lower in 2025,Development Activity,Other / Unknown,Development Start,2026-05-14,2026-05-19,50,100,Durable,Strategic Relationship Watch,No Clear Capital Alignment,Stable,1
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Development Start - Other / Unknown - Third Quarter 2025 Multifamily Construction Data,Development Start - Other / Unknown - Third Quarter 2025 Multifamily Construction Data,Development Activity,Other / Unknown,Development Start,2026-05-14,2026-05-19,50,100,Durable,Strategic Relationship Watch,No Clear Capital Alignment,Stable,1
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,"Disposition / Exit - National - Swedish Investor Selling 1,500-Unit Northern Virginia Portfolio",U.S.,Disposition / Seller,National,Disposition / Exit,2026-05-14,2026-05-14,24,100,Durable,Strategic Relationship Watch,No Clear Capital Alignment,Fading,0
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Disposition / Exit - Other / Unknown - Marcus & Millichap Arranges Sale of 64-Unit Multifamily Property Waterview Apartments in L...,Disposition / Exit - Other / Unknown - Marcus & Millichap Arranges Sale of 64-Unit Multifamily Property Waterview Apartments in L...,Disposition / Seller,Other / Unknown,Disposition / Exit,2026-05-14,2026-05-14,24,100,Durable,Strategic Relationship Watch,No Clear Capital Alignment,Fading,0
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Disposition / Exit - Other / Unknown - Multifamily CMBS maturities jumped to 7.71% in April: Trepp,Disposition / Exit - Other / Unknown - Multifamily CMBS maturities jumped to 7.71% in April: Trepp,Disposition / Seller,Other / Unknown,Disposition / Exit,2026-05-14,2026-05-18,43,100,Durable,Strategic Relationship Watch,No Clear Capital Alignment,Fading,0
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Disposition / Exit - Other / Unknown - NAHB HBGI: Micro Markets Lone Bright Spot for Single-Family Building in Fourth Quarter,Disposition / Exit - Other / Unknown - NAHB HBGI: Micro Markets Lone Bright Spot for Single-Family Building in Fourth Quarter,Disposition / Seller,Other / Unknown,Disposition / Exit,2026-05-14,2026-05-19,50,100,Durable,Strategic Relationship Watch,No Clear Capital Alignment,Stable,1
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Entitlement / Permitting - Other / Unknown - Builders Stay Cautious as Single-Family Permits Weaken,Entitlement / Permitting - Other / Unknown - Builders Stay Cautious as Single-Family Permits Weaken,Entitlement / Permitting,Other / Unknown,Entitlement / Permitting,2026-05-14,2026-05-19,50,100,Durable,Strategic Relationship Watch,No Clear Capital Alignment,Stable,1
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Entitlement / Permitting - Other / Unknown - Completion nears for mixed-use building at 3557 S. Motor Ave. in Palms,Entitlement / Permitting - Other / Unknown - Completion nears for mixed-use building at 3557 S. Motor Ave. in Palms,Entitlement / Permitting,Other / Unknown,Entitlement / Permitting,2026-05-14,2026-05-14,24,100,Durable,Strategic Relationship Watch,No Clear Capital Alignment,Fading,0
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,"Entitlement / Permitting - Other / Unknown - Preliminary Permits Filed For 3350 West Bayshore Road, Palo Alto","Entitlement / Permitting - Other / Unknown - Preliminary Permits Filed For 3350 West Bayshore Road, Palo Alto",Entitlement / Permitting,Other / Unknown,Entitlement / Permitting,2026-05-18,2026-05-19,25,100,Durable,Strategic Relationship Watch,No Clear Capital Alignment,Stable,1
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Entitlement / Permitting - Other / Unknown - Shorter Apartment Construction Time in 2024,Entitlement / Permitting - Other / Unknown - Shorter Apartment Construction Time in 2024,Entitlement / Permitting,Other / Unknown,Entitlement / Permitting,2026-05-14,2026-05-19,50,100,Durable,Strategic Relationship Watch,No Clear Capital Alignment,Stable,1
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Fannie Mae,Fannie Mae,Financing Relationship,New York,Refinancing,2026-05-14,2026-05-14,24,100,Durable,Strategic Relationship Watch,Aligned Capital Relationship,Fading,0
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Fannie Mae,New York,Financing Relationship,New York,Refinancing,2026-05-14,2026-05-14,24,100,Durable,Strategic Relationship Watch,Aligned Capital Relationship,Fading,0
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,General Project Signal - Other / Unknown - DealPoint Merrill Obtains $55M for Mall Site Redevelopment,General Project Signal - Other / Unknown - DealPoint Merrill Obtains $55M for Mall Site Redevelopment,Pricing / Valuation Signal,Other / Unknown,General Project Signal,2026-05-14,2026-05-18,6,100,Durable,Strategic Relationship Watch,No Clear Capital Alignment,Fading,0
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,General Project Signal - Other / Unknown - Multifamily Absorption Rate Remains Below 50%,General Project Signal - Other / Unknown - Multifamily Absorption Rate Remains Below 50%,Pricing / Valuation Signal,Other / Unknown,General Project Signal,2026-05-14,2026-05-19,50,100,Durable,Strategic Relationship Watch,No Clear Capital Alignment,Stable,1
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,General Project Signal - Other / Unknown - San Fernando Valley Apartments Trade for $28M,General Project Signal - Other / Unknown - San Fernando Valley Apartments Trade for $28M,Pricing / Valuation Signal,Other / Unknown,General Project Signal,2026-05-14,2026-05-18,6,100,Durable,Strategic Relationship Watch,No Clear Capital Alignment,Fading,0
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,General Project Signal - Other / Unknown - Walker & Dunlop Arranges Equity Syndication for Colorado Affordable Multifamily Community...,walker & dunlop,Financing Relationship,Other / Unknown,General Project Signal,2026-05-19,2026-05-19,7,100,Durable,Strategic Relationship Watch,Aligned Capital Relationship,Stable,1
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Hines,hines,Financing Relationship,New York,Refinancing,2026-05-19,2026-05-19,7,100,Durable,Strategic Relationship Watch,Aligned Capital Relationship,Stable,1
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Hines,New York,Financing Relationship,New York,Refinancing,2026-05-19,2026-05-19,7,100,Durable,Strategic Relationship Watch,Aligned Capital Relationship,Stable,1
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Hines,JLL,Financing Relationship,New York,Refinancing,2026-05-19,2026-05-19,14,100,Durable,Strategic Relationship Watch,Aligned Capital Relationship,Stable,2
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,JLL,Sun Belt,Market Expansion,Sun Belt,Office-to-Residential Conversion,2026-05-19,2026-05-19,14,100,Durable,Strategic Relationship Watch,No Clear Capital Alignment,Stable,2
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,JLL,JLL,Financing Relationship,Los Angeles,Acquisition,2026-05-18,2026-05-18,17,100,Durable,Strategic Relationship Watch,Aligned Capital Relationship,Fading,0
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,JLL,JLL,Financing Relationship,Sun Belt,Office-to-Residential Conversion,2026-05-19,2026-05-19,7,100,Durable,Strategic Relationship Watch,Aligned Capital Relationship,Stable,1
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,JLL,JLL,Financing Relationship,Other / Unknown,Construction Financing,2026-05-18,2026-05-18,19,100,Durable,Strategic Relationship Watch,Aligned Capital Relationship,Fading,0
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,JLL,Los Angeles,Acquisition / Buyer,Los Angeles,Acquisition,2026-05-18,2026-05-18,17,100,Durable,Strategic Relationship Watch,No Clear Capital Alignment,Fading,0
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,JV / Partnership - Other / Unknown - Affordable Senior Housing Community Southernside West Set to Break Ground in Greenvillen S...,JV / Partnership - Other / Unknown - Affordable Senior Housing Community Southernside West Set to Break Ground in Greenvillen S...,JV / Partnership,Other / Unknown,JV / Partnership,2026-05-14,2026-05-14,24,100,Durable,Repeat JV Partnership,Aligned Capital Relationship,Fading,0
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Los Angeles,California,Disposition / Seller,California,Disposition / Exit,2026-05-18,2026-05-19,33,100,Durable,Strategic Relationship Watch,No Clear Capital Alignment,Stable,2
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Los Angeles,California,Development Activity,California,Development Start,2026-05-19,2026-05-19,7,100,Durable,Strategic Relationship Watch,No Clear Capital Alignment,Stable,1
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Los Angeles,JLL,Financing Relationship,Los Angeles,Construction Financing,2026-05-18,2026-05-18,19,100,Durable,Strategic Relationship Watch,Aligned Capital Relationship,Fading,0
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Los Angeles,California,Acquisition / Buyer,California,Acquisition,2026-05-19,2026-05-19,7,100,Durable,Strategic Relationship Watch,No Clear Capital Alignment,Stable,1
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Los Angeles,Los Angeles,JV / Partnership,Los Angeles,JV / Partnership,2026-05-18,2026-05-19,8,100,Durable,Repeat JV Partnership,Aligned Capital Relationship,Stable,1
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Los Angeles,California,JV / Partnership,California,JV / Partnership,2026-05-14,2026-05-14,22,100,Durable,Repeat JV Partnership,Aligned Capital Relationship,Fading,0
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Los Angeles,California,Market Expansion,California,General Project Signal,2026-05-18,2026-05-18,19,100,Durable,Strategic Relationship Watch,No Clear Capital Alignment,Fading,0
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Los Angeles,Texas,Market Expansion,Texas,General Project Signal,2026-05-14,2026-05-18,6,100,Durable,Strategic Relationship Watch,No Clear Capital Alignment,Fading,0
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Los Angeles,San Francisco,Entitlement / Permitting,California,Entitlement / Permitting,2026-05-14,2026-05-19,31,100,Durable,Strategic Relationship Watch,No Clear Capital Alignment,Stable,1
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Los Angeles,Los Angeles,Entitlement / Permitting,Los Angeles,Entitlement / Permitting,2026-05-14,2026-05-19,102,100,Durable,Strategic Relationship Watch,No Clear Capital Alignment,Stable,3
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Los Angeles,Los Angeles,Financing Relationship,Los Angeles,Construction Financing,2026-05-18,2026-05-18,38,100,Durable,Strategic Relationship Watch,Aligned Capital Relationship,Fading,0
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Los Angeles,California,Entitlement / Permitting,California,Entitlement / Permitting,2026-05-14,2026-05-19,31,100,Durable,Strategic Relationship Watch,No Clear Capital Alignment,Stable,1
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Los Angeles,Sun Belt,Market Expansion,Sun Belt,General Project Signal,2026-05-18,2026-05-19,45,100,Durable,Strategic Relationship Watch,No Clear Capital Alignment,Stable,1
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Los Angeles,walker & dunlop,Financing Relationship,Los Angeles,Disposition / Exit,2026-05-19,2026-05-19,7,100,Durable,Strategic Relationship Watch,Aligned Capital Relationship,Stable,1
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Los Angeles,Los Angeles,Acquisition / Buyer,National,Acquisition,2026-05-18,2026-05-18,17,100,Durable,Strategic Relationship Watch,No Clear Capital Alignment,Fading,0
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Los Angeles,Houston,Market Expansion,Sun Belt,General Project Signal,2026-05-19,2026-05-19,7,100,Durable,Strategic Relationship Watch,No Clear Capital Alignment,Stable,1
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Los Angeles,Los Angeles,Disposition / Seller,Los Angeles,Disposition / Exit,2026-05-14,2026-05-19,13,100,Durable,Strategic Relationship Watch,No Clear Capital Alignment,Stable,1
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Los Angeles,New York,Market Expansion,New York,General Project Signal,2026-05-14,2026-05-14,24,100,Durable,Strategic Relationship Watch,No Clear Capital Alignment,Fading,0
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Los Angeles,National,Development Activity,National,Development Start,2026-05-14,2026-05-14,24,100,Durable,Strategic Relationship Watch,No Clear Capital Alignment,Fading,0
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Los Angeles,Los Angeles,Market Expansion,Los Angeles,General Project Signal,2026-05-14,2026-05-19,219,100,Durable,Strategic Relationship Watch,No Clear Capital Alignment,Stable,4
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Los Angeles,Los Angeles,Development Activity,Los Angeles,Development Start,2026-05-18,2026-05-19,26,100,Durable,Strategic Relationship Watch,No Clear Capital Alignment,Stable,1
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Los Angeles,Southeast,Market Expansion,Los Angeles,General Project Signal,2026-05-14,2026-05-14,24,100,Durable,Strategic Relationship Watch,No Clear Capital Alignment,Fading,0
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Los Angeles,Sun Belt,Disposition / Seller,Sun Belt,Disposition / Exit,2026-05-18,2026-05-18,76,100,Durable,Strategic Relationship Watch,No Clear Capital Alignment,Fading,0
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Los Angeles,CBRE,Financing Relationship,Other / Unknown,Acquisition,2026-05-18,2026-05-18,17,100,Durable,Strategic Relationship Watch,Aligned Capital Relationship,Fading,0
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Los Angeles,Los Angeles,Pricing / Valuation Signal,Other / Unknown,General Project Signal,2026-05-14,2026-05-14,24,100,Durable,Strategic Relationship Watch,No Clear Capital Alignment,Fading,0
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Los Angeles,Los Angeles,Development Activity,Other / Unknown,Development Start,2026-05-19,2026-05-19,7,100,Durable,Strategic Relationship Watch,No Clear Capital Alignment,Stable,1
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Los Angeles,Florida,Market Expansion,Florida,BTR / Build-to-Rent,2026-05-18,2026-05-18,19,100,Durable,Strategic Relationship Watch,No Clear Capital Alignment,Fading,0
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Los Angeles,California,Financing Relationship,Los Angeles,Construction Financing,2026-05-18,2026-05-18,19,100,Durable,Strategic Relationship Watch,Aligned Capital Relationship,Fading,0
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,New York,New York,Market Expansion,New York,Office-to-Residential Conversion,2026-05-14,2026-05-14,10,100,Durable,Strategic Relationship Watch,No Clear Capital Alignment,Fading,0
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,New York,New York,Financing Relationship,New York,Refinancing,2026-05-19,2026-05-19,28,100,Durable,Strategic Relationship Watch,Aligned Capital Relationship,Stable,4
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,New York,New York,Disposition / Seller,New York,Disposition / Exit,2026-05-14,2026-05-18,34,100,Durable,Strategic Relationship Watch,No Clear Capital Alignment,Fading,0
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Operational / Property Management Tech - Texas - Crypto rewards eye renters who want to save for a down payment,Texas,Market Expansion,Texas,Operational / Property Management Tech,2026-05-14,2026-05-14,24,100,Durable,Strategic Relationship Watch,No Clear Capital Alignment,Fading,0
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Quarterra,Los Angeles,Disposition / Seller,Los Angeles,Disposition / Exit,2026-05-18,2026-05-19,52,100,Durable,Strategic Relationship Watch,No Clear Capital Alignment,Stable,2
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Quarterra,California,Disposition / Seller,Los Angeles,Disposition / Exit,2026-05-18,2026-05-19,26,100,Durable,Strategic Relationship Watch,No Clear Capital Alignment,Stable,1
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Quarterra,JLL,Financing Relationship,Los Angeles,Disposition / Exit,2026-05-18,2026-05-19,26,100,Durable,Strategic Relationship Watch,Aligned Capital Relationship,Stable,1
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Sun Belt,Houston,Acquisition / Buyer,Sun Belt,Acquisition,2026-05-18,2026-05-18,17,100,Durable,Strategic Relationship Watch,No Clear Capital Alignment,Fading,0
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Sun Belt,Sun Belt,Market Expansion,Sun Belt,General Project Signal,2026-05-19,2026-05-19,14,100,Durable,Strategic Relationship Watch,No Clear Capital Alignment,Stable,2
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Sun Belt,Sun Belt,Development Activity,Sun Belt,Development Start,2026-05-19,2026-05-19,14,100,Durable,Strategic Relationship Watch,No Clear Capital Alignment,Stable,2
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Sun Belt,JLL,Financing Relationship,Sun Belt,Acquisition,2026-05-18,2026-05-19,24,100,Durable,Strategic Relationship Watch,Aligned Capital Relationship,Stable,1
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Sun Belt,Sun Belt,JV / Partnership,Sun Belt,JV / Partnership,2026-05-18,2026-05-18,34,100,Durable,Repeat JV Partnership,Aligned Capital Relationship,Fading,0
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Sun Belt,Sun Belt,Disposition / Seller,Sun Belt,Disposition / Exit,2026-05-14,2026-05-14,24,100,Durable,Strategic Relationship Watch,No Clear Capital Alignment,Fading,0
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Sun Belt,Sun Belt,Acquisition / Buyer,Sun Belt,Acquisition,2026-05-18,2026-05-19,45,100,Durable,Strategic Relationship Watch,No Clear Capital Alignment,Stable,4
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Sun Belt,CBRE,Financing Relationship,Sun Belt,Acquisition,2026-05-19,2026-05-19,7,100,Durable,Strategic Relationship Watch,Aligned Capital Relationship,Stable,1
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Construction Financing - Other / Unknown - Construction Financing’s Quiet Resurgence,Construction Financing - Other / Unknown - Construction Financing’s Quiet Resurgence,Financing Relationship,Other / Unknown,Construction Financing,2026-05-18,2026-05-18,1,33,Fading,General Relationship,No Clear Capital Alignment,Fading,0
