run_date,run_id,la_asset_watch_id,asset_or_project_name,address_or_location_clue,la_submarket,gp_or_developer,residential_sector,entitlement_status,construction_status,asset_strategy_signal,site_control_signal,execution_stage,la_asset_opportunity_score,la_asset_risk_score,woomi_site_relevance,potential_woomi_strategy_angle,recommended_local_follow_up,source_article_title,url,confidence_level
2026-05-19,20260519-101015-3b20d522,LAA-20260519-006,Construction Financing - Other / Unknown - Cypress Equity Investments gets $170M loan for two Santa Monica projects,Unknown,Los Angeles,Unknown,Affordable Housing,Unknown,Unknown,General Asset Signal,Unknown site control,Unknown,89,54,High relevance to Woomi site strategy,Monitor only,Monitor asset for repeated local confirmation,Cypress Equity Investments gets $170M loan for two Santa Monica projects,https://la.urbanize.city/post/cypress-equity-investments-gets-170m-loan-two-santa-monica-projects,Medium
2026-05-19,20260519-101015-3b20d522,LAA-20260519-017,California Transforms Oakland’s Fruitvale Community with Cleanup of Polluted Land for Affordable Housing,2700 International Boulevard,Los Angeles,Unknown,Affordable Housing,Unknown,Unknown,Affordable / Density Bonus Strategy,Land / parcel referenced,Site Search / Early Signal,89,31,High relevance to Woomi site strategy,Track site control precedent,"Review parcel clue, entitlement path, sponsor, and comparable sites",California Transforms Oakland’s Fruitvale Community with Cleanup of Polluted Land for Affordable Housing,https://yieldpro.com/2026/05/2700-international-boulevard/,Medium
2026-05-19,20260519-101015-3b20d522,LAA-20260519-007,"JV / Partnership - Los Angeles - Lendlease, Aware Super Open Habitat Mixed-Use Campus in Los Angeles",Los Angeles,Los Angeles,Unknown,Mixed-Use Residential,Unknown,Completed / opened,Lease-Up / Delivery,Unknown site control,Delivered / Lease-Up,89,31,High relevance to Woomi site strategy,Monitor only,"Review parcel clue, entitlement path, sponsor, and comparable sites","Lendlease, Aware Super Open Habitat Mixed-Use Campus in Los Angeles",https://rebusinessonline.com/lendlease-aware-super-open-habitat-mixed-use-campus-in-los-angeles/,Medium
2026-05-19,20260519-101015-3b20d522,LAA-20260519-020,"Entitlement / Permitting - California - Demolition Permits Filed For 772 Pacific Avenue in Chinatown, San Francisco",772 Pacific Avenue,Los Angeles,Unknown,Affordable Housing,Unknown,Unknown,Entitlement Play,Project under entitlement,Unknown,87,32,High relevance to Woomi site strategy,Monitor entitlement path,"Review parcel clue, entitlement path, sponsor, and comparable sites","Demolition Permits Filed For 772 Pacific Avenue in Chinatown, San Francisco",https://sfyimby.com/2026/05/demolition-permits-filed-for-772-pacific-avenue-in-chinatown-san-francisco.html,Medium
2026-05-19,20260519-101015-3b20d522,LAA-20260519-010,Acquisition - California - WMC Commercial Buys Upland Village Green Multifamily Property in California for $48.5M,California,Los Angeles,Unknown,Apartment,Unknown,Unknown,General Asset Signal,Land / parcel referenced,Site Search / Early Signal,84,29,High relevance to Woomi site strategy,Track site control precedent,"Review parcel clue, entitlement path, sponsor, and comparable sites",WMC Commercial Buys Upland Village Green Multifamily Property in California for $48.5M,https://rebusinessonline.com/wmc-commercial-buys-upland-village-green-multifamily-property-in-california-for-48-5m/,Low
2026-05-19,20260519-101015-3b20d522,LAA-20260519-011,Development Start - Los Angeles - The Broad's $100M expansion tops out in DTLA,Los Angeles,Los Angeles,Unknown,General Residential,Unknown,Construction started,Development Start,Unknown site control,Under Construction,81,24,High relevance to Woomi site strategy,Monitor only,"Review parcel clue, entitlement path, sponsor, and comparable sites",The Broad's $100M expansion tops out in DTLA,https://la.urbanize.city/post/broads-100m-expansion-tops-out-dtla,Low
2026-05-19,20260519-101015-3b20d522,LAA-20260519-014,Cypress Equity Investments gets $170M loan for two Santa Monica projects,2025 Wilshire Boulevard,Los Angeles,Unknown,Affordable Housing,Unknown,Unknown,Refinancing / Recapitalization,Unknown site control,Unknown,80,34,High relevance to Woomi site strategy,Review acquisition comparables,"Track lender, maturity, owner, and recapitalization path",Cypress Equity Investments gets $170M loan for two Santa Monica projects,https://la.urbanize.city/post/cypress-equity-investments-gets-170m-loan-two-santa-monica-projects,Medium
2026-05-19,20260519-101015-3b20d522,LAA-20260519-016,13th Floor Secures $47M Loan and Breaks Ground on 222-Unit Venture on the Trail Multifamily Development in Greenville South Carolina,301 Alston Street,Los Angeles,Unknown,Mixed-Use Residential,Unknown,Unknown,General Asset Signal,Land / parcel referenced,Unknown,79,34,High relevance to Woomi site strategy,Track site control precedent,Monitor asset for repeated local confirmation,13th Floor Secures $47M Loan and Breaks Ground on 222-Unit Venture on the Trail Multifamily Development in Greenville South Carolina,https://yieldpro.com/2026/05/venture-on-the-trail/,Medium
2026-05-19,20260519-101015-3b20d522,LAA-20260519-018,"Lendlease, Aware Super Open Habitat Mixed-Use Campus in Los Angeles",3411 S. La Cienega Blvd,Los Angeles,Unknown,Mixed-Use Residential,Unknown,Completed / opened,Lease-Up / Delivery,Unknown site control,Delivered / Lease-Up,79,31,High relevance to Woomi site strategy,Monitor only,"Review parcel clue, entitlement path, sponsor, and comparable sites","Lendlease, Aware Super Open Habitat Mixed-Use Campus in Los Angeles",https://rebusinessonline.com/lendlease-aware-super-open-habitat-mixed-use-campus-in-los-angeles/,Medium
2026-05-19,20260519-101015-3b20d522,LAA-20260519-019,"Office-to-Residential Conversion - Sun Belt - JLL Inks 70,000 SF of New Leases at Westside Paper Adaptive Reuse Development in Atlanta",Atlanta,Los Angeles,Unknown,Office-to-Residential Conversion,Unknown,Unknown,Office-to-Residential Conversion,Unknown site control,Unknown,78,63,High relevance to Woomi site strategy,Monitor office conversion feasibility,Monitor asset for repeated local confirmation,"JLL Inks 70,000 SF of New Leases at Westside Paper Adaptive Reuse Development in Atlanta",https://rebusinessonline.com/jll-inks-70000-sf-of-new-leases-at-westside-paper-adaptive-reuse-development-in-atlanta/,Medium
2026-05-19,20260519-101015-3b20d522,LAA-20260519-027,"Demolition Permits Filed For 772 Pacific Avenue in Chinatown, San Francisco",772 Pacific Avenue,Los Angeles,Unknown,Affordable Housing,Unknown,Unknown,Affordable / Density Bonus Strategy,Unknown site control,Unknown,77,32,High relevance to Woomi site strategy,Benchmark density bonus use,"Review parcel clue, entitlement path, sponsor, and comparable sites","Demolition Permits Filed For 772 Pacific Avenue in Chinatown, San Francisco",https://sfyimby.com/2026/05/demolition-permits-filed-for-772-pacific-avenue-in-chinatown-san-francisco.html,Medium
2026-05-19,20260519-101015-3b20d522,LAA-20260519-028,"Entitlement / Permitting - California - Formal Application Filed For Outer Richmond Safeway Redevelopment, San Francisco",San Francisco,Los Angeles,Unknown,Affordable Housing,Unknown,Unknown,Entitlement Play,Project under entitlement,Unknown,77,32,High relevance to Woomi site strategy,Monitor entitlement path,"Review parcel clue, entitlement path, sponsor, and comparable sites","Formal Application Filed For Outer Richmond Safeway Redevelopment, San Francisco",https://sfyimby.com/2026/05/formal-application-filed-for-outer-richmond-safeway-redevelopment-san-francisco.html,Low
2026-05-19,20260519-101015-3b20d522,LAA-20260519-029,"Formal Application Filed For Outer Richmond Safeway Redevelopment, San Francisco",850 La Playa Street,Los Angeles,Unknown,Affordable Housing,Unknown,Unknown,Affordable / Density Bonus Strategy,Unknown site control,Unknown,77,32,High relevance to Woomi site strategy,Benchmark density bonus use,"Review parcel clue, entitlement path, sponsor, and comparable sites","Formal Application Filed For Outer Richmond Safeway Redevelopment, San Francisco",https://sfyimby.com/2026/05/formal-application-filed-for-outer-richmond-safeway-redevelopment-san-francisco.html,Medium
2026-05-19,20260519-101015-3b20d522,LAA-20260519-021,"General Project Signal - Los Angeles - Taylor Yard wetland takes shape, General Hospital update, and more",La County,Los Angeles,Unknown,Mixed-Use Residential,Unknown,Unknown,General Asset Signal,Land / parcel referenced,Site Search / Early Signal,77,25,High relevance to Woomi site strategy,Track site control precedent,"Review parcel clue, entitlement path, sponsor, and comparable sites","Taylor Yard wetland takes shape, General Hospital update, and more",https://la.urbanize.city/post/taylor-yard-wetland-takes-shape-general-hospital-update-and-more,Low
2026-05-19,20260519-101015-3b20d522,LAA-20260519-022,Disposition / Exit - Los Angeles - Walker & Dunlop Offer High-Profile Ground-Up Mixed-Use Development Opportunity Adjacent to...,Los Angeles,Los Angeles,Unknown,Mixed-Use Residential,Unknown,Unknown,General Asset Signal,Existing asset sale,Unknown,73,35,High relevance to Woomi site strategy,Monitor only,"Review parcel clue, entitlement path, sponsor, and comparable sites",Walker & Dunlop Offer High-Profile Ground-Up Mixed-Use Development Opportunity Adjacent to USC Los Angeles,https://yieldpro.com/2026/05/university-gardens-2/,Low
2026-05-19,20260519-101015-3b20d522,LAA-20260519-023,General Project Signal - New York - Ares Acquires Stake in Rover Pipeline from Blackstone Energy Transition Partners to Serve...,New York,Los Angeles,Blackstone,General Residential,Unknown,Unknown,General Asset Signal,Unknown site control,Unknown,72,17,High relevance to Woomi site strategy,Track local sponsor activity,Monitor asset for repeated local confirmation,Ares Acquires Stake in Rover Pipeline from Blackstone Energy Transition Partners to Serve Growing Energy Demand Centers Across North America,https://www.blackstone.com/news/press/ares-acquires-stake-in-rover-pipeline-from-blackstone-energy-transition-partners-to-serve-growing-energy-demand-centers-across-north-america/,Medium
2026-05-19,20260519-101015-3b20d522,LAA-20260519-024,General Project Signal - Los Angeles - Soaring above the 17-acre One Beverly Hills site,Los Angeles,Los Angeles,Unknown,General Residential,Unknown,Unknown,General Asset Signal,Land / parcel referenced,Site Search / Early Signal,69,23,Relevant to LA site monitoring,Track site control precedent,"Review parcel clue, entitlement path, sponsor, and comparable sites",Soaring above the 17-acre One Beverly Hills site,https://la.urbanize.city/post/soaring-above-17-acre-one-beverly-hills-site,Low
2026-05-19,20260519-101015-3b20d522,LAA-20260519-025,Development Start - Other / Unknown - Major Development Groundbreaking on Landmark Multifamily Mixed-Use Community The Piazza at...,Unknown,Los Angeles,Unknown,Mixed-Use Residential,Unknown,Unknown,Development Start,Land / parcel referenced,Site Search / Early Signal,69,20,Relevant to LA site monitoring,Track site control precedent,Monitor asset for repeated local confirmation,Major Development Groundbreaking on Landmark Multifamily Mixed-Use Community The Piazza at Ardmore in Philadelphia,https://yieldpro.com/2026/05/the-piazza-at-ardmore/,Low
2026-05-19,20260519-101015-3b20d522,LAA-20260519-026,"Preliminary Permits Filed For 3350 West Bayshore Road, Palo Alto",3350 West Bayshore Road,Los Angeles,Unknown,Apartment,Unknown,Unknown,General Asset Signal,Land / parcel referenced,Site Search / Early Signal,69,20,Relevant to LA site monitoring,Track site control precedent,Monitor asset for repeated local confirmation,"Preliminary Permits Filed For 3350 West Bayshore Road, Palo Alto",https://sfyimby.com/2026/05/preliminary-permits-filed-for-3350-west-bayshore-road-palo-alto.html,Medium
2026-05-19,20260519-101015-3b20d522,LAA-20260519-030,"Development Start - Sun Belt - Struggling To Find Equity, Developers Pull Back On New Builds",Atlanta,Los Angeles,Unknown,Multifamily,Unknown,Unknown,Development Start,Unknown site control,Unknown,64,31,Relevant to LA site monitoring,Monitor only,Monitor asset for repeated local confirmation,"Struggling To Find Equity, Developers Pull Back On New Builds",https://www.bisnow.com/national/news/capital-markets/struggling-to-find-equity-developers-pull-back-on-new-builds-134608,Low
2026-05-19,20260519-101015-3b20d522,LAA-20260519-031,Disposition / Exit - California - Southern Land Company Launches Mortgage Division,San Diego,Los Angeles,Unknown,General Residential,Unknown,Unknown,General Asset Signal,Land / parcel referenced,Site Search / Early Signal,64,25,Relevant to LA site monitoring,Track site control precedent,Monitor asset for repeated local confirmation,Southern Land Company Launches Mortgage Division,https://commercialobserver.com/2026/05/southern-land-company-mortgage-division/,Low
2026-05-19,20260519-101015-3b20d522,LAA-20260519-032,Silicon Valley Initiative Partnership Receives $74.1M in Financing for Office-to-Residential Conversion Project in San Jose,California,Los Angeles,Unknown,Office-to-Residential Conversion,Unknown,Unknown,Office-to-Residential Conversion,Unknown site control,Unknown,63,38,Relevant to LA site monitoring,Monitor office conversion feasibility,Monitor asset for repeated local confirmation,Silicon Valley Initiative Partnership Receives $74.1M in Financing for Office-to-Residential Conversion Project in San Jose,https://rebusinessonline.com/silicon-valley-initiative-partnership-receives-74-1m-in-financing-for-office-to-residential-conversion-project-in-san-jose/,Low
2026-05-19,20260519-101015-3b20d522,LAA-20260519-033,"Acquisition - Sun Belt - 11North Acquires 285,497 SF Grocery-Anchored Retail Center in Altamonte Springs, Florida",Orlando,Los Angeles,Unknown,General Residential,Unknown,Unknown,General Asset Signal,Existing asset sale,Unknown,58,26,Relevant to LA site monitoring,Monitor only,Monitor asset for repeated local confirmation,"11North Acquires 285,497 SF Grocery-Anchored Retail Center in Altamonte Springs, Florida",https://rebusinessonline.com/11north-acquires-285497-sf-grocery-anchored-retail-center-in-altamonte-springs-florida/,Medium
2026-05-19,20260519-101015-3b20d522,LAA-20260519-034,High Street Residential and Camden Property Trust Advance Durham North Carolina Apartment Community Toward Construction,Los Angeles,Los Angeles,Unknown,Apartment,Unknown,Unknown,General Asset Signal,Unknown site control,Unknown,53,22,Relevant to LA site monitoring,Monitor only,Monitor asset for repeated local confirmation,High Street Residential and Camden Property Trust Advance Durham North Carolina Apartment Community Toward Construction,https://yieldpro.com/2026/05/hopson-road/,Low
2026-05-19,20260519-101015-3b20d522,LAA-20260519-035,"JLL Inks 70,000 SF of New Leases at Westside Paper Adaptive Reuse Development in Atlanta",Atlanta,Los Angeles,Unknown,Office-to-Residential Conversion,Unknown,Unknown,Office-to-Residential Conversion,Land / parcel referenced,Unknown,52,39,Relevant to LA site monitoring,Track site control precedent,Monitor asset for repeated local confirmation,"JLL Inks 70,000 SF of New Leases at Westside Paper Adaptive Reuse Development in Atlanta",https://rebusinessonline.com/jll-inks-70000-sf-of-new-leases-at-westside-paper-adaptive-reuse-development-in-atlanta/,Low
2026-05-19,20260519-101015-3b20d522,LAA-20260519-036,"Struggling To Find Equity, Developers Pull Back On New Builds",Los Angeles,Los Angeles,Unknown,Multifamily,Unknown,Unknown,General Asset Signal,Unknown site control,Unknown,49,22,General LA monitoring,Monitor only,Monitor asset for repeated local confirmation,"Struggling To Find Equity, Developers Pull Back On New Builds",https://www.bisnow.com/national/news/capital-markets/struggling-to-find-equity-developers-pull-back-on-new-builds-134608,Low
2026-05-19,20260519-101015-3b20d522,LAA-20260519-037,Major Development Groundbreaking on Landmark Multifamily Mixed-Use Community The Piazza at Ardmore in Philadelphia,Other / Unknown,Los Angeles,Unknown,Mixed-Use Residential,Unknown,Unknown,General Asset Signal,Land / parcel referenced,Site Search / Early Signal,49,20,General LA monitoring,Track site control precedent,Monitor asset for repeated local confirmation,Major Development Groundbreaking on Landmark Multifamily Mixed-Use Community The Piazza at Ardmore in Philadelphia,https://yieldpro.com/2026/05/the-piazza-at-ardmore/,Low
2026-05-19,20260519-101015-3b20d522,LAA-20260519-038,"Carson aims for hotel, entertainment, and housing in Civic Center revamp",Los Angeles,Los Angeles,Unknown,Mixed-Use Residential,Unknown,Unknown,General Asset Signal,Land / parcel referenced,Unknown,46,26,General LA monitoring,Track site control precedent,Monitor asset for repeated local confirmation,"Carson aims for hotel, entertainment, and housing in Civic Center revamp",https://la.urbanize.city/post/carson-aims-hotel-entertainment-and-housing-civic-center-revamp,Low
2026-05-19,20260519-101015-3b20d522,LAA-20260519-039,"11North Acquires 285,497 SF Grocery-Anchored Retail Center in Altamonte Springs, Florida",Orlando,Los Angeles,Unknown,General Residential,Unknown,Unknown,General Asset Signal,Site acquired,Site Search / Early Signal,41,18,General LA monitoring,Track site control precedent,Monitor asset for repeated local confirmation,"11North Acquires 285,497 SF Grocery-Anchored Retail Center in Altamonte Springs, Florida",https://rebusinessonline.com/11north-acquires-285497-sf-grocery-anchored-retail-center-in-altamonte-springs-florida/,Low
