run_date,run_id,card_id,card_type,card_title,card_priority,card_score,market,residential_sector,gp_or_developer,summary,why_it_matters,recommended_action,source_report,source_url_if_available
2026-05-19,20260519-101015-3b20d522,CARD-20260519-026,Market Entry Window,New York,High,79,New York,65,Unknown,Selective Entry Window,active opportunity radar signals; possible distress or recapitalization watch; capital-flow or institutional activity signal,Monitor refinancing and distress pipeline,market_entry_window_report.md,
2026-05-19,20260519-101015-3b20d522,CARD-20260519-032,Lifecycle Watch,Development Start - Los Angeles - The Broad's $100M expansion tops out in DTLA,High,78,California,General Residential,Unknown,Same Stage Persistence,Lifecycle transition affects timing and project execution confidence.,Monitor for another run to confirm lifecycle direction,lifecycle_transition_report.md,https://la.urbanize.city/post/broads-100m-expansion-tops-out-dtla
2026-05-19,20260519-101015-3b20d522,CARD-20260519-008,Opportunity,LA / California Entitlement Opportunity,High,78,Other / Unknown,Apartment,Camden Property Trust,"LA / California Entitlement Opportunity may create a pricing, capital, partnership, or pipeline opening in Other / Unknown.","Monitor for underwriting, market-entry, or partnership implications","Review entitlement, zoning, permitting, and local sponsor context",opportunity_radar_report.md,https://yieldpro.com/2026/05/hopson-road/
2026-05-19,20260519-101015-3b20d522,CARD-20260519-033,Lifecycle Watch,General Project Signal - Sun Belt - Grand Opening Celebration for Affordable Housing Development Palladium Park Row in the Kat...,High,77,Sun Belt,Affordable Housing,Unknown,Mature / Operating,Lifecycle transition affects timing and project execution confidence.,"Use as delivery, lease-up, and underwriting benchmark",lifecycle_transition_report.md,https://yieldpro.com/2026/05/palladium-park-row/
2026-05-19,20260519-101015-3b20d522,CARD-20260519-034,Lifecycle Watch,"JV / Partnership - Los Angeles - Lendlease, Aware Super Open Habitat Mixed-Use Campus in Los Angeles",High,77,California,Mixed-Use Residential,Unknown,Mature / Operating,Lifecycle transition affects timing and project execution confidence.,"Use as delivery, lease-up, and underwriting benchmark",lifecycle_transition_report.md,https://rebusinessonline.com/lendlease-aware-super-open-habitat-mixed-use-campus-in-los-angeles/
2026-05-19,20260519-101015-3b20d522,CARD-20260519-021,GP Watch,Quarterra,High,75,Los Angeles,Apartment,Quarterra,Institutional-backed regional expansion,Capital market and pricing discovery reference,Review LA / California development activity,gp_watchlist_report.md,
2026-05-19,20260519-101015-3b20d522,CARD-20260519-009,Opportunity,GP Capability Partnership Opportunity,High,72,New York,General Residential,Blackstone,"GP Capability Partnership Opportunity may create a pricing, capital, partnership, or pipeline opening in New York.",Map possible GP partnership or capability-building relationship,"Map GP, capital partner, and relationship history",opportunity_radar_report.md,https://www.blackstone.com/news/press/ares-acquires-stake-in-rover-pipeline-from-blackstone-energy-transition-partners-to-serve-growing-energy-demand-centers-across-north-america/
2026-05-19,20260519-101015-3b20d522,CARD-20260519-027,Market Entry Window,Los Angeles,High,69,Los Angeles,90,Unknown,Selective Entry Window,active opportunity radar signals; capital-flow or institutional activity signal; core Woomi California / LA strategic relevance,Track entitlement / permitting pipeline,market_entry_window_report.md,
2026-05-19,20260519-101015-3b20d522,CARD-20260519-010,Opportunity,LA / California Entitlement Opportunity,High,67,California,Office-to-Residential Conversion,Unknown,"LA / California Entitlement Opportunity may create a pricing, capital, partnership, or pipeline opening in California.","Evaluate LA / California entitlement, zoning, or local GP partnership relevance","Review entitlement, zoning, permitting, and local sponsor context",opportunity_radar_report.md,https://rebusinessonline.com/silicon-valley-initiative-partnership-receives-74-1m-in-financing-for-office-to-residential-conversion-project-in-san-jose/
2026-05-19,20260519-101015-3b20d522,CARD-20260519-011,Distress,refinancing stress,High,67,New York,Multifamily,Hines,Refinancing; refinancing,"Track potential rescue capital, debt recapitalization, or capital partner opening","Track debt maturity, lender exposure, sponsor stress, and recapitalization options",distress_watchlist_report.md,https://yieldpro.com/2026/05/wolf-point-west/
2026-05-19,20260519-101015-3b20d522,CARD-20260519-022,GP Watch,Camden Property Trust,High,66,Other / Unknown,Apartment,Camden Property Trust,California / LA strategic positioning,Capital market and pricing discovery reference,Review LA / California development activity,gp_watchlist_report.md,
2026-05-19,20260519-101015-3b20d522,CARD-20260519-029,Entitlement Watch,CEQA / Environmental Review,High,65,Sun Belt,Multifamily,Unknown,CEQA risk,Entitlement and permitting can affect site timing and execution risk.,"Monitor CEQA timeline, appeals, and environmental review milestones",entitlement_intelligence_report.md,https://www.bisnow.com/national/news/capital-markets/struggling-to-find-equity-developers-pull-back-on-new-builds-134608
2026-05-19,20260519-101015-3b20d522,CARD-20260519-038,Source Health,Critical source validation warnings,High,65,National / Other,General Residential,Unknown,20 source(s) failed validation.,Source reliability affects dashboard signal confidence.,Review failed critical feeds and manual-review queue,source_activation_report.md,
2026-05-19,20260519-101015-3b20d522,CARD-20260519-023,GP Watch,Hines,High,65,New York,Multifamily,Hines,Distressed opportunity positioning,Potential GP partnership candidate,Track JV and capital partner activity,gp_watchlist_report.md,
2026-05-19,20260519-101015-3b20d522,CARD-20260519-012,Distress,refinancing stress,Medium,63,New York,Apartment,Unknown,Refinancing; refinancing,"Track potential rescue capital, debt recapitalization, or capital partner opening","Track debt maturity, lender exposure, sponsor stress, and recapitalization options",distress_watchlist_report.md,https://commercialobserver.com/2026/05/barings-naftali-access-industries-williamsburg-brooklyn-wharf/
2026-05-19,20260519-101015-3b20d522,CARD-20260519-028,Market Entry Window,California,Medium,61,California,90,Unknown,Early Signal / Prepare,active opportunity radar signals; capital-flow or institutional activity signal; core Woomi California / LA strategic relevance,Track entitlement / permitting pipeline,market_entry_window_report.md,
2026-05-19,20260519-101015-3b20d522,CARD-20260519-013,Distress,refinancing stress,Medium,60,New York,Affordable Housing,Unknown,Refinancing; refinancing,"Track potential rescue capital, debt recapitalization, or capital partner opening","Track debt maturity, lender exposure, sponsor stress, and recapitalization options",distress_watchlist_report.md,https://rebusinessonline.com/dermot-co-receives-355m-loan-for-refinancing-of-upper-manhattan-apartment-tower/
2026-05-19,20260519-101015-3b20d522,CARD-20260519-024,GP Watch,Blackstone,Medium,58,New York,General Residential,Blackstone,Selective residential growth,Potential GP partnership candidate,Track JV and capital partner activity,gp_watchlist_report.md,
2026-05-19,20260519-101015-3b20d522,CARD-20260519-030,Entitlement Watch,Office-to-Residential Conversion,Medium,57,California,Office-to-Residential Conversion,Unknown,Office conversion policy,Entitlement and permitting can affect site timing and execution risk.,"Track local planning filings, approval body, sponsor, and entitlement precedent",entitlement_intelligence_report.md,https://rebusinessonline.com/silicon-valley-initiative-partnership-receives-74-1m-in-financing-for-office-to-residential-conversion-project-in-san-jose/
2026-05-19,20260519-101015-3b20d522,CARD-20260519-014,Distress,construction loan gap,Medium,57,New York,Affordable Housing,Unknown,Construction Financing,"Track potential rescue capital, debt recapitalization, or capital partner opening",Monitor for repeated distress signals,distress_watchlist_report.md,https://commercialobserver.com/2026/05/merchants-capital-new-york-city-42m-brooklyn-affordable-housing/
2026-05-19,20260519-101015-3b20d522,CARD-20260519-015,Distress,construction loan gap,Medium,56,Other / Unknown,Affordable Housing,Unknown,Construction Financing,"Track potential rescue capital, debt recapitalization, or capital partner opening",Monitor for repeated distress signals,distress_watchlist_report.md,https://la.urbanize.city/post/cypress-equity-investments-gets-170m-loan-two-santa-monica-projects
2026-05-19,20260519-101015-3b20d522,CARD-20260519-025,GP Watch,High Street Residential,Medium,55,Other / Unknown,Apartment,High Street Residential,California / LA strategic positioning,Capital market and pricing discovery reference,Review LA / California development activity,gp_watchlist_report.md,
2026-05-19,20260519-101015-3b20d522,CARD-20260519-031,Entitlement Watch,Entitlement Approval,Medium,48,Other / Unknown,Multifamily,Unknown,General regulatory watch,Entitlement and permitting can affect site timing and execution risk.,Track construction-ready pipeline and comparable sponsor execution,entitlement_intelligence_report.md,https://eyeonhousing.org/2025/10/builders-stay-cautious-as-single-family-permits-weaken/
