run_date,run_id,watchlist_category,item_name,market,residential_sector,gp_or_developer,score,priority_label,status_or_stage,signal_quality_label,recommended_follow_up,source_report
2026-05-19,20260519-101015-3b20d522,Capital Flow,CBRE,Other / Unknown,Multifamily,Unknown,100,No Clear Stress,Stable,,Stable capital pattern,capital_flow_report.md
2026-05-19,20260519-101015-3b20d522,Capital Flow,California,Other / Unknown,Student Housing,Unknown,100,No Clear Stress,Fading,,Capital flow fading,capital_flow_report.md
2026-05-19,20260519-101015-3b20d522,Capital Flow,California,Other / Unknown,Affordable Housing,Unknown,100,No Clear Stress,Stable,,Stable capital pattern,capital_flow_report.md
2026-05-19,20260519-101015-3b20d522,Capital Flow,California,Other / Unknown,Multifamily,Unknown,100,No Clear Stress,Fading,,Capital flow fading,capital_flow_report.md
2026-05-19,20260519-101015-3b20d522,LA Assets,Development Start - California - California Transforms Oakland’s Fruitvale Community with Cleanup of Polluted Land for Affo...,Los Angeles,Affordable Housing,Unknown,98,High relevance to Woomi site strategy,Site Search / Early Signal,,"Review parcel clue, entitlement path, sponsor, and comparable sites",la_asset_watch_report.md
2026-05-19,20260519-101015-3b20d522,LA Assets,General Project Signal - Sun Belt - Grand Opening Celebration for Affordable Housing Development Palladium Park Row in the Kat...,Los Angeles,Affordable Housing,Unknown,97,High relevance to Woomi site strategy,Unknown,,"Track entitlement docket, density bonus use, and affordability requirement",la_asset_watch_report.md
2026-05-19,20260519-101015-3b20d522,High Confidence Signals,JLL Capital Markets Announced They Arranged a $141.8M Refinancing for Premier Luxury Riverfront Multifamily Tower Wolf Point West in Chicago,New York,Multifamily,Hines,96,Priority Asset Watch,Refinancing / Recapitalization,Strong Institutional Signal,Review immediately,high_confidence_watchlist_report.md
2026-05-19,20260519-101015-3b20d522,High Confidence Signals,"Disposition / Exit - Los Angeles - Quarterra Seeks Buyers For Almost 4,000 Apartments",California,Apartment,Quarterra,91,Priority Asset Watch,Unknown Stage,Strong Institutional Signal,Review immediately,high_confidence_watchlist_report.md
2026-05-19,20260519-101015-3b20d522,Opportunities,LA / California Entitlement Opportunity,Los Angeles,Apartment,Quarterra,91,Immediate Opportunity Watch,LA / California Entitlement Opportunity,,Add to executive opportunity review,opportunity_radar_report.md
2026-05-19,20260519-101015-3b20d522,High Confidence Signals,Office-to-Residential Conversion - California - Silicon Valley Initiative Partnership Receives $74.1M in Financing for Office-to-Residenti...,California,Office-to-Residential Conversion,Unknown,90,Priority Asset Watch,Site Acquisition / Site Control,Strong Institutional Signal,Review immediately,high_confidence_watchlist_report.md
2026-05-19,20260519-101015-3b20d522,LA Assets,Office-to-Residential Conversion - California - Silicon Valley Initiative Partnership Receives $74.1M in Financing for Office-to-Residenti...,Los Angeles,Office-to-Residential Conversion,Unknown,90,High relevance to Woomi site strategy,Unknown,,"Review parcel clue, entitlement path, sponsor, and comparable sites",la_asset_watch_report.md
2026-05-19,20260519-101015-3b20d522,LA Assets,96 apartments + retail proposed at 8871 W. Venice Blvd.,Los Angeles,Mixed-Use Residential,Unknown,90,High relevance to Woomi site strategy,Unknown,,"Review parcel clue, entitlement path, sponsor, and comparable sites",la_asset_watch_report.md
2026-05-19,20260519-101015-3b20d522,LA Assets,New proposal emerges for affordable housing at 1316 Linwood Ave. in Westlake,Los Angeles,Affordable Housing,Unknown,90,High relevance to Woomi site strategy,Unknown,,"Review parcel clue, entitlement path, sponsor, and comparable sites",la_asset_watch_report.md
2026-05-19,20260519-101015-3b20d522,LA Assets,Site prep underway for affordable housing at 4301 S. Vermont Ave.,Los Angeles,Affordable Housing,Unknown,90,High relevance to Woomi site strategy,Site Search / Early Signal,,"Review parcel clue, entitlement path, sponsor, and comparable sites",la_asset_watch_report.md
2026-05-19,20260519-101015-3b20d522,Opportunities,Refinancing Gap,New York,Multifamily,Hines,89,Immediate Opportunity Watch,Refinancing Gap,,Add to executive opportunity review,opportunity_radar_report.md
2026-05-19,20260519-101015-3b20d522,High Confidence Signals,"Office-to-Residential Conversion - Sun Belt - JLL Inks 70,000 SF of New Leases at Westside Paper Adaptive Reuse Development in Atlanta",Sun Belt,Office-to-Residential Conversion,Unknown,88,Priority Asset Watch,Site Acquisition / Site Control,Strong Institutional Signal,Review immediately,high_confidence_watchlist_report.md
2026-05-19,20260519-101015-3b20d522,High Confidence Signals,Ares Acquires Stake in Rover Pipeline from Blackstone Energy Transition Partners to Serve Growing Energy Demand Centers Across North America,New York,General Residential,Blackstone,88,Priority Asset Watch,Unknown Stage,Strong Institutional Signal,Review immediately,high_confidence_watchlist_report.md
2026-05-19,20260519-101015-3b20d522,High Confidence Signals,"Acquisition - Sun Belt - 11North Acquires 285,497 SF Grocery-Anchored Retail Center in Altamonte Springs, Florida",Sun Belt,General Residential,Unknown,88,Priority Asset Watch,Site Acquisition / Site Control,Strong Institutional Signal,Review immediately,high_confidence_watchlist_report.md
2026-05-19,20260519-101015-3b20d522,High Confidence Signals,General Project Signal - Sun Belt - Grand Opening Celebration for Affordable Housing Development Palladium Park Row in the Kat...,Sun Belt,Affordable Housing,Unknown,87,Priority Asset Watch,Delivery / Opening,Strong Institutional Signal,Review immediately,high_confidence_watchlist_report.md
2026-05-19,20260519-101015-3b20d522,Source Activation,REBusiness Online,Other / Unknown,General Residential,Unknown,87,Production Source,Working,,Working,source_activation_report.md
2026-05-19,20260519-101015-3b20d522,High Confidence Signals,Disposition / Exit - Los Angeles - Walker & Dunlop Offer High-Profile Ground-Up Mixed-Use Development Opportunity Adjacent to...,California,Mixed-Use Residential,Unknown,86,Priority Asset Watch,Site Acquisition / Site Control,Strong Institutional Signal,Review immediately,high_confidence_watchlist_report.md
2026-05-19,20260519-101015-3b20d522,High Confidence Signals,"Construction Financing - New York - Merchants Capital, New York City Provide $42M for Brooklyn Affordable Housing",New York,Affordable Housing,Unknown,86,Priority Asset Watch,Refinancing / Recapitalization,Strong Institutional Signal,Review immediately,high_confidence_watchlist_report.md
2026-05-19,20260519-101015-3b20d522,High Confidence Signals,"Merchants Capital, New York City Provide $42M for Brooklyn Affordable Housing",New York,Apartment,Unknown,86,Priority Asset Watch,Refinancing / Recapitalization,Strong Institutional Signal,Review immediately,high_confidence_watchlist_report.md
2026-05-19,20260519-101015-3b20d522,Source Activation,Urbanize LA,Other / Unknown,General Residential,Unknown,84,Production Source,Working,,Working,source_activation_report.md
2026-05-19,20260519-101015-3b20d522,Source Activation,Yield PRO,Other / Unknown,General Residential,Unknown,84,Production Source,Working,,Working,source_activation_report.md
2026-05-19,20260519-101015-3b20d522,Market Entry,New York,New York,General Residential,Unknown,79,Selective Entry Window,Monitor refinancing and distress pipeline,,Monitor refinancing and distress pipeline,market_entry_window_report.md
2026-05-19,20260519-101015-3b20d522,Opportunities,LA / California Entitlement Opportunity,Other / Unknown,Apartment,Camden Property Trust,78,Strategic Opportunity Watch,LA / California Entitlement Opportunity,,"Review entitlement, zoning, permitting, and local sponsor context",opportunity_radar_report.md
2026-05-19,20260519-101015-3b20d522,Lifecycle,Development Start - Los Angeles - The Broad's $100M expansion tops out in DTLA,California,General Residential,Unknown,78,Relevant to construction timing,Vertical Construction,,Monitor for another run to confirm lifecycle direction,lifecycle_transition_report.md
2026-05-19,20260519-101015-3b20d522,Lifecycle,General Project Signal - Sun Belt - Grand Opening Celebration for Affordable Housing Development Palladium Park Row in the Kat...,Sun Belt,Affordable Housing,Unknown,77,Relevant to construction timing,Delivery / Opening,,"Use as delivery, lease-up, and underwriting benchmark",lifecycle_transition_report.md
2026-05-19,20260519-101015-3b20d522,Lifecycle,"JV / Partnership - Los Angeles - Lendlease, Aware Super Open Habitat Mixed-Use Campus in Los Angeles",California,Mixed-Use Residential,Unknown,77,Relevant to construction timing,Delivery / Opening,,"Use as delivery, lease-up, and underwriting benchmark",lifecycle_transition_report.md
2026-05-19,20260519-101015-3b20d522,Lifecycle,"Lendlease, Aware Super Open Habitat Mixed-Use Campus in Los Angeles",California,Mixed-Use Residential,Unknown,77,Relevant to construction timing,Delivery / Opening,,"Use as delivery, lease-up, and underwriting benchmark",lifecycle_transition_report.md
2026-05-19,20260519-101015-3b20d522,Lifecycle,Development Start - Other / Unknown - Major Development Groundbreaking on Landmark Multifamily Mixed-Use Community The Piazza at...,Unknown,Mixed-Use Residential,Unknown,76,Relevant to construction timing,Construction Started,,Monitor for another run to confirm lifecycle direction,lifecycle_transition_report.md
2026-05-19,20260519-101015-3b20d522,GP Watchlist,Quarterra,Los Angeles,Apartment,Quarterra,75,Tier 2 High Potential GP,Accelerating,,Review LA / California development activity,gp_watchlist_report.md
2026-05-19,20260519-101015-3b20d522,Lifecycle,Major Development Groundbreaking on Landmark Multifamily Mixed-Use Community The Piazza at Ardmore in Philadelphia,Other / Unknown,Mixed-Use Residential,Unknown,75,Relevant to construction timing,Construction Started,,Monitor for another run to confirm lifecycle direction,lifecycle_transition_report.md
2026-05-19,20260519-101015-3b20d522,Source Activation,SF YIMBY,Other / Unknown,General Residential,Unknown,74,High Value Source,Working,,Working,source_activation_report.md
2026-05-19,20260519-101015-3b20d522,Source Activation,Commercial Observer,Other / Unknown,General Residential,Unknown,73,High Value Source,Working,,Working,source_activation_report.md
2026-05-19,20260519-101015-3b20d522,Opportunities,GP Capability Partnership Opportunity,New York,General Residential,Blackstone,72,Strategic Opportunity Watch,GP Capability Partnership Opportunity,,"Map GP, capital partner, and relationship history",opportunity_radar_report.md
2026-05-19,20260519-101015-3b20d522,Source Activation,NAHB Eye on Housing - Multifamily,Other / Unknown,General Residential,Unknown,70,High Value Source,Working,,Working,source_activation_report.md
2026-05-19,20260519-101015-3b20d522,Market Entry,Los Angeles,Los Angeles,General Residential,Unknown,69,Selective Entry Window,Track entitlement / permitting pipeline,,Track entitlement / permitting pipeline,market_entry_window_report.md
2026-05-19,20260519-101015-3b20d522,Opportunities,LA / California Entitlement Opportunity,California,Office-to-Residential Conversion,Unknown,67,Strategic Opportunity Watch,LA / California Entitlement Opportunity,,"Review entitlement, zoning, permitting, and local sponsor context",opportunity_radar_report.md
2026-05-19,20260519-101015-3b20d522,Opportunities,LA / California Entitlement Opportunity,Los Angeles,Affordable Housing,Unknown,67,Strategic Opportunity Watch,LA / California Entitlement Opportunity,,"Review entitlement, zoning, permitting, and local sponsor context",opportunity_radar_report.md
2026-05-19,20260519-101015-3b20d522,Distress,refinancing stress,New York,Multifamily,Hines,67,High Distress Watch,refinancing stress,,"Track debt maturity, lender exposure, sponsor stress, and recapitalization options",distress_watchlist_report.md
2026-05-19,20260519-101015-3b20d522,Lifecycle,Acquisition - Sun Belt - Milburn & Company Acquires Luxury 339-Unit Multifamily Community Ascend at Longbow Highpoi...,Sun Belt,Multifamily,Unknown,67,Relevant to construction timing,Delivery / Opening,,"Use as delivery, lease-up, and underwriting benchmark",lifecycle_transition_report.md
2026-05-19,20260519-101015-3b20d522,Opportunities,JV / Partnership Gap,Los Angeles,Mixed-Use Residential,Unknown,66,Strategic Opportunity Watch,JV / Partnership Gap,,"Map GP, capital partner, and relationship history",opportunity_radar_report.md
2026-05-19,20260519-101015-3b20d522,Opportunities,LA / California Entitlement Opportunity,California,Affordable Housing,Unknown,66,Strategic Opportunity Watch,LA / California Entitlement Opportunity,,"Review entitlement, zoning, permitting, and local sponsor context",opportunity_radar_report.md
2026-05-19,20260519-101015-3b20d522,Opportunities,LA / California Entitlement Opportunity,Los Angeles,Mixed-Use Residential,Unknown,66,Strategic Opportunity Watch,LA / California Entitlement Opportunity,,"Review entitlement, zoning, permitting, and local sponsor context",opportunity_radar_report.md
2026-05-19,20260519-101015-3b20d522,Opportunities,Refinancing Gap,New York,Apartment,Unknown,66,Strategic Opportunity Watch,Refinancing Gap,,"Track debt stack, maturity, lender, and recapitalization details",opportunity_radar_report.md
2026-05-19,20260519-101015-3b20d522,GP Watchlist,Camden Property Trust,Other / Unknown,Apartment,Camden Property Trust,66,Tier 3 Monitoring GP,Improving,,Review LA / California development activity,gp_watchlist_report.md
2026-05-19,20260519-101015-3b20d522,GP Watchlist,Hines,New York,Multifamily,Hines,65,Tier 3 Monitoring GP,Improving,,Track JV and capital partner activity,gp_watchlist_report.md
2026-05-19,20260519-101015-3b20d522,Lifecycle,General Project Signal - Other / Unknown - Multifamily Absorption Rate Remains Below 50%,Unknown,Apartment,Unknown,65,Relevant to construction timing,Delivery / Opening,,"Use as delivery, lease-up, and underwriting benchmark",lifecycle_transition_report.md
2026-05-19,20260519-101015-3b20d522,Distress,refinancing stress,New York,Apartment,Unknown,63,High Distress Watch,refinancing stress,,"Track debt maturity, lender exposure, sponsor stress, and recapitalization options",distress_watchlist_report.md
2026-05-19,20260519-101015-3b20d522,Lifecycle,Cypress Equity Investments gets $170M loan for two Santa Monica projects,Other / Unknown,Affordable Housing,Unknown,63,Relevant to refinancing / recap timing,Refinancing / Recapitalization,,"Track maturity, lender, recapitalization need, and potential JV angle",lifecycle_transition_report.md
2026-05-19,20260519-101015-3b20d522,Market Entry,California,California,General Residential,Unknown,61,Early Signal / Prepare,Track entitlement / permitting pipeline,,Track entitlement / permitting pipeline,market_entry_window_report.md
2026-05-19,20260519-101015-3b20d522,Market Entry,National / Other,National / Other,General Residential,Unknown,61,Early Signal / Prepare,Monitor refinancing and distress pipeline,,Monitor refinancing and distress pipeline,market_entry_window_report.md
2026-05-19,20260519-101015-3b20d522,Distress,refinancing stress,New York,Affordable Housing,Unknown,60,High Distress Watch,refinancing stress,,"Track debt maturity, lender exposure, sponsor stress, and recapitalization options",distress_watchlist_report.md
2026-05-19,20260519-101015-3b20d522,Source Activation,Multifamily Dive,Other / Unknown,General Residential,Unknown,60,High Value Source,Working,,Working,source_activation_report.md
2026-05-19,20260519-101015-3b20d522,GP Watchlist,Blackstone,New York,General Residential,Blackstone,58,Tier 3 Monitoring GP,Accelerating,,Track JV and capital partner activity,gp_watchlist_report.md
2026-05-19,20260519-101015-3b20d522,Distress,construction loan gap,New York,Affordable Housing,Unknown,57,Monitor,construction loan gap,,Monitor for repeated distress signals,distress_watchlist_report.md
2026-05-19,20260519-101015-3b20d522,Entitlement,Silicon Valley Initiative Partnership Receives $74.1M in Financing for Office-to-Residential Conversion Project in San Jose,California,Office-to-Residential Conversion,Unknown,57,General entitlement monitoring,Unknown Stage,,"Track local planning filings, approval body, sponsor, and entitlement precedent",entitlement_intelligence_report.md
2026-05-19,20260519-101015-3b20d522,Lifecycle,Refinancing - New York - JLL Capital Markets Announced They Arranged a $141.8M Refinancing for Premier Luxury River...,New York,Multifamily,Hines,57,Relevant to refinancing / recap timing,Refinancing / Recapitalization,,"Track maturity, lender, recapitalization need, and potential JV angle",lifecycle_transition_report.md
2026-05-19,20260519-101015-3b20d522,Distress,construction loan gap,Other / Unknown,Affordable Housing,Unknown,56,Monitor,construction loan gap,,Monitor for repeated distress signals,distress_watchlist_report.md
2026-05-19,20260519-101015-3b20d522,Market Entry,Sun Belt,Sun Belt,General Residential,Unknown,56,Early Signal / Prepare,Prepare GP conversations,,Prepare GP conversations,market_entry_window_report.md
2026-05-19,20260519-101015-3b20d522,Source Activation,Blackstone Real Estate,Other / Unknown,General Residential,Unknown,56,Validation Candidate,Working,,Working,source_activation_report.md
2026-05-19,20260519-101015-3b20d522,GP Watchlist,High Street Residential,Other / Unknown,Apartment,High Street Residential,55,Tier 3 Monitoring GP,Improving,,Review LA / California development activity,gp_watchlist_report.md
2026-05-19,20260519-101015-3b20d522,Source Activation,Bisnow,Other / Unknown,General Residential,Unknown,54,Validation Candidate,Working,,Working,source_activation_report.md
2026-05-19,20260519-101015-3b20d522,Entitlement,Entitlement / Permitting - Other / Unknown - Builders Stay Cautious as Single-Family Permits Weaken,Other / Unknown,Multifamily,Unknown,48,General entitlement monitoring,Unknown Stage,,Track construction-ready pipeline and comparable sponsor execution,entitlement_intelligence_report.md
2026-05-19,20260519-101015-3b20d522,Entitlement,"Entitlement / Permitting - California - Demolition Permits Filed For 772 Pacific Avenue in Chinatown, San Francisco",California,Affordable Housing,Unknown,45,General entitlement monitoring,Early Planning,,"Track local planning filings, approval body, sponsor, and entitlement precedent",entitlement_intelligence_report.md
2026-05-19,20260519-101015-3b20d522,Entitlement,"Entitlement / Permitting - California - Formal Application Filed For Outer Richmond Safeway Redevelopment, San Francisco",California,Affordable Housing,Unknown,45,General entitlement monitoring,Early Planning,,"Track local planning filings, approval body, sponsor, and entitlement precedent",entitlement_intelligence_report.md
2026-05-19,20260519-101015-3b20d522,Entitlement,Entitlement / Permitting - Los Angeles - 96 apartments + retail proposed at 8871 W. Venice Blvd.,Los Angeles,Mixed-Use Residential,Unknown,45,General entitlement monitoring,Early Planning,,"Track local planning filings, approval body, sponsor, and entitlement precedent",entitlement_intelligence_report.md
2026-05-19,20260519-101015-3b20d522,Entitlement,Entitlement / Permitting - Los Angeles - Site prep underway for affordable housing at 4301 S. Vermont Ave.,Los Angeles,Affordable Housing,Unknown,45,General entitlement monitoring,Unknown Stage,,"Track local planning filings, approval body, sponsor, and entitlement precedent",entitlement_intelligence_report.md
2026-05-19,20260519-101015-3b20d522,Source Activation,Blackstone Real Estate Source Expansion,Other / Unknown,General Residential,Unknown,45,Validation Candidate,Working,,Working,source_activation_report.md
2026-05-19,20260519-101015-3b20d522,Entitlement,"Office-to-Residential Conversion - Sun Belt - JLL Inks 70,000 SF of New Leases at Westside Paper Adaptive Reuse Development in Atlanta",Sun Belt,Office-to-Residential Conversion,Unknown,42,General entitlement monitoring,Unknown Stage,,"Review office conversion feasibility, policy support, and local sponsor activity",entitlement_intelligence_report.md
2026-05-19,20260519-101015-3b20d522,Entitlement,Entitlement / Permitting - Other / Unknown - High Street Residential and Camden Property Trust Advance Durham North Carolina Apartment...,Other / Unknown,Apartment,Camden Property Trust,35,Low relevance,Unknown Stage,,Track construction-ready pipeline and comparable sponsor execution,entitlement_intelligence_report.md
2026-05-19,20260519-101015-3b20d522,Entitlement,"Struggling To Find Equity, Developers Pull Back On New Builds",Sun Belt,Multifamily,Unknown,30,Relevant to US residential developer capability,Under Review,,"Monitor CEQA timeline, appeals, and environmental review milestones",entitlement_intelligence_report.md
2026-05-19,20260519-101015-3b20d522,Entitlement,High Street Residential and Camden Property Trust Advance Durham North Carolina Apartment Community Toward Construction,Other / Unknown,Apartment,Unknown,30,General entitlement monitoring,Unknown Stage,,Monitor entitlement status for repeated confirmation,entitlement_intelligence_report.md
2026-05-19,20260519-101015-3b20d522,Market Entry,Florida,Florida,General Residential,Unknown,29,Not Attractive Now,Monitor only,,Monitor only,market_entry_window_report.md
2026-05-19,20260519-101015-3b20d522,Market Entry,Texas,Texas,General Residential,Unknown,29,Not Attractive Now,Monitor only,,Monitor only,market_entry_window_report.md
2026-05-19,20260519-101015-3b20d522,Market Entry,Seattle,Seattle,General Residential,Unknown,8,Not Attractive Now,Monitor only,,Monitor only,market_entry_window_report.md
