run_date,run_id,run_timestamp,submarket_name,parent_market,article_count,deal_count,entitlement_signal_count,opportunity_count,distress_signal_count,timing_signal_count,dominant_residential_sector,dominant_deal_type,dominant_entitlement_signal,site_strategy_theme,submarket_opportunity_score,submarket_risk_score,execution_complexity_score,woomi_site_strategy_relevance,recommended_submarket_action,key_evidence
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Houston,Texas,1,1,0,1,0,0,Affordable Housing,General Project Signal,General Entitlement Signal,Transit-oriented development,43,0,20,General monitoring,Monitor only,General Project Signal - Sun Belt - Grand Opening Celebration for Affordable Housing Development Palladium Park Row in the Kat...; Grand Opening Celebration for Affordable Housing Development Palladium Park Row in the Katy Area of Houston
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,San Francisco,National / Other,0,1,1,0,0,0,Affordable Housing,Entitlement / Permitting,Entitlement Approval,General submarket monitoring,31,11,20,General monitoring,Monitor entitlement precedent,"Entitlement / Permitting - California - Formal Application Filed For Outer Richmond Safeway Redevelopment, San Francisco"
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Culver City,Los Angeles,1,0,0,0,0,0,Mixed-Use Residential,General Project Signal,General Entitlement Signal,Mixed-use corridor,12,0,30,Low relevance,Monitor only,96 apartments + retail proposed at 8871 W. Venice Blvd.
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Downtown Los Angeles,Los Angeles,1,0,0,0,0,0,General Residential,General Project Signal,General Entitlement Signal,Downtown infill,12,0,30,Low relevance,Monitor only,The Broad's $100M expansion tops out in DTLA
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Wilshire,Los Angeles,2,0,0,0,0,0,Affordable Housing,General Project Signal,General Entitlement Signal,Mixed-use corridor,12,0,30,Low relevance,Monitor only,Cypress Equity Investments gets $170M loan for two Santa Monica projects; Soaring above the 17-acre One Beverly Hills site
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Austin,Texas,1,1,0,0,0,0,Multifamily,Acquisition,General Entitlement Signal,General submarket monitoring,8,0,20,Low relevance,Monitor only,Acquisition - Sun Belt - Milburn & Company Acquires Luxury 339-Unit Multifamily Community Ascend at Longbow Highpoi...; Milburn & Company Acquires Luxury 339-Unit Multifamily Community Ascend at Longbow Highpoint in Mesa
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Miami,Florida,1,1,0,0,0,0,Mixed-Use Residential,General Project Signal,General Entitlement Signal,General submarket monitoring,8,0,20,Low relevance,Monitor only,13th Floor Secures $47M Loan and Breaks Ground on 222-Unit Venture on the Trail Multifamily Development in Greenville South Carolina; General Project Signal - Sun Belt - 13th Floor Secures $47M Loan and Breaks Ground on 222-Unit Venture on the Trail Multifamil...
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Orlando,Florida,1,1,0,0,0,0,General Residential,Acquisition,General Entitlement Signal,General submarket monitoring,8,0,20,Low relevance,Monitor only,"11North Acquires 285,497 SF Grocery-Anchored Retail Center in Altamonte Springs, Florida; Acquisition - Sun Belt - 11North Acquires 285,497 SF Grocery-Anchored Retail Center in Altamonte Springs, Florida"
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,San Diego,National / Other,0,1,0,0,0,0,General Residential,Disposition / Exit,General Entitlement Signal,General submarket monitoring,8,0,20,Low relevance,Monitor only,Disposition / Exit - California - Southern Land Company Launches Mortgage Division
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Southern California,National / Other,0,1,0,0,0,0,Apartment,Disposition / Exit,General Entitlement Signal,General submarket monitoring,8,0,20,Low relevance,Track local GP / sponsor activity,"Disposition / Exit - Los Angeles - Quarterra Seeks Buyers For Almost 4,000 Apartments"
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Nashville,Southeast,1,0,0,0,0,0,General Residential,General Project Signal,General Entitlement Signal,General submarket monitoring,0,0,20,Low relevance,Monitor only,Southern Land Company Launches Mortgage Division
