run_date,run_id,run_timestamp,deal_fingerprint_id,duplicate_cluster_id,fingerprint_confidence,canonical_project_name,canonical_deal_name,canonical_event_name,deal_type,market,residential_sector,canonical_gp_or_developer,canonical_lender_or_debt_provider,unit_count,dollar_amount,loan_amount,source_count,article_count,duplicate_count,sources,article_titles,markets_detected,highest_deal_signal_score
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,DFP-8FE3CCA55B,DCL-20260519-011,65,Construction Financing - Other / Unknown - Cypress Equity Investments gets $170M loan for two Santa Monica projects,Construction Financing - Construction Financing - Other / Unknown - Cypress Equity Investments gets $170M loan for two Santa Monica projects,Construction Financing - Unknown - Other / Unknown,Construction Financing,Other / Unknown,Affordable Housing,Unknown,Unknown,600 apartments,$170M; $170M; $170,$170M,1,1,1,Urbanize LA,Cypress Equity Investments gets $170M loan for two Santa Monica projects,Other / Unknown,65
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,DFP-94DB6C92EC,DCL-20260519-008,65,Development Start - California - California Transforms Oakland’s Fruitvale Community with Cleanup of Polluted Land for Affo...,Development Start - Development Start - California - California Transforms Oakland’s Fruitvale Community with Cleanup of Polluted Land for Affo...,Development Start - Unknown - California,Development Start,California,Affordable Housing,Unknown,Unknown,22 apartments,,,1,1,1,Yield PRO,California Transforms Oakland’s Fruitvale Community with Cleanup of Polluted Land for Affordable Housing,California,71
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,DFP-042A2574DE,DCL-20260519-019,65,Development Start - Los Angeles - The Broad's $100M expansion tops out in DTLA,Development Start - Development Start - Los Angeles - The Broad's $100M expansion tops out in DTLA,Development Start - Unknown - Los Angeles,Development Start,Los Angeles,General Residential,Unknown,Unknown,,$100M; $100M; $100,,1,1,1,Urbanize LA,The Broad's $100M expansion tops out in DTLA,Los Angeles,56
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,DFP-5DBE6B5616,DCL-20260519-017,65,Disposition / Exit - Los Angeles - Walker & Dunlop Offer High-Profile Ground-Up Mixed-Use Development Opportunity Adjacent to...,Disposition / Exit - Disposition / Exit - Los Angeles - Walker & Dunlop Offer High-Profile Ground-Up Mixed-Use Development Opportunity Adjacent to...,Disposition / Exit - Unknown - Los Angeles,Disposition / Exit,Los Angeles,Mixed-Use Residential,Unknown,walker & dunlop,,,,1,1,1,Yield PRO,Walker & Dunlop Offer High-Profile Ground-Up Mixed-Use Development Opportunity Adjacent to USC Los Angeles,Los Angeles,58
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,DFP-E5C1F3D551,DCL-20260519-005,65,Entitlement / Permitting - Los Angeles - 96 apartments + retail proposed at 8871 W. Venice Blvd.,Entitlement / Permitting - Entitlement / Permitting - Los Angeles - 96 apartments + retail proposed at 8871 W. Venice Blvd.,Entitlement / Permitting - Unknown - Los Angeles,Entitlement / Permitting,Los Angeles,Mixed-Use Residential,Unknown,Unknown,96 apartments,,,1,1,1,Urbanize LA,96 apartments + retail proposed at 8871 W. Venice Blvd.,Los Angeles,73
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,DFP-1DCE0BE63E,DCL-20260519-006,65,Entitlement / Permitting - Los Angeles - Site prep underway for affordable housing at 4301 S. Vermont Ave.,Entitlement / Permitting - Entitlement / Permitting - Los Angeles - Site prep underway for affordable housing at 4301 S. Vermont Ave.,Entitlement / Permitting - Unknown - Los Angeles,Entitlement / Permitting,Los Angeles,Affordable Housing,Unknown,Unknown,,$35,$35,1,1,1,Urbanize LA,Site prep underway for affordable housing at 4301 S. Vermont Ave.,Los Angeles,73
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,DFP-D23B30B939,DCL-20260519-015,65,General Project Signal - Los Angeles - New proposal emerges for affordable housing at 1316 Linwood Ave. in Westlake,General Project Signal - General Project Signal - Los Angeles - New proposal emerges for affordable housing at 1316 Linwood Ave. in Westlake,General Project Signal - Unknown - Los Angeles,General Project Signal,Los Angeles,Affordable Housing,Unknown,Unknown,150 units,,,1,1,1,Urbanize LA,New proposal emerges for affordable housing at 1316 Linwood Ave. in Westlake,Los Angeles,63
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,DFP-151B6BFC0E,DCL-20260519-024,65,"General Project Signal - Los Angeles - Taylor Yard wetland takes shape, General Hospital update, and more","General Project Signal - General Project Signal - Los Angeles - Taylor Yard wetland takes shape, General Hospital update, and more",General Project Signal - Unknown - Los Angeles,General Project Signal,Los Angeles,Mixed-Use Residential,Unknown,Unknown,,$2.9 million; $25 million,,1,1,1,Urbanize LA,"Taylor Yard wetland takes shape, General Hospital update, and more",Los Angeles,49
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,DFP-F1AB7E0BEA,DCL-20260519-028,65,General Project Signal - Los Angeles - Soaring above the 17-acre One Beverly Hills site,General Project Signal - General Project Signal - Los Angeles - Soaring above the 17-acre One Beverly Hills site,General Project Signal - Unknown - Los Angeles,General Project Signal,Los Angeles,General Residential,Unknown,Unknown,,$10; $10,,1,1,1,Urbanize LA,Soaring above the 17-acre One Beverly Hills site,Los Angeles,46
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,DFP-D6F2B10DF2,DCL-20260519-020,65,General Project Signal - Sun Belt - 13th Floor Secures $47M Loan and Breaks Ground on 222-Unit Venture on the Trail Multifamil...,General Project Signal - General Project Signal - Sun Belt - 13th Floor Secures $47M Loan and Breaks Ground on 222-Unit Venture on the Trail Multifamil...,General Project Signal - Unknown - Sun Belt,General Project Signal,Sun Belt,Mixed-Use Residential,Unknown,Unknown,,$47M; $47m,$47M,1,1,1,Yield PRO,13th Floor Secures $47M Loan and Breaks Ground on 222-Unit Venture on the Trail Multifamily Development in Greenville South Carolina,Sun Belt,54
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,DFP-24D7ED898F,DCL-20260519-021,65,General Project Signal - Sun Belt - Grand Opening Celebration for Affordable Housing Development Palladium Park Row in the Kat...,General Project Signal - General Project Signal - Sun Belt - Grand Opening Celebration for Affordable Housing Development Palladium Park Row in the Kat...,General Project Signal - Unknown - Sun Belt,General Project Signal,Sun Belt,Affordable Housing,Unknown,Unknown,,$33 million; $33 million,,1,1,1,Yield PRO,Grand Opening Celebration for Affordable Housing Development Palladium Park Row in the Katy Area of Houston,Sun Belt,54
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,DFP-76755E00AE,DCL-20260519-007,65,"JV / Partnership - Los Angeles - Lendlease, Aware Super Open Habitat Mixed-Use Campus in Los Angeles","JV / Partnership - JV / Partnership - Los Angeles - Lendlease, Aware Super Open Habitat Mixed-Use Campus in Los Angeles",JV / Partnership - Unknown - Los Angeles,JV / Partnership,Los Angeles,Mixed-Use Residential,Unknown,Unknown,260 apartments,,,1,1,1,REBusiness Online,"Lendlease, Aware Super Open Habitat Mixed-Use Campus in Los Angeles",Los Angeles,72
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,DFP-B6B185818D,DCL-20260519-023,65,"Office-to-Residential Conversion - Sun Belt - JLL Inks 70,000 SF of New Leases at Westside Paper Adaptive Reuse Development in Atlanta","Office-to-Residential Conversion - Office-to-Residential Conversion - Sun Belt - JLL Inks 70,000 SF of New Leases at Westside Paper Adaptive Reuse Development in Atlanta",Office-to-Residential Conversion - Unknown - Sun Belt,Office-to-Residential Conversion,Sun Belt,Office-to-Residential Conversion,Unknown,JLL,,,,1,1,1,REBusiness Online,"JLL Inks 70,000 SF of New Leases at Westside Paper Adaptive Reuse Development in Atlanta",Sun Belt,50
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,DFP-B423548E0E,DCL-20260519-014,65,Refinancing - New York - Dermot Co. Receives $355M Loan for Refinancing of Upper Manhattan Apartment Tower,Refinancing - Refinancing - New York - Dermot Co. Receives $355M Loan for Refinancing of Upper Manhattan Apartment Tower,Refinancing - Unknown - New York,Refinancing,New York,Affordable Housing,Unknown,Unknown,,$355M; $355M; $3 ,$355M,1,1,1,REBusiness Online,Dermot Co. Receives $355M Loan for Refinancing of Upper Manhattan Apartment Tower,New York,65
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,DFP-F91931423B,DCL-20260519-013,60,Entitlement / Permitting - Other / Unknown - High Street Residential and Camden Property Trust Advance Durham North Carolina Apartment...,Entitlement / Permitting - Entitlement / Permitting - Other / Unknown - High Street Residential and Camden Property Trust Advance Durham North Carolina Apartment...,Entitlement / Permitting - Camden Property Trust - Other / Unknown,Entitlement / Permitting,Other / Unknown,Apartment,Camden Property Trust,Unknown,,,,1,1,1,Yield PRO,High Street Residential and Camden Property Trust Advance Durham North Carolina Apartment Community Toward Construction,Other / Unknown,65
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,DFP-FC4009DE78,DCL-20260519-022,55,"Development Start - Sun Belt - Struggling To Find Equity, Developers Pull Back On New Builds","Development Start - Development Start - Sun Belt - Struggling To Find Equity, Developers Pull Back On New Builds",Development Start - Unknown - Sun Belt,Development Start,Sun Belt,Multifamily,Unknown,Unknown,,,,1,1,1,Bisnow,"Struggling To Find Equity, Developers Pull Back On New Builds",Sun Belt,50
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,DFP-881AC4FB21,DCL-20260519-029,55,Disposition / Exit - California - Southern Land Company Launches Mortgage Division,Disposition / Exit - Disposition / Exit - California - Southern Land Company Launches Mortgage Division,Disposition / Exit - Unknown - California,Disposition / Exit,California,General Residential,Unknown,Unknown,,,,1,1,1,Commercial Observer,Southern Land Company Launches Mortgage Division,California,45
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,DFP-9F410DFCA7,DCL-20260519-026,55,"Entitlement / Permitting - California - Demolition Permits Filed For 772 Pacific Avenue in Chinatown, San Francisco","Entitlement / Permitting - Entitlement / Permitting - California - Demolition Permits Filed For 772 Pacific Avenue in Chinatown, San Francisco",Entitlement / Permitting - Unknown - California,Entitlement / Permitting,California,Affordable Housing,Unknown,Unknown,,,,1,1,1,SF YIMBY,"Demolition Permits Filed For 772 Pacific Avenue in Chinatown, San Francisco",California,47
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,DFP-7A232CDB3F,DCL-20260519-027,55,"Entitlement / Permitting - California - Formal Application Filed For Outer Richmond Safeway Redevelopment, San Francisco","Entitlement / Permitting - Entitlement / Permitting - California - Formal Application Filed For Outer Richmond Safeway Redevelopment, San Francisco",Entitlement / Permitting - Unknown - California,Entitlement / Permitting,California,Affordable Housing,Unknown,Unknown,,,,1,1,1,SF YIMBY,"Formal Application Filed For Outer Richmond Safeway Redevelopment, San Francisco",California,47
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,DFP-9BE950B8DB,DCL-20260519-032,55,General Project Signal - Other / Unknown - Walker & Dunlop Arranges Equity Syndication for Colorado Affordable Multifamily Community...,General Project Signal - General Project Signal - Other / Unknown - Walker & Dunlop Arranges Equity Syndication for Colorado Affordable Multifamily Community...,General Project Signal - Unknown - Other / Unknown,General Project Signal,Other / Unknown,Affordable Housing,Unknown,walker & dunlop,,,,1,1,1,Yield PRO,Walker & Dunlop Arranges Equity Syndication for Colorado Affordable Multifamily Community Verrbena in Denver,Other / Unknown,36
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,DFP-428AB2DAAB,DCL-20260519-041,45,BTR / Build-to-Rent - Other / Unknown - Build-to-rent sale mandate cut from House’s ROAD to Housing bill,BTR / Build-to-Rent - BTR / Build-to-Rent - Other / Unknown - Build-to-rent sale mandate cut from House’s ROAD to Housing bill,BTR / Build-to-Rent - Unknown - Other / Unknown,BTR / Build-to-Rent,Other / Unknown,BTR / Single-Family Rental,Unknown,Unknown,,,,1,1,1,Multifamily Dive,Build-to-rent sale mandate cut from House’s ROAD to Housing bill,Other / Unknown,24
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,DFP-2F6D8F65F6,DCL-20260519-030,45,Development Start - Other / Unknown - Missing Middle Weakness,Development Start - Development Start - Other / Unknown - Missing Middle Weakness,Development Start - Unknown - Other / Unknown,Development Start,Other / Unknown,Apartment,Unknown,Unknown,,,,1,1,1,NAHB Eye on Housing - Multifamily,Missing Middle Weakness,Other / Unknown,41
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,DFP-B90543DC0D,DCL-20260519-034,45,Development Start - Other / Unknown - Fourth Quarter 2025 Multifamily Construction Data,Development Start - Development Start - Other / Unknown - Fourth Quarter 2025 Multifamily Construction Data,Development Start - Unknown - Other / Unknown,Development Start,Other / Unknown,Multifamily,Unknown,Unknown,,,,1,1,1,NAHB Eye on Housing - Multifamily,Fourth Quarter 2025 Multifamily Construction Data,Other / Unknown,32
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,DFP-6508E5D9F9,DCL-20260519-035,45,Development Start - Other / Unknown - Major Development Groundbreaking on Landmark Multifamily Mixed-Use Community The Piazza at...,Development Start - Development Start - Other / Unknown - Major Development Groundbreaking on Landmark Multifamily Mixed-Use Community The Piazza at...,Development Start - Unknown - Other / Unknown,Development Start,Other / Unknown,Mixed-Use Residential,Unknown,Unknown,,,,1,1,1,Yield PRO,Major Development Groundbreaking on Landmark Multifamily Mixed-Use Community The Piazza at Ardmore in Philadelphia,Other / Unknown,32
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,DFP-929C698B57,DCL-20260519-036,45,Development Start - Other / Unknown - Overall Housing Starts Inch Lower in 2025,Development Start - Development Start - Other / Unknown - Overall Housing Starts Inch Lower in 2025,Development Start - Unknown - Other / Unknown,Development Start,Other / Unknown,Multifamily,Unknown,Unknown,,,,1,1,1,NAHB Eye on Housing - Multifamily,Overall Housing Starts Inch Lower in 2025,Other / Unknown,32
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,DFP-9635218EA1,DCL-20260519-037,45,Development Start - Other / Unknown - Third Quarter 2025 Multifamily Construction Data,Development Start - Development Start - Other / Unknown - Third Quarter 2025 Multifamily Construction Data,Development Start - Unknown - Other / Unknown,Development Start,Other / Unknown,Multifamily,Unknown,Unknown,,,,1,1,1,NAHB Eye on Housing - Multifamily,Third Quarter 2025 Multifamily Construction Data,Other / Unknown,32
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,DFP-1563B53CA0,DCL-20260519-040,45,Disposition / Exit - Other / Unknown - NAHB HBGI: Micro Markets Lone Bright Spot for Single-Family Building in Fourth Quarter,Disposition / Exit - Disposition / Exit - Other / Unknown - NAHB HBGI: Micro Markets Lone Bright Spot for Single-Family Building in Fourth Quarter,Disposition / Exit - Unknown - Other / Unknown,Disposition / Exit,Other / Unknown,Multifamily,Unknown,Unknown,,,,1,1,1,NAHB Eye on Housing - Multifamily,NAHB HBGI: Micro Markets Lone Bright Spot for Single-Family Building in Fourth Quarter,Other / Unknown,26
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,DFP-57A3A9A4F0,DCL-20260519-031,45,Entitlement / Permitting - Other / Unknown - Shorter Apartment Construction Time in 2024,Entitlement / Permitting - Entitlement / Permitting - Other / Unknown - Shorter Apartment Construction Time in 2024,Entitlement / Permitting - Unknown - Other / Unknown,Entitlement / Permitting,Other / Unknown,Apartment,Unknown,Unknown,,,,1,1,1,NAHB Eye on Housing - Multifamily,Shorter Apartment Construction Time in 2024,Other / Unknown,37
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,DFP-C96F67339E,DCL-20260519-033,45,Entitlement / Permitting - Other / Unknown - Builders Stay Cautious as Single-Family Permits Weaken,Entitlement / Permitting - Entitlement / Permitting - Other / Unknown - Builders Stay Cautious as Single-Family Permits Weaken,Entitlement / Permitting - Unknown - Other / Unknown,Entitlement / Permitting,Other / Unknown,Multifamily,Unknown,Unknown,,,,1,1,1,NAHB Eye on Housing - Multifamily,Builders Stay Cautious as Single-Family Permits Weaken,Other / Unknown,33
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,DFP-BE4F6DEBA7,DCL-20260519-038,45,"Entitlement / Permitting - Other / Unknown - Preliminary Permits Filed For 3350 West Bayshore Road, Palo Alto","Entitlement / Permitting - Entitlement / Permitting - Other / Unknown - Preliminary Permits Filed For 3350 West Bayshore Road, Palo Alto",Entitlement / Permitting - Unknown - Other / Unknown,Entitlement / Permitting,Other / Unknown,Apartment,Unknown,Unknown,,,,1,1,1,SF YIMBY,"Preliminary Permits Filed For 3350 West Bayshore Road, Palo Alto",Other / Unknown,32
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,DFP-AE0C2C64AA,DCL-20260519-039,45,General Project Signal - Other / Unknown - Multifamily Absorption Rate Remains Below 50%,General Project Signal - General Project Signal - Other / Unknown - Multifamily Absorption Rate Remains Below 50%,General Project Signal - Unknown - Other / Unknown,General Project Signal,Other / Unknown,Apartment,Unknown,Unknown,,,,1,1,1,NAHB Eye on Housing - Multifamily,Multifamily Absorption Rate Remains Below 50%,Other / Unknown,27
