run_date,run_id,timing_signal_id,timing_signal_type,market,residential_sector,gp_or_developer,lender_or_capital_provider,related_project_or_deal,timing_reference,estimated_timing_bucket,timing_urgency_score,timing_confidence,evidence_signals,source_article_title,source,url,potential_woomi_action,recommended_monitoring_frequency
2026-06-08,20260608-230157-81fea293,TIM-20260608-010,Entitlement / Permitting,Los Angeles / California,Affordable Housing,Unknown,Unknown,Entitlement / Permitting - Los Angeles / California - 85 apartments proposed at 15242 W. Parthenia St. in North Hills,No explicit timing reference,Unknown Timing,65,Medium,Entitlement / Permitting; permitting,85 apartments proposed at 15242 W. Parthenia St. in North Hills,Urbanize LA,https://la.urbanize.city/post/85-apartments-proposed-15242-w-parthenia-st-north-hills,"Track entitlement, zoning, permitting, and public-agency milestones",Biweekly
2026-06-08,20260608-230157-81fea293,TIM-20260608-011,Entitlement / Permitting,Los Angeles / California,Affordable Housing,Unknown,Unknown,Entitlement / Permitting - Los Angeles / California - L.A. City Council upholds approval of mixed-use project at 787 S. Alameda St. in DTLA,No explicit timing reference,Unknown Timing,65,Medium,Entitlement / Permitting; permitting,L.A. City Council upholds approval of mixed-use project at 787 S. Alameda St. in DTLA,Urbanize LA,https://la.urbanize.city/post/la-city-council-upholds-approval-mixed-use-project-787-s-alameda-st-dtla,"Track entitlement, zoning, permitting, and public-agency milestones",Biweekly
2026-06-08,20260608-230157-81fea293,TIM-20260608-016,Entitlement / Permitting,Other / Unknown,Apartment,Unknown,Unknown,Entitlement / Permitting - Other / Unknown - 290 apartments planned at 18430 Sherman Way in Reseda,No explicit timing reference,Unknown Timing,65,Medium,Entitlement / Permitting; permitting,290 apartments planned at 18430 Sherman Way in Reseda,Urbanize LA,https://la.urbanize.city/post/290-apartments-planned-18430-sherman-way-reseda,"Track entitlement, zoning, permitting, and public-agency milestones",Biweekly
2026-06-08,20260608-230157-81fea293,TIM-20260608-020,Acquisition Window,Los Angeles / California,Apartment,Unknown,Unknown,"Acquisition - Los Angeles / California - Advanced Real Estate Acquires, Rebrands Rowland Heights Apartments",No explicit timing reference,Unknown Timing,63,Medium,Acquisition Window,"Advanced Real Estate Acquires, Rebrands Rowland Heights Apartments",Connect CRE California,https://www.connectcre.com/stories/advanced-real-estate-acquires-rebrands-rowland-heights-apartments/,Monitor pricing evidence and possible acquisition outreach timing,Monthly
2026-06-08,20260608-230157-81fea293,TIM-20260608-013,Construction Completion / Delivery,Atlanta / Georgia,Apartment,Unknown,Unknown,Office-to-Residential Conversion - Atlanta / Georgia - Asana Starts Transformation of Former Duke Energy HQ,No explicit timing reference,Unknown Timing,63,Medium,Construction Completion / Delivery; completed,Asana Starts Transformation of Former Duke Energy HQ,Connect CRE Apartments,https://www.connectcre.com/stories/asana-starts-transformation-of-former-duke-energy-hq/,"Monitor delivery, lease-up, concession, and supply pipeline timing",Monthly
2026-06-08,20260608-230157-81fea293,TIM-20260608-019,Entitlement / Permitting,New York City / New York,Mixed-Use Residential,Unknown,Unknown,Entitlement / Permitting - New York City / New York - 40-unit development moves forward at 2301 N. Sepulveda Blvd. in Manhattan Beach,No explicit timing reference,Unknown Timing,63,Medium,Entitlement / Permitting; permitting,40-unit development moves forward at 2301 N. Sepulveda Blvd. in Manhattan Beach,Urbanize LA,https://la.urbanize.city/post/40-unit-development-moves-forward-2301-n-sepulveda-blvd-manhattan-beach,"Track entitlement, zoning, permitting, and public-agency milestones",Monthly
2026-06-08,20260608-230157-81fea293,TIM-20260608-024,Refinancing / Maturity Window,Other / Unknown,Multifamily,Unknown,Unknown,Refinancing - Other / Unknown - $14M Refinance Secured for Newly Delivered Multifamily Community The Ash in Wicker Park Ne...,No explicit timing reference,Unknown Timing,63,Medium,Refinancing / Maturity Window; refinance,$14M Refinance Secured for Newly Delivered Multifamily Community The Ash in Wicker Park Neighborhood of Chicago,Yield PRO,https://yieldpro.com/2026/06/the-ash/,"Track maturity, refinancing options, lender appetite, and recapitalization timing",Monthly
2026-06-08,20260608-230157-81fea293,TIM-20260608-005,Supply Wave Timing,Los Angeles / California,Mixed-Use Residential,Hanover Company,Unknown,Disposition / Exit - Los Angeles / California - 19-story high-rise starts work at 6055 Center Drive in Westchester,No explicit timing reference,Unknown Timing,63,Medium,Supply Wave Timing,19-story high-rise starts work at 6055 Center Drive in Westchester,Urbanize LA,https://la.urbanize.city/post/19-story-high-rise-starts-work-6055-center-drive-westchester,"Monitor delivery, lease-up, concession, and supply pipeline timing",Monthly
2026-06-08,20260608-230157-81fea293,TIM-20260608-017,Supply Wave Timing,Phoenix / Arizona,Apartment,Unknown,Unknown,General Project Signal - Phoenix / Arizona - Empire Group Starts Work on $170M Phoenix Apartment Tower,No explicit timing reference,Unknown Timing,63,Medium,Supply Wave Timing,Empire Group Starts Work on $170M Phoenix Apartment Tower,Connect CRE Phoenix,https://www.connectcre.com/stories/empire-group-starts-work-on-170m-phoenix-apartment-tower/,"Monitor delivery, lease-up, concession, and supply pipeline timing",Monthly
2026-06-08,20260608-230157-81fea293,TIM-20260608-014,Construction Completion / Delivery,Phoenix / Arizona,Apartment,Unknown,Unknown,Office-to-Residential Conversion - Phoenix / Arizona - Camelback Office-to-Apartment Conversion Nearly Complete,No explicit timing reference,Unknown Timing,60,Medium,Construction Completion / Delivery; completed,Camelback Office-to-Apartment Conversion Nearly Complete,Connect CRE Phoenix,https://www.connectcre.com/stories/camelback-office-to-apartment-conversion-nearly-complete/,"Monitor delivery, lease-up, concession, and supply pipeline timing",Monthly
2026-06-08,20260608-230157-81fea293,TIM-20260608-025,Acquisition Window,Florida,Student Housing,Unknown,Unknown,Acquisition - Florida - Hackberry Lane Adds 400 Student Housing Beds in Florida and Arkansas University Markets,No explicit timing reference,Unknown Timing,58,Medium,Acquisition Window,Hackberry Lane Adds 400 Student Housing Beds in Florida and Arkansas University Markets,Yield PRO,https://yieldpro.com/2026/06/hackberry-lane-florida/,Monitor pricing evidence and possible acquisition outreach timing,Monthly
2026-06-08,20260608-230157-81fea293,TIM-20260608-029,Construction Start,Other / Unknown,Apartment,Unknown,Unknown,Development Start - Other / Unknown - Missing Middle Weakness,No explicit timing reference,Unknown Timing,58,Medium,Construction Start,Missing Middle Weakness,NAHB Eye on Housing - Multifamily,https://eyeonhousing.org/2026/01/missing-middle-weakness/,"Monitor delivery, lease-up, concession, and supply pipeline timing",Monthly
2026-06-08,20260608-230157-81fea293,TIM-20260608-023,Entitlement / Permitting,San Francisco / California,Apartment,Unknown,Unknown,"Entitlement / Permitting - San Francisco / California - Permits Filed For 821 Corbett Avenue in Twin Peaks, San Francisco",No explicit timing reference,Unknown Timing,57,Medium,Entitlement / Permitting; permitting,"Permits Filed For 821 Corbett Avenue in Twin Peaks, San Francisco",SF YIMBY,https://sfyimby.com/2026/06/permits-filed-for-821-corbett-avenue-in-twin-peaks-san-francisco.html,"Track entitlement, zoning, permitting, and public-agency milestones",Monthly
2026-06-08,20260608-230157-81fea293,TIM-20260608-044,Distress Sale Timing,New York,Affordable Housing,Walker & Dunlop,walker & dunlop,"JV / Partnership - New York - Walker & Dunlop, Pretium Close on $76M Bridge Loan for Chelsea Apartments",No explicit timing reference,Unknown Timing,56,Medium,Distress Sale Timing,"Walker & Dunlop, Pretium Close on $76M Bridge Loan for Chelsea Apartments",,https://www.connectcre.com/stories/walker-dunlop-pretium-close-on-76m-bridge-loan-for-chelsea-apartments/,"Prepare sponsor, lender, and rescue-capital watchlist",Monthly
2026-06-08,20260608-230157-81fea293,TIM-20260608-027,Refinancing / Maturity Window,Atlanta / Georgia,Student Housing,Unknown,Unknown,Refinancing - Atlanta / Georgia - Georgia Tech Student Housing Investors Ink Refi,No explicit timing reference,Unknown Timing,55,Medium,Refinancing / Maturity Window,Georgia Tech Student Housing Investors Ink Refi,Connect CRE Atlanta,https://www.connectcre.com/stories/georgia-tech-student-housing-investors-ink-refi/,"Track maturity, refinancing options, lender appetite, and recapitalization timing",Monthly
2026-06-08,20260608-230157-81fea293,TIM-20260608-045,Distress Sale Timing,Other / Unknown,Apartment,Berkadia,Freddie Mac,Refinancing - Other / Unknown - Berkadia Provides $35M Refi for Detroit-Area Multifamily Apartment Complex,No explicit timing reference,Unknown Timing,54,Low,Distress Sale Timing,Berkadia Provides $35M Refi for Detroit-Area Multifamily Apartment Complex,,https://commercialobserver.com/2026/06/berkadia-35m-refi-detroit-multifamily-apartment/,"Prepare sponsor, lender, and rescue-capital watchlist",Monthly
2026-06-08,20260608-230157-81fea293,TIM-20260608-026,BTR / SFR Expansion Timing,Phoenix / Arizona,BTR / Single-Family Rental,Unknown,Unknown,BTR / Build-to-Rent - Phoenix / Arizona - Porter Kyle Builders Names Industry Veteran John Rowland Vice President of Construction,No explicit timing reference,Unknown Timing,53,Low,BTR / SFR Expansion Timing,Porter Kyle Builders Names Industry Veteran John Rowland Vice President of Construction,Connect CRE Phoenix,https://www.connectcre.com/stories/porter-kyle-builders-names-industry-veteran-john-rowland-vice-president-of-construction/,Monitor sector-specific platform timing and potential partnership relevance,Monthly
2026-06-08,20260608-230157-81fea293,TIM-20260608-036,Construction Completion / Delivery,Other / Unknown,Apartment,Unknown,Unknown,General Project Signal - Other / Unknown - Multifamily Absorption Rate Remains Below 50%,No explicit timing reference,Unknown Timing,53,Low,Construction Completion / Delivery; completed,Multifamily Absorption Rate Remains Below 50%,NAHB Eye on Housing - Multifamily,https://eyeonhousing.org/2026/03/multifamily-absorption-rate-remains-below-50/,"Monitor delivery, lease-up, concession, and supply pipeline timing",Monthly
2026-06-08,20260608-230157-81fea293,TIM-20260608-046,Distress Sale Timing,Los Angeles / California,Mixed-Use Residential,Unknown,Unknown,Construction Financing - Los Angeles / California - Slatt Capital Arranges $27M Construction Loan for San Gabriel Mixed-Use,No explicit timing reference,Unknown Timing,53,Low,Distress Sale Timing,Slatt Capital Arranges $27M Construction Loan for San Gabriel Mixed-Use,,https://www.connectcre.com/stories/slatt-capital-arranges-27m-construction-loan-for-san-gabriel-mixed-use/,"Prepare sponsor, lender, and rescue-capital watchlist",Monthly
2026-06-08,20260608-230157-81fea293,TIM-20260608-047,Distress Sale Timing,Miami / Florida,Apartment,Unknown,Unknown,Construction Financing - Miami / Florida - Alta Developers Lands $91.8M Construction Loan for Miami Apartments,No explicit timing reference,Unknown Timing,53,Low,Distress Sale Timing,Alta Developers Lands $91.8M Construction Loan for Miami Apartments,,https://www.connectcre.com/stories/alta-developers-lands-91-8m-construction-loan-for-miami-apartments/,"Prepare sponsor, lender, and rescue-capital watchlist",Monthly
2026-06-08,20260608-230157-81fea293,TIM-20260608-048,Distress Sale Timing,Phoenix / Arizona,Apartment,Unknown,Unknown,Construction Financing - Phoenix / Arizona - Scottsdale Developer Inks $141M Construction Loan for Luxury Apartments,No explicit timing reference,Unknown Timing,53,Low,Distress Sale Timing,Scottsdale Developer Inks $141M Construction Loan for Luxury Apartments,,https://www.connectcre.com/stories/scottsdale-developer-inks-141m-construction-loan-for-luxury-apartments/,"Prepare sponsor, lender, and rescue-capital watchlist",Monthly
2026-06-08,20260608-230157-81fea293,TIM-20260608-015,Construction Start,California,General Residential,Unknown,Unknown,Development Start - California - Harbor Island West Marina Launches $70M Redevelopment,No explicit timing reference,Unknown Timing,52,Low,Construction Start,Harbor Island West Marina Launches $70M Redevelopment,Connect CRE California,https://www.connectcre.com/stories/harbor-island-west-marina-launches-70m-redevelopment-2/,"Monitor delivery, lease-up, concession, and supply pipeline timing",Monthly
2026-06-08,20260608-230157-81fea293,TIM-20260608-049,Distress Sale Timing,New York City / New York,Affordable Housing,Unknown,Unknown,Construction Financing - New York City / New York - Bank Hapoalim Lends $43M on Flushing Resi Complex,No explicit timing reference,Unknown Timing,52,Low,Distress Sale Timing,Bank Hapoalim Lends $43M on Flushing Resi Complex,,https://commercialobserver.com/2026/06/bank-hapoalim-flushing-condos-affordable-apartments/,"Prepare sponsor, lender, and rescue-capital watchlist",Monthly
2026-06-08,20260608-230157-81fea293,TIM-20260608-018,Construction Completion / Delivery,Other / Unknown,Multifamily,Marcus & Millichap,Unknown,Disposition / Exit - Other / Unknown - Marcus & Millichap Brokers Sale of Old Town Chicago Multifamily Property,No explicit timing reference,Unknown Timing,51,Low,Construction Completion / Delivery; completed,Marcus & Millichap Brokers Sale of Old Town Chicago Multifamily Property,Yield PRO,https://yieldpro.com/2026/06/1503-north-wieland-street/,"Monitor delivery, lease-up, concession, and supply pipeline timing",Monthly
2026-06-08,20260608-230157-81fea293,TIM-20260608-050,Distress Sale Timing,Texas,Apartment,Unknown,Unknown,Construction Financing - Texas - Dwight Capital Arranges $66M Loan for 312-Unit Abilene Rental Community,No explicit timing reference,Unknown Timing,51,Low,Distress Sale Timing,Dwight Capital Arranges $66M Loan for 312-Unit Abilene Rental Community,,https://www.connectcre.com/stories/dwight-capital-arranges-66m-loan-for-312-unit-abilene-rental-community/,"Prepare sponsor, lender, and rescue-capital watchlist",Monthly
2026-06-08,20260608-230157-81fea293,TIM-20260608-008,BTR / SFR Expansion Timing,Los Angeles / California,BTR / Single-Family Rental,JLL,JLL,JV / Partnership - Los Angeles / California - JLL Arranges $70M in Bridge Financing for Delaware Industrial Building,No explicit timing reference,Unknown Timing,50,Low,BTR / SFR Expansion Timing,JLL Arranges $70M in Bridge Financing for Delaware Industrial Building,REBusiness Online,https://rebusinessonline.com/jll-arranges-70m-in-bridge-financing-for-delaware-industrial-building/,Monitor sector-specific platform timing and potential partnership relevance,Monthly
2026-06-08,20260608-230157-81fea293,TIM-20260608-021,Acquisition Window,New York,Senior Housing,Unknown,Unknown,Acquisition - New York - Senior Housing Operator Omni Lifestyle Living Buys Midtown Marriott for $40M,No explicit timing reference,Unknown Timing,49,Low,Acquisition Window,Senior Housing Operator Omni Lifestyle Living Buys Midtown Marriott for $40M,Commercial Observer,https://commercialobserver.com/2026/06/senior-housing-omni-lifestyle-living-buys-midtown-marriott/,Monitor pricing evidence and possible acquisition outreach timing,Monitor Only
2026-06-08,20260608-230157-81fea293,TIM-20260608-051,Distress Sale Timing,Atlanta / Georgia,Student Housing,Unknown,Unknown,Refinancing - Atlanta / Georgia - Georgia Tech Student Housing Investors Ink Refi,No explicit timing reference,Unknown Timing,49,Low,Distress Sale Timing,Georgia Tech Student Housing Investors Ink Refi,,https://www.connectcre.com/stories/georgia-tech-student-housing-investors-ink-refi/,"Prepare sponsor, lender, and rescue-capital watchlist",Monitor Only
2026-06-08,20260608-230157-81fea293,TIM-20260608-040,Acquisition Window,Miami / Florida,Apartment,Unknown,Unknown,Acquisition - Miami / Florida - Miami Apartments Trade for $109.9M,No explicit timing reference,Unknown Timing,48,Low,Acquisition Window,Miami Apartments Trade for $109.9M,Connect CRE South Florida,https://www.connectcre.com/stories/miami-apartments-trade-for-109-9m/,Monitor pricing evidence and possible acquisition outreach timing,Monitor Only
2026-06-08,20260608-230157-81fea293,TIM-20260608-052,Distress Sale Timing,Other / Unknown,Mixed-Use Residential,Unknown,Unknown,Construction Financing - Other / Unknown - MG and Vertical Land $100M to Build Coral Gables Condo,No explicit timing reference,Unknown Timing,47,Low,Distress Sale Timing,MG and Vertical Land $100M to Build Coral Gables Condo,,https://commercialobserver.com/2026/06/mg-vertical-alhambra-parc-florida/,"Prepare sponsor, lender, and rescue-capital watchlist",Monitor Only
2026-06-08,20260608-230157-81fea293,TIM-20260608-038,Office-to-Residential Conversion Timing,Atlanta / Georgia,Apartment,Unknown,Unknown,Office-to-Residential Conversion - Atlanta / Georgia - Asana Starts Transformation of Former Duke Energy HQ,No explicit timing reference,Unknown Timing,47,Low,Office-to-Residential Conversion Timing,Asana Starts Transformation of Former Duke Energy HQ,Connect CRE Apartments,https://www.connectcre.com/stories/asana-starts-transformation-of-former-duke-energy-hq/,Monitor sector-specific platform timing and potential partnership relevance,Monitor Only
2026-06-08,20260608-230157-81fea293,TIM-20260608-039,Office-to-Residential Conversion Timing,Phoenix / Arizona,Apartment,Unknown,Unknown,Office-to-Residential Conversion - Phoenix / Arizona - Camelback Office-to-Apartment Conversion Nearly Complete,No explicit timing reference,Unknown Timing,47,Low,Office-to-Residential Conversion Timing,Camelback Office-to-Apartment Conversion Nearly Complete,Connect CRE Phoenix,https://www.connectcre.com/stories/camelback-office-to-apartment-conversion-nearly-complete/,Monitor sector-specific platform timing and potential partnership relevance,Monitor Only
2026-06-08,20260608-230157-81fea293,TIM-20260608-035,Acquisition Window,Other / Unknown,Apartment,Unknown,Unknown,Acquisition - Other / Unknown - Why this apartment owner likes the blue-collar future of the Midwest,No explicit timing reference,Unknown Timing,45,Low,Acquisition Window,Why this apartment owner likes the blue-collar future of the Midwest,Multifamily Dive,https://www.multifamilydive.com/news/midwest-apartments-blue-collar-jobs-workforce-housing/822054/,Monitor pricing evidence and possible acquisition outreach timing,Monitor Only
2026-06-08,20260608-230157-81fea293,TIM-20260608-028,Lease-Up / Stabilization,New York City / New York,Multifamily,Unknown,Unknown,General Project Signal - New York City / New York - OceanFirst Purges $1.4B In Rent-Stabilized Multifamily Loans Following Flushing Financial...,No explicit timing reference,Unknown Timing,45,Low,Lease-Up / Stabilization; stabilized,OceanFirst Purges $1.4B In Rent-Stabilized Multifamily Loans Following Flushing Financial Merger,Bisnow,https://www.bisnow.com/new-york/news/multifamily/oceanfirst-flushing-financial-bank-rent-stabilized-multifamily-new-york-city-134909,Monitor timing signal for repeated confirmation,Monitor Only
2026-06-08,20260608-230157-81fea293,TIM-20260608-034,Acquisition Window,Other / Unknown,Apartment,Unknown,Unknown,Acquisition - Other / Unknown - Advanced Real Estate Acquires and Rebrands Rowland Heights Apartment Community,No explicit timing reference,Unknown Timing,44,Low,Acquisition Window,Advanced Real Estate Acquires and Rebrands Rowland Heights Apartment Community,Yield PRO,https://yieldpro.com/2026/06/casa-la-paz/,Monitor pricing evidence and possible acquisition outreach timing,Monitor Only
2026-06-08,20260608-230157-81fea293,TIM-20260608-022,Construction Start,Miami / Florida,Apartment,Unknown,Unknown,Acquisition - Miami / Florida - Miami Apartments Trade for $109.9M,No explicit timing reference,Unknown Timing,44,Low,Construction Start; broke ground,Miami Apartments Trade for $109.9M,Connect CRE South Florida,https://www.connectcre.com/stories/miami-apartments-trade-for-109-9m/,"Monitor delivery, lease-up, concession, and supply pipeline timing",Monitor Only
